Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
7.9673e-02 2.8989e+00 2.1459e-02 1.5734e-01 3.1476e-02 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 2.9194e+00 2.9897e-02 9.2465e-02 3.7344e-02 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 2.8317e+00 2.0438e-02 9.9286e-02 3.4478e-02 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 2.7402e+00 2.2241e-02 8.2348e-02 3.0543e-02 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 2.6177e+00 2.3376e-02 -5.2038e-02 3.0821e-02 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 2.3762e+00 1.8380e-02 3.4689e-02 3.1102e-02 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 2.1740e+00 2.4924e-02 3.3346e-02 3.0622e-02 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 2.0362e+00 1.6410e-02 -1.1556e-01 2.3613e-02 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 1.6916e+00 1.7091e-02 7.2854e-02 2.7029e-02 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 1.5408e+00 1.6686e-02 -1.9805e-02 2.1799e-02 3.4176e-03 9.3810e-02 1.0000e+00
9.4609e-02 1.3384e+00 1.3522e-02 -5.2907e-02 1.9717e-02 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 1.1862e+00 1.7108e-02 -4.4690e-02 2.3195e-02 3.6145e-03 9.6782e-02 1.0000e+00
9.7596e-02 9.9576e-01 1.0724e-02 -2.0773e-02 1.5308e-02 3.2445e-03 9.8299e-02 1.0000e+00
9.9090e-02 8.2796e-01 1.2179e-02 -5.1702e-04 1.6675e-02 3.4027e-03 9.9907e-02 1.0000e+00
1.0058e-01 7.3970e-01 1.0838e-02 -1.3042e-02 1.6201e-02 3.5093e-03 1.0127e-01 1.0000e+00
1.0208e-01 6.1194e-01 8.8377e-03 -5.2822e-03 1.2218e-02 3.2316e-03 1.0281e-01 1.0000e+00
1.0357e-01 5.5118e-01 1.1009e-02 -3.5575e-02 1.4027e-02 3.3793e-03 1.0435e-01 1.0000e+00
1.0506e-01 4.6373e-01 7.1576e-03 -4.3908e-03 1.1652e-02 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 3.9271e-01 8.4122e-03 -4.0647e-03 1.0819e-02 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.4932e-01 6.9073e-03 -2.7715e-02 9.7062e-03 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.0179e-01 6.2142e-03 6.4954e-03 9.4060e-03 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.7545e-01 7.2166e-03 -1.5177e-02 9.1057e-03 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.4597e-01 5.1350e-03 -1.3846e-03 7.7437e-03 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.2094e-01 6.0213e-03 -2.8663e-03 8.2825e-03 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.1662e-01 5.0092e-03 -4.5140e-03 7.0533e-03 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 2.0172e-01 5.0644e-03 -4.4979e-03 7.1021e-03 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 2.0000e-01 5.6148e-03 -1.2822e-02 7.7183e-03 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9355e-01 4.4761e-03 -2.5777e-03 6.4172e-03 3.0169e-03 1.2073e-01 1.0000e+00
