Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
5.4282e-02 3.4294e-01 2.6273e-03 2.3451e-02 6.0547e-04 4.6886e-01 3.0330e-03 2.4573e-02 6.1267e-04 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 3.6285e-01 2.5294e-03 2.2405e-02 5.5033e-04 5.1193e-01 2.9365e-03 2.4035e-02 5.4803e-04 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.0205e-01 2.6340e-03 2.2428e-02 5.5749e-04 5.6949e-01 3.1043e-03 1.9878e-02 5.4525e-04 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 4.6270e-01 2.5869e-03 1.7548e-02 5.0848e-04 6.2635e-01 2.9898e-03 2.1940e-02 5.2744e-04 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.3044e-01 2.8454e-03 1.8638e-02 5.2441e-04 7.2955e-01 3.3634e-03 2.2749e-02 5.4660e-04 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 6.0783e-01 2.8750e-03 2.3050e-02 5.3443e-04 8.2393e-01 3.3101e-03 2.3759e-02 5.1571e-04 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 7.0269e-01 3.1047e-03 2.4117e-02 5.5674e-04 1.0011e+00 3.6844e-03 2.3725e-02 5.5697e-04 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 8.5917e-01 3.3884e-03 2.1957e-02 5.8394e-04 1.1858e+00 4.0114e-03 2.0972e-02 5.6194e-04 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.0401e+00 3.4328e-03 2.5329e-02 5.7210e-04 1.4487e+00 4.0496e-03 2.1059e-02 5.4489e-04 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.2651e+00 3.8451e-03 2.4787e-02 6.0801e-04 1.7419e+00 4.5236e-03 2.4915e-02 5.9394e-04 3.7108e-03 6.8459e-02 1.0000e+00
