Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
1.0506e-01 5.0164e-01 1.5933e-03 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 4.3361e-01 1.8991e-03 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.7903e-01 1.5574e-03 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.2083e-01 1.4050e-03 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.8575e-01 1.6262e-03 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.6626e-01 1.1804e-03 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.4443e-01 1.3998e-03 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.2986e-01 1.1590e-03 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 2.1968e-01 1.1901e-03 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 2.0378e-01 1.2798e-03 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9767e-01 1.0234e-03 3.0169e-03 1.2073e-01 1.0000e+00
