Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
5.2788e-02 3.5456e-01 2.9284e-03 2.3010e-02 6.1637e-04 3.5869e-01 2.9171e-03 2.4205e-02 6.2530e-04 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 3.8733e-01 3.0901e-03 2.2322e-02 6.2388e-04 3.9088e-01 3.1003e-03 2.6537e-02 6.7052e-04 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 4.1650e-01 3.9141e-03 2.1196e-02 7.6769e-04 4.2091e-01 3.8832e-03 2.2314e-02 7.8020e-04 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.6845e-01 3.1048e-03 2.4130e-02 6.0588e-04 4.6636e-01 3.0895e-03 2.4409e-02 6.0074e-04 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 5.0295e-01 4.1090e-03 2.1729e-02 7.7443e-04 5.2219e-01 4.1576e-03 2.1329e-02 7.4630e-04 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.6618e-01 3.3245e-03 2.0415e-02 5.9290e-04 5.8052e-01 3.3391e-03 2.5607e-02 6.1717e-04 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 7.1279e-01 3.8790e-03 2.0161e-02 6.3926e-04 6.9423e-01 3.7974e-03 2.0555e-02 6.5455e-04 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 7.9564e-01 4.6533e-03 2.3943e-02 7.6836e-04 7.9811e-01 4.6590e-03 1.7818e-02 7.5250e-04 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 9.7742e-01 4.2503e-03 2.1441e-02 6.5782e-04 9.8706e-01 4.2370e-03 2.1279e-02 6.6324e-04 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.1443e+00 6.0281e-03 2.2030e-02 9.1566e-04 1.1717e+00 6.0718e-03 1.6064e-02 8.8096e-04 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.4053e+00 4.6183e-03 1.8828e-02 6.4684e-04 1.4279e+00 4.6167e-03 1.6587e-02 6.3646e-04 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 1.8027e+00 5.7261e-03 1.5482e-02 7.5740e-04 1.8144e+00 5.7020e-03 1.8089e-02 7.7242e-04 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 2.0343e+00 6.8125e-03 1.3819e-02 8.8206e-04 2.0764e+00 6.8436e-03 1.7505e-02 8.9787e-04 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 2.4402e+00 6.0388e-03 1.2602e-02 7.4796e-04 2.3902e+00 5.9378e-03 1.7198e-02 7.6153e-04 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 2.6415e+00 8.7187e-03 1.4538e-02 1.0883e-03 2.6968e+00 8.7225e-03 1.6061e-02 1.0901e-03 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 2.9519e+00 6.4773e-03 1.5614e-02 7.9612e-04 2.9608e+00 6.4385e-03 9.8134e-03 7.8484e-04 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 3.2475e+00 7.0838e-03 7.3328e-03 8.4412e-04 3.2677e+00 7.0535e-03 1.0181e-02 8.5422e-04 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 3.3609e+00 8.4479e-03 1.1407e-02 1.0183e-03 3.3814e+00 8.4066e-03 1.0801e-02 1.0103e-03 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 3.4540e+00 6.8520e-03 9.9531e-03 8.1187e-04 3.3949e+00 6.7436e-03 1.1016e-02 8.1762e-04 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 3.4311e+00 9.4727e-03 1.0866e-02 1.1307e-03 3.4934e+00 9.4939e-03 1.2511e-02 1.1426e-03 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 3.3987e+00 6.5513e-03 1.0826e-02 7.7908e-04 3.3538e+00 6.4629e-03 7.7940e-03 7.7595e-04 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 3.1725e+00 7.0075e-03 1.0399e-02 8.3959e-04 3.2420e+00 7.0276e-03 1.0575e-02 8.4329e-04 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 3.0583e+00 7.3935e-03 9.8313e-03 8.8495e-04 3.0742e+00 7.3580e-03 1.3393e-02 8.9828e-04 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 2.7634e+00 5.8074e-03 1.0323e-02 7.0502e-04 2.7967e+00 5.7950e-03 1.1675e-02 7.0927e-04 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 2.5529e+00 7.9333e-03 1.2813e-02 9.7875e-04 2.5807e+00 7.8991e-03 8.2350e-03 9.6478e-04 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 2.3147e+00 5.1312e-03 1.0861e-02 6.3639e-04 2.3001e+00 5.0795e-03 7.8584e-03 6.2980e-04 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 2.0218e+00 5.4902e-03 1.2079e-02 6.8979e-04 1.9971e+00 5.4130e-03 7.2202e-03 6.8663e-04 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 1.8070e+00 5.3223e-03 1.0336e-02 6.8272e-04 1.7937e+00 5.2541e-03 9.1838e-03 6.8374e-04 3.4176e-03 9.3810e-02 1.0000e+00
9.4609e-02 1.5063e+00 4.2285e-03 1.4832e-02 5.7648e-04 1.5335e+00 4.2321e-03 1.1381e-02 5.6282e-04 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 1.3425e+00 5.3736e-03 1.2802e-02 7.5224e-04 1.3435e+00 5.3521e-03 9.3028e-03 7.4534e-04 3.6145e-03 9.6782e-02 1.0000e+00
9.7596e-02 1.1461e+00 3.4138e-03 1.0958e-02 4.7740e-04 1.1564e+00 3.3990e-03 1.3135e-02 4.8710e-04 3.2445e-03 9.8299e-02 1.0000e+00
9.9090e-02 9.4867e-01 3.8752e-03 1.4447e-02 5.7264e-04 9.4050e-01 3.8468e-03 1.3887e-02 5.7556e-04 3.4027e-03 9.9907e-02 1.0000e+00
1.0058e-01 8.4408e-01 3.4401e-03 1.4404e-02 5.3158e-04 8.5365e-01 3.4389e-03 1.4106e-02 5.2301e-04 3.5093e-03 1.0127e-01 1.0000e+00
1.0208e-01 6.8400e-01 2.8122e-03 1.2958e-02 4.5582e-04 7.0230e-01 2.8184e-03 1.5654e-02 4.6309e-04 3.2316e-03 1.0281e-01 1.0000e+00
1.0357e-01 6.0385e-01 3.4850e-03 1.3408e-02 5.6809e-04 6.1439e-01 3.4734e-03 1.6890e-02 5.9543e-04 3.3793e-03 1.0435e-01 1.0000e+00
1.0506e-01 5.0409e-01 2.2638e-03 1.5336e-02 3.9734e-04 4.9920e-01 2.2427e-03 1.4267e-02 4.0433e-04 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 4.2825e-01 2.6813e-03 1.3481e-02 4.9120e-04 4.3898e-01 2.6901e-03 1.2695e-02 4.9564e-04 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.7371e-01 2.1993e-03 1.5703e-02 4.2548e-04 3.8436e-01 2.2057e-03 1.5014e-02 4.2311e-04 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.1599e-01 1.9833e-03 1.6667e-02 4.0564e-04 3.2567e-01 1.9905e-03 1.0620e-02 3.8611e-04 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.7890e-01 2.2869e-03 1.4898e-02 4.8396e-04 2.9260e-01 2.3125e-03 1.4228e-02 4.9171e-04 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.6485e-01 1.6638e-03 1.3437e-02 3.5052e-04 2.6768e-01 1.6748e-03 1.5183e-02 3.6295e-04 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.3654e-01 1.9591e-03 1.3910e-02 4.2764e-04 2.5232e-01 2.0000e-03 1.6331e-02 4.4621e-04 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.2496e-01 1.6229e-03 1.3200e-02 3.6248e-04 2.3476e-01 1.6551e-03 1.3049e-02 3.7083e-04 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 2.1269e-01 1.6656e-03 1.2577e-02 3.7075e-04 2.2666e-01 1.7005e-03 1.3573e-02 3.8053e-04 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 2.0485e-01 1.8029e-03 1.3983e-02 4.2221e-04 2.0271e-01 1.8169e-03 1.5375e-02 4.4257e-04 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9929e-01 1.4525e-03 1.4818e-02 3.3948e-04 1.9606e-01 1.4422e-03 1.5383e-02 3.4320e-04 3.0169e-03 1.2073e-01 1.0000e+00
