Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
4.6814e-02 2.8974e-01 2.0301e-03 5.0872e-02 7.1997e-04 6.5119e-03 2.5417e-04 6.0513e-03 2.3624e-04 5.4138e-02 1.5079e-03 3.0601e-03 4.7581e-02 1.0000e+00
4.8308e-02 3.0507e-01 2.8789e-03 4.7443e-02 8.5517e-04 6.6277e-03 2.4869e-04 6.3095e-03 2.3657e-04 2.3797e-02 1.8752e-03 4.0121e-03 4.8950e-02 1.0000e+00
4.9801e-02 3.2274e-01 1.8630e-03 4.7855e-02 6.0395e-04 5.8805e-03 1.9575e-04 5.5749e-03 1.8559e-04 3.1092e-02 1.4265e-03 4.4307e-03 5.0530e-02 1.0000e+00
5.1295e-02 3.3267e-01 2.5272e-03 4.2659e-02 7.4859e-04 9.1829e-03 2.8467e-04 8.3934e-03 2.6008e-04 4.3475e-02 8.9840e-04 4.6664e-03 5.2144e-02 1.0000e+00
5.2788e-02 3.5663e-01 2.0667e-03 4.3744e-02 6.4611e-04 7.4967e-03 2.4091e-04 7.2547e-03 2.3318e-04 4.3151e-02 7.8362e-04 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 3.8910e-01 2.1887e-03 4.2862e-02 6.1985e-04 7.0453e-03 2.0694e-04 6.6430e-03 1.9510e-04 4.2737e-02 7.5479e-04 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 4.1871e-01 2.7568e-03 4.0742e-02 7.3217e-04 1.0360e-02 2.9050e-04 9.3357e-03 2.6166e-04 4.1415e-02 8.2878e-04 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.6740e-01 2.1900e-03 4.5367e-02 6.3488e-04 9.0445e-03 2.4886e-04 8.4691e-03 2.3306e-04 3.6710e-02 7.4505e-04 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 5.1257e-01 2.9227e-03 3.6950e-02 6.8029e-04 1.4551e-02 2.8971e-04 1.2944e-02 2.5741e-04 3.4930e-02 7.7264e-04 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.7335e-01 2.3560e-03 4.1874e-02 6.6401e-04 1.9530e-02 3.9922e-04 1.6486e-02 3.3708e-04 3.6221e-02 7.6443e-04 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 7.0351e-01 2.7142e-03 3.8470e-02 6.5210e-04 1.7722e-02 3.1894e-04 1.6908e-02 3.0430e-04 4.2063e-02 7.5042e-04 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 7.9688e-01 3.2924e-03 3.7354e-02 6.9548e-04 2.2558e-02 3.4579e-04 1.9526e-02 2.9902e-04 4.3235e-02 7.9921e-04 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 9.8224e-01 3.0007e-03 3.7300e-02 7.1797e-04 2.5648e-02 4.3203e-04 2.2051e-02 3.7150e-04 3.8328e-02 8.2442e-04 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.1580e+00 4.2780e-03 3.3354e-02 8.0417e-04 3.1837e-02 4.1221e-04 2.8041e-02 3.6261e-04 4.2274e-02 8.9595e-04 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.4166e+00 3.2650e-03 3.2016e-02 6.8016e-04 4.3327e-02 4.7221e-04 3.6768e-02 4.0071e-04 4.5753e-02 8.0202e-04 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 1.8086e+00 4.0405e-03 3.0786e-02 8.1701e-04 4.9388e-02 5.5631e-04 4.4687e-02 5.0344e-04 3.9706e-02 9.1786e-04 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 2.0553e+00 4.8282e-03 2.6287e-02 8.4512e-04 5.4674e-02 5.2040e-04 5.0061e-02 4.7624e-04 4.5234e-02 9.5960e-04 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 2.4152e+00 4.2345e-03 2.6699e-02 7.8094e-04 6.3660e-02 5.2990e-04 5.8716e-02 4.8875e-04 5.0779e-02 8.9831e-04 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 2.6692e+00 6.1664e-03 2.2776e-02 1.0279e-03 7.1425e-02 6.5891e-04 6.4665e-02 5.9619e-04 4.7360e-02 1.1227e-03 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 2.9564e+00 4.5665e-03 2.1345e-02 8.2775e-04 7.6056e-02 5.7755e-04 7.1637e-02 5.4406e-04 4.4822e-02 9.5161e-04 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 3.2576e+00 4.9983e-03 9.9326e-03 8.3950e-04 7.9627e-02 5.6173e-04 7.5211e-02 5.3051e-04 5.0310e-02 9.6691e-04 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 3.3712e+00 5.9590e-03 1.6780e-02 1.0277e-03 8.2324e-02 6.9460e-04 7.9002e-02 6.6659e-04 5.0124e-02 1.1208e-03 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 3.4245e+00 4.8069e-03 1.5739e-02 8.3227e-04 8.5325e-02 5.7158e-04 8.2094e-02 5.4997e-04 5.3872e-02 9.7109e-04 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 3.4623e+00 6.7057e-03 1.8193e-02 9.9521e-04 7.9067e-02 5.3380e-04 7.7668e-02 5.2372e-04 5.0899e-02 1.0947e-03 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 3.3762e+00 4.6013e-03 1.7418e-02 9.1790e-04 7.8771e-02 6.6803e-04 7.7513e-02 6.5776e-04 4.9856e-02 1.0325e-03 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 3.2072e+00 4.9622e-03 1.6409e-02 8.0923e-04 7.2536e-02 4.9368e-04 7.1320e-02 4.8527e-04 4.4957e-02 9.1552e-04 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 3.0662e+00 5.2155e-03 1.7335e-02 8.2233e-04 6.4115e-02 4.5787e-04 6.5677e-02 4.6883e-04 4.6698e-02 9.3607e-04 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 2.7801e+00 4.1021e-03 2.1211e-02 8.3796e-04 6.1160e-02 5.8171e-04 6.1360e-02 5.8398e-04 4.4470e-02 9.3336e-04 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 2.5668e+00 5.5976e-03 1.8453e-02 8.3953e-04 5.7931e-02 4.2094e-04 5.8113e-02 4.2167e-04 3.8757e-02 9.2473e-04 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 2.3074e+00 3.6101e-03 1.8588e-02 6.4780e-04 4.6595e-02 3.7927e-04 4.8396e-02 3.9401e-04 4.3988e-02 7.5456e-04 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 2.0095e+00 3.8550e-03 1.9529e-02 7.6157e-04 4.5191e-02 4.9194e-04 4.4930e-02 4.8931e-04 3.6939e-02 8.4006e-04 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 1.8004e+00 3.7394e-03 1.8335e-02 6.2746e-04 3.7676e-02 3.1912e-04 3.8785e-02 3.2835e-04 3.9018e-02 7.1729e-04 3.4176e-03 9.3810e-02 1.0000e+00
