Q, I, DelI, Q_Unc, Q_mean, Shadow
1.0506e-01 4.5934e-01 9.1942e-03 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 3.8865e-01 6.8028e-03 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.2161e-01 6.8191e-03 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.0829e-01 7.0610e-03 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.6027e-01 5.5529e-03 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.4458e-01 5.7962e-03 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.1807e-01 5.6872e-03 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.1211e-01 4.9656e-03 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 1.9723e-01 4.9792e-03 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 1.8718e-01 5.2958e-03 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9097e-01 4.5984e-03 3.0169e-03 1.2073e-01 1.0000e+00
