Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
5.1295e-02 2.8060e-01 1.3908e-03 2.0128e-02 3.2376e-04 4.2146e-01 1.7091e-03 2.2061e-02 3.3012e-04 4.6664e-03 5.2144e-02 1.0000e+00
5.2788e-02 3.0675e-01 1.3871e-03 2.0762e-02 3.1134e-04 4.3468e-01 1.6518e-03 2.3655e-02 3.2030e-04 4.5000e-03 5.3476e-02 1.0000e+00
5.4282e-02 3.3346e-01 1.3150e-03 2.1700e-02 2.9431e-04 4.7844e-01 1.5706e-03 2.1938e-02 2.9185e-04 4.0467e-03 5.5083e-02 1.0000e+00
5.5776e-02 3.5883e-01 1.4345e-03 2.1260e-02 3.1082e-04 5.3227e-01 1.7443e-03 2.1184e-02 3.0449e-04 4.2813e-03 5.6593e-02 1.0000e+00
5.7269e-02 4.0303e-01 1.4265e-03 2.1285e-02 2.9825e-04 5.7459e-01 1.7155e-03 2.0112e-02 2.8797e-04 4.1519e-03 5.7960e-02 1.0000e+00
5.8763e-02 4.3896e-01 1.4486e-03 1.7751e-02 2.9231e-04 6.7032e-01 1.7911e-03 1.9905e-02 2.8996e-04 3.9247e-03 5.9519e-02 1.0000e+00
6.0256e-02 5.1728e-01 1.5658e-03 1.9458e-02 2.9837e-04 7.5191e-01 1.9157e-03 2.0509e-02 2.9827e-04 4.1220e-03 6.0992e-02 1.0000e+00
6.1750e-02 5.8849e-01 1.6079e-03 2.1246e-02 3.0448e-04 8.7177e-01 1.9782e-03 1.9958e-02 2.9272e-04 3.9386e-03 6.2451e-02 1.0000e+00
6.3244e-02 6.9524e-01 1.7494e-03 2.1070e-02 3.1535e-04 1.0561e+00 2.1807e-03 1.8372e-02 3.0407e-04 3.9129e-03 6.3983e-02 1.0000e+00
6.4737e-02 8.6779e-01 1.9050e-03 1.9504e-02 3.2307e-04 1.2443e+00 2.3275e-03 1.8640e-02 3.1141e-04 3.9934e-03 6.5486e-02 1.0000e+00
6.6231e-02 1.0072e+00 2.0791e-03 2.0110e-02 3.4836e-04 1.5387e+00 2.6057e-03 1.8408e-02 3.3038e-04 3.9400e-03 6.6894e-02 1.0000e+00
6.7724e-02 1.2537e+00 2.1302e-03 1.9207e-02 3.3861e-04 1.8739e+00 2.6681e-03 1.8143e-02 3.2134e-04 3.7108e-03 6.8459e-02 1.0000e+00
6.9218e-02 1.5208e+00 2.4363e-03 1.7577e-02 3.7155e-04 2.2315e+00 3.0320e-03 1.7338e-02 3.5591e-04 3.9408e-03 7.0011e-02 1.0000e+00
7.0712e-02 1.7288e+00 2.5917e-03 1.9156e-02 3.9241e-04 2.6362e+00 3.2732e-03 1.5685e-02 3.6451e-04 3.8396e-03 7.1385e-02 1.0000e+00
7.2205e-02 2.0421e+00 2.6396e-03 1.8610e-02 3.8776e-04 3.0141e+00 3.2999e-03 1.6240e-02 3.6462e-04 3.6795e-03 7.2975e-02 1.0000e+00
7.3699e-02 2.2682e+00 2.9680e-03 1.8084e-02 4.3015e-04 3.3854e+00 3.7227e-03 1.4985e-02 4.0247e-04 3.9555e-03 7.4430e-02 1.0000e+00
7.5192e-02 2.4880e+00 2.8510e-03 1.6842e-02 4.0637e-04 3.6738e+00 3.5685e-03 1.5191e-02 3.8413e-04 3.6381e-03 7.5857e-02 1.0000e+00
7.6686e-02 2.6877e+00 2.9844e-03 1.5657e-02 4.2036e-04 3.9838e+00 3.7431e-03 1.0646e-02 3.8985e-04 3.6702e-03 7.7472e-02 1.0000e+00
7.8179e-02 2.8011e+00 3.0821e-03 1.8760e-02 4.3489e-04 4.0924e+00 3.8326e-03 1.4375e-02 4.0636e-04 3.7939e-03 7.8897e-02 1.0000e+00
7.9673e-02 2.8327e+00 2.9588e-03 1.4069e-02 4.1253e-04 4.1644e+00 3.7024e-03 1.5037e-02 3.9269e-04 3.5689e-03 8.0394e-02 1.0000e+00
8.1167e-02 2.7761e+00 3.0300e-03 1.6376e-02 4.2486e-04 4.1884e+00 3.8218e-03 1.3639e-02 4.0297e-04 3.6611e-03 8.1952e-02 1.0000e+00
8.2660e-02 2.7993e+00 2.9503e-03 1.7202e-02 4.1387e-04 3.9730e+00 3.6321e-03 1.4491e-02 3.9034e-04 3.7377e-03 8.3362e-02 1.0000e+00
8.4154e-02 2.6076e+00 2.7636e-03 1.4186e-02 3.8851e-04 3.8750e+00 3.4646e-03 1.2083e-02 3.6600e-04 3.4944e-03 8.4859e-02 1.0000e+00
8.5647e-02 2.4253e+00 2.6976e-03 1.3672e-02 3.8092e-04 3.6016e+00 3.3822e-03 1.4095e-02 3.6025e-04 3.5611e-03 8.6410e-02 1.0000e+00
8.7141e-02 2.2957e+00 2.5831e-03 1.7182e-02 3.6975e-04 3.2582e+00 3.1748e-03 1.6608e-02 3.5166e-04 3.6524e-03 8.7868e-02 1.0000e+00
8.8635e-02 2.0285e+00 2.4551e-03 1.4828e-02 3.5736e-04 3.0577e+00 3.0915e-03 1.2247e-02 3.3586e-04 3.5052e-03 8.9314e-02 1.0000e+00
9.0128e-02 1.8565e+00 2.2243e-03 1.4376e-02 3.2295e-04 2.6718e+00 2.7471e-03 1.3842e-02 3.0843e-04 3.4079e-03 9.0897e-02 1.0000e+00
9.1622e-02 1.6579e+00 2.1738e-03 1.4855e-02 3.2091e-04 2.3734e+00 2.6743e-03 1.2650e-02 3.0627e-04 3.6127e-03 9.2376e-02 1.0000e+00
9.3115e-02 1.4201e+00 1.9816e-03 1.3925e-02 3.0154e-04 2.0968e+00 2.4764e-03 1.2796e-02 2.8500e-04 3.4176e-03 9.3810e-02 1.0000e+00
9.4609e-02 1.2328e+00 1.8065e-03 1.5002e-02 2.8080e-04 1.8074e+00 2.2441e-03 1.4443e-02 2.6963e-04 3.4095e-03 9.5401e-02 1.0000e+00
9.6103e-02 1.0798e+00 1.7731e-03 1.6682e-02 2.8456e-04 1.5744e+00 2.1935e-03 1.4898e-02 2.7157e-04 3.6145e-03 9.6782e-02 1.0000e+00
