Q, I, DelI, Q_Unc, Q_mean, Shadow
1.0208e-01 6.1584e-01 4.1916e-03 3.2316e-03 1.0281e-01 1.0000e+00
1.0357e-01 5.2901e-01 4.0344e-03 3.3793e-03 1.0435e-01 1.0000e+00
1.0506e-01 4.6500e-01 3.6215e-03 3.3550e-03 1.0576e-01 1.0000e+00
1.0656e-01 3.9380e-01 3.3381e-03 3.2333e-03 1.0731e-01 1.0000e+00
1.0805e-01 3.4085e-01 3.0912e-03 3.3011e-03 1.0881e-01 1.0000e+00
1.0954e-01 3.0869e-01 2.9381e-03 3.3249e-03 1.1026e-01 1.0000e+00
1.1104e-01 2.6942e-01 2.7361e-03 3.2279e-03 1.1174e-01 1.0000e+00
1.1253e-01 2.4678e-01 2.5229e-03 3.1858e-03 1.1329e-01 1.0000e+00
1.1403e-01 2.2575e-01 2.5095e-03 3.3347e-03 1.1472e-01 1.0000e+00
1.1552e-01 2.1292e-01 2.3144e-03 3.1008e-03 1.1621e-01 1.0000e+00
1.1701e-01 1.9914e-01 2.2527e-03 3.1604e-03 1.1781e-01 1.0000e+00
1.1851e-01 1.9438e-01 2.2801e-03 3.3052e-03 1.1919e-01 1.0000e+00
1.2000e-01 1.9185e-01 2.1318e-03 3.0169e-03 1.2073e-01 1.0000e+00
