 Q, I, DelI, Q_mean, Q_Unc, Shadow
1.0330e-01 4.4192e+01 3.3518e-01 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 3.8524e+01 2.9828e-01 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 3.2890e+01 2.8049e-01 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 2.8736e+01 2.6161e-01 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 2.5697e+01 2.4729e-01 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 2.2659e+01 2.3619e-01 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 2.0486e+01 2.5227e-01 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 1.9033e+01 3.1044e-01 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 1.7940e+01 3.8825e-01 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 1.6100e+01 5.0927e-01 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 1.6117e+01 7.1953e-01 1.1868e-01 1.5280e-02 1.0000e+00
