 Q, I, DelI, Q_mean, Q_Unc, Shadow
1.0330e-01 4.5153e+01 6.4660e-02 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 3.8690e+01 5.7033e-02 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 3.3647e+01 5.4152e-02 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 2.9928e+01 5.1242e-02 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 2.6404e+01 4.7836e-02 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 2.3812e+01 4.6369e-02 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 2.1846e+01 5.0043e-02 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 1.9870e+01 6.1002e-02 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 1.8879e+01 7.6547e-02 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 1.7359e+01 1.0051e-01 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 1.6754e+01 1.4018e-01 1.1868e-01 1.5280e-02 1.0000e+00
