 Q, I, DelI, Q_mean, Q_Unc, Shadow
1.0330e-01 5.5364e-01 7.2477e-03 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 5.8298e-01 6.6883e-03 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 5.8101e-01 6.6027e-03 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 5.8006e-01 6.3918e-03 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 5.9929e-01 6.3294e-03 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 6.2172e-01 6.3803e-03 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 5.9243e-01 7.0178e-03 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 6.2477e-01 8.9459e-03 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 5.6928e-01 1.1197e-02 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 5.9229e-01 1.5161e-02 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 4.6501e-01 2.0186e-02 1.1868e-01 1.5280e-02 1.0000e+00
