 Q, I, DelI, Q_mean, Q_Unc, Shadow
1.0330e-01 5.5467e-01 6.9330e-03 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 5.6872e-01 6.4689e-03 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 5.2895e-01 6.2693e-03 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 5.4502e-01 6.1796e-03 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 5.6628e-01 6.0944e-03 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 5.8184e-01 6.1592e-03 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 5.7494e-01 6.7717e-03 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 6.0397e-01 8.6674e-03 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 5.7389e-01 1.1011e-02 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 6.1051e-01 1.4999e-02 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 4.7306e-01 1.9865e-02 1.1868e-01 1.5280e-02 1.0000e+00
