Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 6.6437e+01 7.5676e-02 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.2176e+01 3.0144e-02 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.5635e+00 1.7506e-02 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.1408e+00 1.1696e-02 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.2373e+00 7.9716e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 7.3168e-01 6.3745e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 4.7193e-01 4.9485e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.3158e-01 4.2155e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.4497e-01 3.6038e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 1.9419e-01 3.2077e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 1.8359e-01 2.9391e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.2291e-01 2.6677e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 9.6136e-02 2.5490e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 8.6606e-02 2.3820e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 7.8355e-02 2.2077e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 5.1105e-02 2.2116e-03 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 5.9766e-02 2.0614e-03 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 6.3124e-02 2.1596e-03 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 4.4149e-02 2.4286e-03 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 5.7113e-02 4.1475e-03 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 3.4644e-02 3.7844e-03 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 3.3535e-02 1.2312e-03 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 3.5762e-02 1.2942e-03 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 3.9798e-02 1.0668e-03 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 3.4957e-02 1.2056e-03 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 3.1550e-02 1.0668e-03 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 3.0309e-02 9.8299e-04 1.6052e-03 3.6688e-02 1.0000e+00
3.7323e-02 3.0508e-02 1.0920e-03 1.9538e-03 3.7910e-02 1.0000e+00
3.8575e-02 3.4918e-02 9.8559e-04 2.2987e-03 3.9194e-02 1.0000e+00
3.9828e-02 3.5630e-02 1.0438e-03 2.6967e-03 4.0401e-02 1.0000e+00
4.1081e-02 2.7200e-02 9.6018e-04 3.0617e-03 4.1720e-02 1.0000e+00
4.2333e-02 2.5026e-02 9.8428e-04 3.7858e-03 4.2976e-02 1.0000e+00
4.3586e-02 3.5436e-02 9.4025e-04 4.1835e-03 4.4128e-02 1.0000e+00
4.4839e-02 2.9461e-02 8.6726e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.3823e-02 9.6105e-04 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 3.4234e-02 8.6016e-04 4.4852e-03 4.7929e-02 1.0000e+00
