Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
4.8597e-02 3.5848e-02 9.1700e-04 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 3.1255e-02 8.6851e-04 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 3.7587e-02 8.3758e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 4.2664e-02 9.1597e-04 4.8602e-03 5.2983e-02 1.0000e+00
5.3608e-02 3.5248e-02 8.6490e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 4.1705e-02 8.5714e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 4.3161e-02 8.3889e-04 4.5399e-03 5.6715e-02 1.0000e+00
5.7366e-02 5.5224e-02 8.5396e-04 4.3663e-03 5.7990e-02 1.0000e+00
5.8618e-02 5.7567e-02 8.4759e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 8.2753e-02 7.9857e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 7.3332e-02 1.0329e-03 4.4155e-03 6.1709e-02 1.0000e+00
6.2376e-02 1.0408e-01 8.7206e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 1.1077e-01 9.5833e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.2016e-01 9.9113e-04 4.1517e-03 6.5467e-02 1.0000e+00
6.6134e-02 1.2937e-01 9.5620e-04 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.4493e-01 1.0641e-03 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.4921e-01 9.0406e-04 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.3448e-01 1.0312e-03 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.2548e-01 9.5465e-04 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 1.2264e-01 9.1764e-04 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 1.0951e-01 9.2296e-04 4.3727e-03 7.4233e-02 1.0000e+00
7.4903e-02 9.3203e-02 7.9162e-04 3.7725e-03 7.5480e-02 1.0000e+00
7.6156e-02 8.1531e-02 8.5987e-04 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 7.0532e-02 7.5472e-04 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 6.0115e-02 7.2681e-04 3.8681e-03 7.9255e-02 1.0000e+00
7.9914e-02 4.4728e-02 7.5895e-04 3.8524e-03 8.0553e-02 1.0000e+00
8.1167e-02 3.5311e-02 6.9394e-04 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 3.7270e-02 6.8130e-04 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 2.6759e-02 6.3383e-04 3.7028e-03 8.4311e-02 1.0000e+00
8.4925e-02 2.7753e-02 6.0271e-04 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 2.0793e-02 5.8749e-04 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 1.9694e-02 5.4273e-04 3.6218e-03 8.8087e-02 1.0000e+00
8.8683e-02 1.7063e-02 5.9244e-04 3.8889e-03 8.9303e-02 1.0000e+00
8.9935e-02 1.0523e-02 5.6100e-04 3.6636e-03 9.0562e-02 1.0000e+00
9.1188e-02 6.0551e-03 5.7985e-04 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 7.7175e-03 5.7140e-04 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 1.0905e-02 5.5134e-04 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 3.9794e-03 5.6981e-04 3.8275e-03 9.5496e-02 1.0000e+00
9.6199e-02 8.4946e-03 5.4228e-04 3.4299e-03 9.6761e-02 1.0000e+00
9.7452e-02 1.0662e-02 5.4162e-04 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 7.1778e-03 5.4009e-04 3.5620e-03 9.9304e-02 1.0000e+00
9.9957e-02 8.3243e-03 5.3548e-04 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 7.3522e-03 5.5678e-04 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 1.1175e-02 5.2963e-04 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.3009e-02 5.3336e-04 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 9.7617e-03 5.3080e-04 3.4454e-03 1.0558e-01 1.0000e+00
1.0622e-01 1.5607e-02 5.0555e-04 3.4345e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.2151e-02 5.3744e-04 3.5054e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.4807e-02 5.0197e-04 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2787e-02 5.3528e-04 3.4828e-03 1.1058e-01 1.0000e+00
1.1123e-01 1.4119e-02 5.1941e-04 3.3716e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.5738e-02 5.1006e-04 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1239e-02 5.1894e-04 3.3207e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.3028e-02 4.9768e-04 3.2333e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.1707e-02 5.1697e-04 3.5587e-03 1.1687e-01 1.0000e+00
1.1749e-01 1.2803e-02 5.1184e-04 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.4548e-02 4.9079e-04 3.2933e-03 1.1944e-01 1.0000e+00
1.2000e-01 2.0231e-02 4.9340e-04 3.4763e-03 1.2058e-01 1.0000e+00
