Q, I, DelI, Q_Unc, Q_mean, Shadow
8.6177e-02 1.3275e+08 2.1028e+07 2.9426e-03 8.6760e-02 1.0000e+00
8.7430e-02 9.4461e+07 1.8570e+07 2.9503e-03 8.8093e-02 1.0000e+00
8.8683e-02 1.4797e+08 2.1932e+07 3.1313e-03 8.9296e-02 1.0000e+00
8.9935e-02 1.5540e+08 2.1842e+07 2.8953e-03 9.0514e-02 1.0000e+00
9.1188e-02 1.0955e+08 1.7945e+07 2.8957e-03 9.1842e-02 1.0000e+00
9.2441e-02 1.2484e+08 2.1996e+07 3.1158e-03 9.3027e-02 1.0000e+00
9.3694e-02 1.8381e+08 2.3851e+07 2.8060e-03 9.4266e-02 1.0000e+00
9.4946e-02 1.3577e+08 1.9997e+07 2.8507e-03 9.5621e-02 1.0000e+00
9.6199e-02 1.5093e+08 2.2236e+07 3.0128e-03 9.6808e-02 1.0000e+00
9.7452e-02 1.1711e+08 1.8184e+07 2.7770e-03 9.8072e-02 1.0000e+00
9.8704e-02 1.2471e+08 1.9621e+07 2.8986e-03 9.9376e-02 1.0000e+00
9.9957e-02 1.4245e+08 2.1689e+07 2.9407e-03 1.0051e-01 1.0000e+00
1.0121e-01 1.4008e+08 1.8602e+07 2.7037e-03 1.0183e-01 1.0000e+00
1.0246e-01 1.4901e+08 1.9988e+07 2.8732e-03 1.0313e-01 1.0000e+00
1.0372e-01 1.4736e+08 1.8573e+07 2.8098e-03 1.0431e-01 1.0000e+00
1.0497e-01 1.4492e+08 1.9065e+07 2.7333e-03 1.0562e-01 1.0000e+00
1.0622e-01 1.7675e+08 2.2343e+07 2.9361e-03 1.0682e-01 1.0000e+00
1.0747e-01 1.2774e+08 1.7762e+07 2.6475e-03 1.0805e-01 1.0000e+00
1.0873e-01 1.0685e+08 1.6118e+07 2.7579e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2693e+08 1.8660e+07 2.8436e-03 1.1056e-01 1.0000e+00
1.1123e-01 1.7742e+08 2.1627e+07 2.6236e-03 1.1182e-01 1.0000e+00
1.1248e-01 1.5449e+08 1.9256e+07 2.6865e-03 1.1315e-01 1.0000e+00
1.1374e-01 1.2917e+08 1.8928e+07 2.8015e-03 1.1435e-01 1.0000e+00
1.1499e-01 1.6953e+08 1.9834e+07 2.6202e-03 1.1559e-01 1.0000e+00
1.1624e-01 1.7379e+08 2.0215e+07 2.6827e-03 1.1689e-01 1.0000e+00
1.1749e-01 1.7318e+08 2.2428e+07 2.7614e-03 1.1806e-01 1.0000e+00
1.1875e-01 1.2877e+08 1.6384e+07 2.5315e-03 1.1935e-01 1.0000e+00
1.2000e-01 1.8604e+08 2.1572e+07 2.6579e-03 1.2068e-01 1.0000e+00
