Q, I, DelI, Q_Unc, Q_mean, Shadow
8.6177e-02 1.8827e-02 8.7961e-04 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 1.7132e-02 8.2929e-04 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.3498e-02 8.6461e-04 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 1.1229e-02 8.1960e-04 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 1.0179e-02 8.1966e-04 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 1.0952e-02 8.1684e-04 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 8.3508e-03 7.7787e-04 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 9.1380e-03 7.6452e-04 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 1.0359e-02 7.6857e-04 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 9.2782e-03 7.6761e-04 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 9.4034e-03 7.8000e-04 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 1.0142e-02 7.8320e-04 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 9.2639e-03 7.5782e-04 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.1085e-02 7.5915e-04 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.1179e-02 7.8608e-04 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.1416e-02 7.7439e-04 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.2016e-02 7.7505e-04 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.2854e-02 7.7325e-04 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.3823e-02 7.6195e-04 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.3984e-02 7.6294e-04 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.3105e-02 7.6216e-04 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.3476e-02 7.5196e-04 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.3088e-02 7.7952e-04 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.5065e-02 7.4739e-04 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.3149e-02 7.5884e-04 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.4132e-02 7.3856e-04 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2872e-02 7.3826e-04 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.1905e-02 7.4258e-04 3.4762e-03 1.2058e-01 1.0000e+00
