Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 4.0879e+01 1.9119e-01 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.0019e+01 9.0522e-02 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 3.9492e+00 5.1018e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0001e+00 3.4848e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.1813e+00 2.4164e-02 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.5820e-01 1.8580e-02 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.7323e-01 1.3991e-02 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.9958e-01 1.2481e-02 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 3.1216e-01 1.0414e-02 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.6190e-01 9.4912e-03 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.3544e-01 8.0789e-03 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.9403e-01 7.2935e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.6925e-01 6.9983e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.5377e-01 6.2748e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 1.4123e-01 5.7614e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2057e-01 5.3295e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.1766e-01 4.8976e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 9.6899e-02 4.9344e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 7.0357e-02 5.4246e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 6.5581e-02 9.1079e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 6.8721e-02 1.0321e-02 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 7.8107e-02 3.4334e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 6.1247e-02 3.9375e-03 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 6.9192e-02 3.2841e-03 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 5.6945e-02 3.5118e-03 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 5.8053e-02 3.1997e-03 1.5755e-03 3.5423e-02 1.0000e+00
3.6070e-02 5.1911e-02 3.1380e-03 1.5904e-03 3.6683e-02 1.0000e+00
3.7323e-02 5.3166e-02 3.0954e-03 1.9506e-03 3.7900e-02 1.0000e+00
3.8575e-02 5.2298e-02 2.8197e-03 2.2738e-03 3.9186e-02 1.0000e+00
3.9828e-02 4.6076e-02 3.1018e-03 2.6458e-03 4.0408e-02 1.0000e+00
4.1081e-02 4.3717e-02 2.7674e-03 3.1056e-03 4.1723e-02 1.0000e+00
4.2333e-02 4.2525e-02 2.8852e-03 3.6859e-03 4.2967e-02 1.0000e+00
4.3586e-02 4.1514e-02 2.6545e-03 4.2071e-03 4.4124e-02 1.0000e+00
4.4839e-02 4.0849e-02 2.4897e-03 4.6567e-03 4.5528e-02 1.0000e+00
4.6091e-02 4.2681e-02 2.7054e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.7885e-02 2.4218e-03 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.8431e-02 2.5954e-03 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 4.3034e-02 2.3375e-03 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.7240e-02 2.3304e-03 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 3.6057e-02 2.4451e-03 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 4.3351e-02 2.1810e-03 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.4177e-02 2.2555e-03 4.5663e-03 5.5504e-02 1.0000e+00
5.6113e-02 4.4070e-02 2.1919e-03 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 4.8768e-02 2.4029e-03 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 5.2150e-02 2.3283e-03 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 6.2308e-02 2.3214e-03 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 7.3046e-02 2.6934e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 8.2524e-02 2.3948e-03 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 9.1923e-02 2.5575e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.0573e-01 2.5971e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.1838e-01 2.4158e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.1579e-01 2.8252e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.1986e-01 2.3844e-03 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.2186e-01 2.7850e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.0916e-01 2.4603e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.0475e-01 2.3879e-03 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 9.6950e-02 2.4692e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 8.4567e-02 2.1306e-03 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 7.7395e-02 2.2339e-03 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 6.1326e-02 2.0411e-03 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.4433e-02 1.8966e-03 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.4293e-02 1.8828e-03 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.2611e-02 1.8159e-03 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.2624e-02 1.7484e-03 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.6351e-02 1.6750e-03 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.2915e-02 1.5216e-03 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 1.5853e-02 1.5078e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.6534e-02 1.4781e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 8.2700e-03 1.5229e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 9.7058e-03 1.4896e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 9.0758e-03 1.4842e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 1.0189e-02 1.4057e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.0515e-03 1.4491e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 9.5635e-03 1.3154e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 6.1654e-03 1.4148e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 6.7893e-03 1.4689e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 6.0280e-03 1.4155e-03 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 9.7023e-03 1.3017e-03 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 7.1990e-03 1.3405e-03 3.7699e-03 1.0183e-01 1.0000e+00
1.0246e-01 8.0232e-03 1.4329e-03 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 9.7998e-03 1.3113e-03 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.0310e-02 1.3290e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.1395e-02 1.3486e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 8.5024e-03 1.3483e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.3351e-02 1.3213e-03 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.1393e-02 1.3209e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.1431e-02 1.3850e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.1389e-02 1.3436e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1154e-02 1.3592e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.3659e-02 1.2708e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 9.4988e-03 1.3737e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.3239e-02 1.2854e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2651e-02 1.2205e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.0743e-02 1.2809e-03 3.4881e-03 1.2058e-01 1.0000e+00
