Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
4.7344e-02 7.3361e-02 2.2567e-03 7.1406e-02 2.2066e-03 5.2746e-02 1.9605e-03 6.8670e-02 2.1955e-03 5.2569e-02 2.0110e-03
4.8597e-02 8.1555e-02 2.3303e-03 6.4704e-02 2.1766e-03 6.6288e-02 1.9869e-03 7.1785e-02 2.2250e-03 8.4678e-02 2.1617e-03
4.9849e-02 7.0880e-02 2.6897e-03 7.9685e-02 2.6993e-03 6.5079e-02 2.4089e-03 7.5840e-02 2.7260e-03 7.0851e-02 2.5089e-03
5.1102e-02 8.9613e-02 2.0770e-03 8.1553e-02 1.9908e-03 7.7688e-02 1.8170e-03 7.3128e-02 1.9460e-03 7.2808e-02 1.8268e-03
5.2355e-02 8.1737e-02 2.3014e-03 9.2975e-02 2.3276e-03 8.2570e-02 2.0939e-03 9.8290e-02 2.2792e-03 7.9440e-02 2.0989e-03
5.3608e-02 8.5240e-02 2.3776e-03 9.0173e-02 2.3609e-03 7.3199e-02 2.1306e-03 8.2777e-02 2.3847e-03 7.4636e-02 2.1632e-03
5.4860e-02 8.2364e-02 2.1289e-03 8.9181e-02 2.1222e-03 8.0809e-02 1.9300e-03 8.3612e-02 2.0656e-03 8.4358e-02 1.9678e-03
5.6113e-02 7.7128e-02 2.4912e-03 9.6893e-02 2.5716e-03 9.2163e-02 2.3256e-03 8.2447e-02 2.2656e-03 8.5250e-02 2.3340e-03
5.7366e-02 8.2279e-02 2.1379e-03 9.3506e-02 2.1521e-03 8.6200e-02 1.9941e-03 8.9436e-02 2.2269e-03 9.0832e-02 2.0276e-03
5.8618e-02 1.0760e-01 2.2150e-03 1.1324e-01 2.1949e-03 1.0926e-01 2.0032e-03 1.1039e-01 2.1792e-03 1.2229e-01 2.0935e-03
5.9871e-02 1.1903e-01 2.5639e-03 1.2038e-01 2.5130e-03 1.3054e-01 2.3851e-03 1.5370e-01 2.9323e-03 1.1836e-01 2.3324e-03
6.1124e-02 1.5388e-01 2.3365e-03 1.5377e-01 2.2844e-03 1.7243e-01 2.1924e-03 1.6935e-01 2.2662e-03 1.5101e-01 2.1254e-03
6.2376e-02 1.7473e-01 2.4069e-03 1.9016e-01 2.4154e-03 1.8585e-01 2.2109e-03 1.9310e-01 2.3867e-03 1.9335e-01 2.2554e-03
6.3629e-02 2.1892e-01 2.9612e-03 2.0603e-01 2.8310e-03 2.2061e-01 2.6468e-03 2.1938e-01 2.9908e-03 1.8761e-01 2.5416e-03
6.4882e-02 2.4220e-01 2.7030e-03 2.2482e-01 2.5786e-03 2.4646e-01 2.4564e-03 2.3286e-01 2.5663e-03 2.1256e-01 2.3621e-03
6.6134e-02 2.6014e-01 2.8027e-03 2.8302e-01 2.8171e-03 2.9156e-01 2.6146e-03 2.6894e-01 2.6762e-03 2.7266e-01 2.5677e-03
6.7387e-02 3.0148e-01 3.1658e-03 2.9101e-01 3.0461e-03 3.0067e-01 2.8444e-03 3.1486e-01 3.2851e-03 2.8532e-01 2.7986e-03
6.8640e-02 2.9081e-01 2.6024e-03 2.8740e-01 2.5248e-03 3.1152e-01 2.3977e-03 2.9416e-01 2.5328e-03 2.9724e-01 2.3602e-03
6.9892e-02 2.6570e-01 2.8917e-03 2.9409e-01 2.9237e-03 3.1300e-01 2.7574e-03 2.8816e-01 2.7327e-03 2.8106e-01 2.6556e-03
7.1145e-02 2.6881e-01 2.8654e-03 2.7680e-01 2.8236e-03 2.8869e-01 2.6376e-03 2.9761e-01 3.0041e-03 2.7125e-01 2.6037e-03
7.2398e-02 2.4890e-01 2.4265e-03 2.5610e-01 2.3902e-03 2.7000e-01 2.2457e-03 2.7324e-01 2.4618e-03 2.4860e-01 2.1891e-03
7.3651e-02 2.2867e-01 3.0321e-03 2.2936e-01 2.9566e-03 2.6363e-01 2.8536e-03 2.3681e-01 2.4832e-03 2.2847e-01 2.7195e-03
7.4903e-02 2.0564e-01 2.2666e-03 2.1728e-01 2.2555e-03 2.2636e-01 2.1244e-03 2.1710e-01 2.4976e-03 2.1541e-01 2.0997e-03
7.6156e-02 1.8739e-01 2.1744e-03 1.8483e-01 2.1113e-03 1.8821e-01 1.9442e-03 1.7860e-01 2.0809e-03 1.8398e-01 1.9561e-03
7.7409e-02 1.5117e-01 2.5327e-03 1.6824e-01 2.5579e-03 1.6396e-01 2.3429e-03 1.4879e-01 2.3050e-03 1.4963e-01 2.2863e-03
7.8661e-02 1.3028e-01 1.9819e-03 1.3293e-01 1.9513e-03 1.3883e-01 1.8335e-03 1.3614e-01 2.0163e-03 1.3389e-01 1.8353e-03
7.9914e-02 1.0357e-01 1.8568e-03 8.8063e-02 1.7474e-03 1.0678e-01 1.6922e-03 1.0014e-01 1.8182e-03 9.4572e-02 1.6672e-03
8.1167e-02 9.7260e-02 2.1203e-03 8.8768e-02 2.0239e-03 9.3346e-02 1.8869e-03 9.9732e-02 2.1539e-03 9.4308e-02 1.9226e-03
8.2419e-02 8.4913e-02 1.6631e-03 7.2805e-02 1.5747e-03 7.7792e-02 1.4728e-03 8.4685e-02 1.5930e-03 7.0282e-02 1.4754e-03
8.3672e-02 6.3356e-02 1.6538e-03 5.0133e-02 1.5510e-03 6.1540e-02 1.5100e-03 5.6276e-02 1.5904e-03 5.2954e-02 1.4807e-03
8.4925e-02 5.7747e-02 1.8245e-03 4.6281e-02 1.7176e-03 4.8066e-02 1.6065e-03 5.2319e-02 1.8063e-03 4.6601e-02 1.6356e-03
8.6177e-02 4.7593e-02 1.4130e-03 6.0293e-02 1.4524e-03 4.4668e-02 1.2741e-03 5.0262e-02 1.3856e-03 4.5533e-02 1.3036e-03
8.7430e-02 3.8905e-02 1.5040e-03 3.2226e-02 1.4373e-03 3.8309e-02 1.3613e-03 3.8799e-02 1.4553e-03 3.6892e-02 1.3899e-03
8.8683e-02 3.0810e-02 1.5817e-03 2.7601e-02 1.5412e-03 3.2729e-02 1.4753e-03 3.1401e-02 1.6299e-03 3.5504e-02 1.5212e-03
8.9935e-02 2.5846e-02 1.3718e-03 2.1979e-02 1.3295e-03 2.5130e-02 1.2365e-03 2.2560e-02 1.3025e-03 1.9105e-02 1.2548e-03
9.1188e-02 1.6281e-02 1.4872e-03 9.7340e-03 1.4223e-03 2.7660e-02 1.4315e-03 1.5135e-02 1.4157e-03 1.1293e-02 1.3695e-03
9.2441e-02 1.6372e-02 1.5030e-03 1.1865e-02 1.4589e-03 1.3719e-02 1.3818e-03 1.3585e-02 1.5446e-03 1.8385e-02 1.4333e-03
9.3694e-02 1.6414e-02 1.2874e-03 1.4912e-02 1.2583e-03 1.8999e-02 1.1902e-03 2.4987e-02 1.2857e-03 2.3976e-02 1.2532e-03
9.4946e-02 1.7739e-02 1.4948e-03 1.8787e-02 1.4842e-03 1.9822e-02 1.3574e-03 1.8725e-02 1.4562e-03 8.1912e-03 1.3416e-03
9.6199e-02 2.0634e-02 1.3613e-03 1.7572e-02 1.3292e-03 1.9210e-02 1.2588e-03 2.8839e-02 1.4479e-03 2.5732e-02 1.3156e-03
9.7452e-02 2.6014e-02 1.3548e-03 1.5029e-02 1.2691e-03 1.7597e-02 1.2038e-03 7.6062e-03 1.2317e-03 1.7420e-02 1.2287e-03
9.8704e-02 2.4916e-02 1.4240e-03 2.4064e-02 1.3933e-03 2.1663e-02 1.2762e-03 2.5289e-02 1.4695e-03 3.5474e-02 1.4007e-03
9.9957e-02 2.5382e-02 1.3376e-03 2.0825e-02 1.2854e-03 1.7535e-02 1.2022e-03 1.7884e-02 1.2787e-03 1.9526e-02 1.2303e-03
1.0121e-01 2.2304e-02 1.2967e-03 2.8041e-02 1.3227e-03 2.3829e-02 1.2022e-03 2.7238e-02 1.3057e-03 2.6514e-02 1.2577e-03
1.0246e-01 1.4770e-02 1.4438e-03 1.3238e-02 1.4123e-03 2.0571e-02 1.3630e-03 1.8448e-02 1.4983e-03 2.0471e-02 1.3927e-03
1.0372e-01 3.2936e-02 1.2175e-03 3.5273e-02 1.2104e-03 3.7374e-02 1.1358e-03 4.0652e-02 1.2385e-03 3.1765e-02 1.1377e-03
1.0497e-01 2.3586e-02 1.3659e-03 2.7055e-02 1.3673e-03 2.2979e-02 1.2465e-03 2.9501e-02 1.3576e-03 1.9927e-02 1.2673e-03
1.0622e-01 2.4230e-02 1.4465e-03 2.3904e-02 1.4238e-03 2.5074e-02 1.3311e-03 2.9393e-02 1.5153e-03 2.1560e-02 1.3492e-03
1.0747e-01 1.4736e-02 1.2920e-03 1.6247e-02 1.2828e-03 1.6223e-02 1.1982e-03 1.6918e-02 1.2632e-03 2.1315e-02 1.2493e-03
1.0873e-01 2.9132e-02 1.3328e-03 3.4183e-02 1.3420e-03 2.9007e-02 1.1994e-03 3.5551e-02 1.3366e-03 4.0675e-02 1.3143e-03
1.0998e-01 2.7106e-02 1.4140e-03 1.9489e-02 1.3577e-03 2.0825e-02 1.2830e-03 2.7295e-02 1.4424e-03 2.5094e-02 1.3353e-03
1.1123e-01 2.5935e-02 1.1780e-03 3.5339e-02 1.2089e-03 3.8168e-02 1.1414e-03 4.6489e-02 1.2531e-03 3.9628e-02 1.1672e-03
1.1248e-01 3.1432e-02 1.4478e-03 2.7663e-02 1.4065e-03 3.1797e-02 1.3188e-03 2.9481e-02 1.3555e-03 3.0959e-02 1.3463e-03
1.1374e-01 2.9477e-02 1.3000e-03 3.1837e-02 1.2928e-03 3.2375e-02 1.2151e-03 3.5720e-02 1.3971e-03 3.3135e-02 1.2479e-03
1.1499e-01 2.8864e-02 1.2648e-03 2.1610e-02 1.2018e-03 2.1367e-02 1.1117e-03 2.2400e-02 1.2192e-03 2.2324e-02 1.1533e-03
1.1624e-01 2.7990e-02 1.5193e-03 2.3683e-02 1.4594e-03 2.9634e-02 1.3900e-03 2.2699e-02 1.3673e-03 3.0152e-02 1.4214e-03
1.1749e-01 3.1421e-02 1.2413e-03 3.0268e-02 1.2171e-03 3.2015e-02 1.1643e-03 2.7781e-02 1.2802e-03 3.0688e-02 1.1722e-03
1.1875e-01 2.6367e-02 1.2773e-03 2.8713e-02 1.2581e-03 2.5790e-02 1.1632e-03 1.4292e-02 1.1826e-03 1.9008e-02 1.1635e-03
1.2000e-01 1.7115e-02 1.4297e-03 1.7539e-02 1.4084e-03 1.8760e-02 1.3129e-03 1.0067e-02 1.3955e-03 2.0441e-02 1.3474e-03
