Q, I, DelI, Q_Unc, Q_mean, Shadow
8.6177e-02 1.8115e-02 1.8076e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.5337e-02 1.7734e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.3092e-02 1.9058e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.0170e-02 1.6098e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 6.4406e-03 1.7584e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 9.7827e-03 1.7296e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 7.4961e-03 1.5986e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 7.8722e-03 1.7602e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 7.8516e-03 1.6082e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 9.2114e-03 1.5485e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 7.5969e-03 1.7581e-03 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 8.3425e-03 1.6657e-03 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 9.8087e-03 1.5772e-03 3.7699e-03 1.0183e-01 1.0000e+00
1.0246e-01 1.1267e-02 1.7357e-03 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.0837e-02 1.6350e-03 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.2511e-02 1.7087e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.0722e-02 1.8667e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.3062e-02 1.5521e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.2933e-02 1.7221e-03 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.4319e-02 1.7451e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.2367e-02 1.5757e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.4205e-02 1.7244e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1485e-02 1.8209e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.4987e-02 1.5602e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.4904e-02 1.8091e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.5454e-02 1.6135e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.1098e-02 1.5835e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.2475e-02 1.7595e-03 3.4881e-03 1.2058e-01 1.0000e+00
