Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.6284e+01 7.1699e-02 5.0990e-02 1.6214e-02 4.9122e-02 3.3246e-03 3.5661e-02 2.4136e-03 -2.2328e-01 1.7994e-02 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1094e+01 3.3340e-02 2.2272e-01 9.0721e-03 1.2045e-02 1.3346e-03 1.1164e-02 1.2371e-03 1.4524e-01 9.9774e-03 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.3788e+00 1.8573e-02 2.4203e-01 6.0608e-03 7.1985e-03 8.6160e-04 6.3193e-03 7.5639e-04 1.9644e-01 6.9419e-03 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0811e+00 1.2836e-02 2.5814e-01 5.5167e-03 1.5604e-03 3.7031e-04 1.4420e-03 3.4220e-04 2.0866e-01 6.2182e-03 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2014e+00 8.7361e-03 2.1320e-01 4.9308e-03 4.6275e-04 1.8551e-04 4.2500e-04 1.7038e-04 2.1640e-01 5.5618e-03 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.1803e-01 6.8779e-03 2.3744e-01 4.3672e-03 1.6057e-03 3.3164e-04 1.3682e-03 2.8261e-04 2.1291e-01 4.9263e-03 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.9291e-01 5.3348e-03 2.2776e-01 4.0948e-03 1.0348e-03 2.5163e-04 9.2381e-04 2.2466e-04 1.8918e-01 4.5795e-03 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.4509e-01 4.5599e-03 2.0830e-01 3.8778e-03 1.0986e-03 2.5885e-04 9.3188e-04 2.1958e-04 2.0195e-01 4.3621e-03 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 2.6264e-01 3.9149e-03 2.2502e-01 3.6739e-03 1.5163e-03 3.0289e-04 1.3465e-03 2.6900e-04 1.5093e-01 4.1681e-03 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.1991e-01 3.5016e-03 2.0238e-01 3.3648e-03 5.9752e-04 1.7827e-04 5.5897e-04 1.6678e-04 1.7707e-01 3.7874e-03 1.3416e-03 1.5410e-02 1.0000e+00
