Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
4.3586e-02 4.2478e-02 1.3079e-03 1.5467e-02 9.2723e-04 3.5954e-02 1.2026e-03 1.4899e-02 1.0509e-03 4.1835e-03 4.4128e-02 1.0000e+00
4.4839e-02 3.0476e-02 7.7287e-04 1.8886e-02 4.6994e-04 3.8711e-02 8.5893e-04 1.7860e-02 5.3276e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 3.1753e-02 7.6260e-04 1.5003e-02 4.5980e-04 4.0523e-02 7.9449e-04 1.5623e-02 5.4916e-04 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 2.8396e-02 7.0359e-04 1.3288e-02 4.2567e-04 3.4030e-02 7.2042e-04 1.0223e-02 4.7094e-04 4.4852e-03 4.7929e-02 1.0000e+00
4.8597e-02 3.7626e-02 7.1440e-04 1.1472e-02 4.0332e-04 3.9209e-02 7.1737e-04 1.2427e-02 4.6913e-04 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 3.1339e-02 7.4317e-04 1.0313e-02 4.2897e-04 3.3675e-02 7.4629e-04 8.9951e-03 4.8006e-04 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 3.4747e-02 6.7712e-04 9.9569e-03 3.9096e-04 3.5655e-02 6.8005e-04 1.0456e-02 4.4768e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 3.9432e-02 6.8707e-04 9.6059e-03 4.0067e-04 4.3151e-02 6.9467e-04 8.3228e-03 4.5442e-04 4.8602e-03 5.2983e-02 1.0000e+00
5.3608e-02 3.6386e-02 6.8705e-04 8.6336e-03 3.9103e-04 3.8514e-02 6.9253e-04 7.6772e-03 4.3390e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 4.3205e-02 7.0060e-04 7.3247e-03 3.7433e-04 4.0294e-02 6.9056e-04 7.4921e-03 4.2625e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 3.9750e-02 6.7090e-04 9.7859e-03 3.6378e-04 4.7601e-02 6.9298e-04 9.4556e-03 4.0914e-04 4.5399e-03 5.6715e-02 1.0000e+00
5.7366e-02 4.8824e-02 7.0587e-04 5.6169e-03 3.7575e-04 4.7687e-02 6.9540e-04 4.9802e-03 4.1740e-04 4.3663e-03 5.7990e-02 1.0000e+00
5.8618e-02 5.8601e-02 7.0834e-04 6.2331e-03 3.3504e-04 6.0607e-02 7.0826e-04 8.7350e-03 3.9690e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 6.5993e-02 7.0437e-04 5.0074e-03 3.4462e-04 6.6502e-02 7.0080e-04 4.9278e-03 3.8721e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 7.3372e-02 7.3292e-04 6.1380e-03 3.2191e-04 8.3143e-02 7.6165e-04 4.8680e-03 3.6656e-04 4.4155e-03 6.1709e-02 1.0000e+00
6.2376e-02 9.6236e-02 7.6844e-04 4.9910e-03 3.5013e-04 9.8517e-02 7.6649e-04 4.0847e-03 3.8995e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 9.9266e-02 7.7267e-04 4.9396e-03 3.3190e-04 1.1175e-01 8.0517e-04 3.9992e-03 3.6850e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.0969e-01 7.9306e-04 2.9141e-03 3.4628e-04 1.1840e-01 8.1444e-04 2.1174e-03 3.8543e-04 4.1517e-03 6.5467e-02 1.0000e+00
