Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.1831e+01 1.9603e-01 2.0374e+01 4.2945e-01 2.6878e-03 4.1795e-03 1.0000e+00
4.7527e-03 1.0099e+01 9.1985e-02 8.9676e-01 1.6854e-01 2.2466e-03 5.4397e-03 1.0000e+00
6.0054e-03 4.0505e+00 5.0843e-02 3.8732e-01 9.3930e-02 2.0123e-03 6.6902e-03 1.0000e+00
7.2581e-03 1.9938e+00 3.4513e-02 7.2823e-02 5.9017e-02 1.8473e-03 7.9324e-03 1.0000e+00
8.5108e-03 1.1696e+00 2.4094e-02 -3.5941e-03 4.2065e-02 1.7311e-03 9.1688e-03 1.0000e+00
9.7634e-03 7.4539e-01 1.8615e-02 -9.3321e-03 3.0817e-02 1.6169e-03 1.0401e-02 1.0000e+00
1.1016e-02 5.6177e-01 1.3991e-02 -1.5655e-03 2.4716e-02 1.5133e-03 1.1649e-02 1.0000e+00
1.2269e-02 3.7726e-01 1.2193e-02 2.0507e-02 2.0468e-02 1.4475e-03 1.2903e-02 1.0000e+00
1.3522e-02 3.0613e-01 1.0363e-02 3.3923e-02 1.7304e-02 1.3684e-03 1.4159e-02 1.0000e+00
1.4774e-02 2.5885e-01 9.5027e-03 8.9233e-04 1.4612e-02 1.3100e-03 1.5429e-02 1.0000e+00
1.6027e-02 2.2260e-01 7.9268e-03 -1.0796e-02 1.3003e-02 1.2751e-03 1.6683e-02 1.0000e+00
1.7280e-02 1.8866e-01 7.2939e-03 2.2343e-04 1.2101e-02 1.2201e-03 1.7933e-02 1.0000e+00
1.8532e-02 1.6704e-01 6.9325e-03 -2.1506e-03 1.1235e-02 1.1941e-03 1.9176e-02 1.0000e+00
1.9785e-02 1.4949e-01 6.2714e-03 -2.1080e-02 1.0031e-02 1.1465e-03 2.0419e-02 1.0000e+00
2.1038e-02 1.3939e-01 5.6923e-03 -2.2841e-03 8.9849e-03 1.1062e-03 2.1678e-02 1.0000e+00
2.2290e-02 1.1578e-01 5.2814e-03 7.3626e-03 8.5202e-03 1.0799e-03 2.2942e-02 1.0000e+00
2.3543e-02 1.1125e-01 4.8302e-03 4.6530e-03 8.2096e-03 1.0602e-03 2.4192e-02 1.0000e+00
2.4796e-02 9.8060e-02 4.9738e-03 5.5928e-04 7.6881e-03 1.0237e-03 2.5443e-02 1.0000e+00
2.6048e-02 7.1401e-02 5.4202e-03 1.9793e-02 7.8813e-03 1.0771e-03 2.6664e-02 1.0000e+00
2.7301e-02 7.8045e-02 9.4427e-03 -7.7275e-04 1.0921e-02 1.2094e-03 2.7929e-02 1.0000e+00
2.8554e-02 6.7014e-02 1.0315e-02 1.2025e-02 1.1458e-02 1.3523e-03 2.9162e-02 1.0000e+00
2.9806e-02 7.8317e-02 3.4348e-03 5.7711e-03 6.2743e-03 1.4858e-03 3.0427e-02 1.0000e+00
3.1059e-02 6.4631e-02 3.9776e-03 -6.6255e-03 6.0772e-03 1.4573e-03 3.1659e-02 1.0000e+00
3.2312e-02 7.0091e-02 3.2923e-03 4.7548e-04 5.6676e-03 1.5191e-03 3.2923e-02 1.0000e+00
3.3565e-02 5.9501e-02 3.5427e-03 -1.6824e-03 5.5725e-03 1.5365e-03 3.4182e-02 1.0000e+00
3.4817e-02 5.8448e-02 3.2031e-03 8.2748e-03 5.3946e-03 1.5568e-03 3.5434e-02 1.0000e+00
3.6070e-02 5.2706e-02 3.1446e-03 3.7622e-03 5.3904e-03 1.6053e-03 3.6700e-02 1.0000e+00
3.7323e-02 5.1765e-02 3.0767e-03 5.2602e-03 7.5230e-03 1.9938e-03 3.7913e-02 1.0000e+00
3.8575e-02 5.1583e-02 2.8132e-03 1.5847e-02 1.6030e-02 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 4.3251e-02 3.0614e-03 2.7678e-03 4.6810e-03 2.7142e-03 4.0403e-02 1.0000e+00
4.1081e-02 4.5236e-02 2.7808e-03 -2.8415e-03 4.0769e-03 3.0835e-03 4.1717e-02 1.0000e+00
