Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
2.8554e-02 9.7607e-02 2.9173e-03 2.2041e-05 3.0999e-05 -2.3771e-02 5.3628e-03 1.3523e-03 2.9162e-02 1.0000e+00
2.9806e-02 7.5967e-02 2.7917e-03 3.0478e-05 3.9540e-05 -9.1863e-03 5.0359e-03 1.4858e-03 3.0427e-02 1.0000e+00
3.1059e-02 7.1719e-02 3.0096e-03 5.2228e-07 5.7428e-06 -1.0737e-03 5.1117e-03 1.4573e-03 3.1659e-02 1.0000e+00
3.2312e-02 6.8682e-02 2.7568e-03 2.8563e-05 3.9754e-05 -5.2992e-03 4.7727e-03 1.5191e-03 3.2923e-02 1.0000e+00
3.3565e-02 5.8051e-02 2.8177e-03 2.6920e-05 4.2907e-05 -5.7246e-03 4.6773e-03 1.5365e-03 3.4182e-02 1.0000e+00
3.4817e-02 5.8127e-02 2.5001e-03 2.8895e-07 3.9415e-06 -4.2180e-03 4.4033e-03 1.5568e-03 3.5434e-02 1.0000e+00
3.6070e-02 5.7879e-02 2.2986e-03 4.9585e-06 1.5044e-05 1.1861e-03 4.4816e-03 1.6053e-03 3.6700e-02 1.0000e+00
3.7323e-02 5.4383e-02 2.4348e-03 7.9592e-08 2.0828e-06 -7.1965e-03 6.1349e-03 1.9938e-03 3.7913e-02 1.0000e+00
3.8575e-02 5.4214e-02 2.1012e-03 6.5827e-05 5.1775e-05 -2.1844e-02 1.2193e-02 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 5.2384e-02 2.5171e-03 3.8657e-05 4.8352e-05 -6.7320e-03 3.8096e-03 2.7142e-03 4.0403e-02 1.0000e+00
4.1081e-02 4.4648e-02 2.0584e-03 7.1411e-07 5.8210e-06 5.2601e-03 3.3658e-03 3.0835e-03 4.1717e-02 1.0000e+00
4.2333e-02 4.7522e-02 2.1617e-03 1.4069e-08 8.3172e-07 -2.2097e-03 3.9380e-03 3.7596e-03 4.2968e-02 1.0000e+00
4.3586e-02 3.9774e-02 2.1320e-03 8.1650e-06 2.1601e-05 -4.2086e-04 3.2168e-03 4.2071e-03 4.4125e-02 1.0000e+00
4.4839e-02 4.4316e-02 1.8848e-03 6.3929e-06 1.6007e-05 -1.0926e-03 3.0744e-03 4.7093e-03 4.5536e-02 1.0000e+00
4.6091e-02 3.6001e-02 2.1866e-03 1.2603e-04 9.1500e-05 1.5294e-03 3.6121e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.8795e-02 1.7421e-03 6.7412e-06 1.6238e-05 5.7658e-04 2.8016e-03 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 4.0182e-02 2.0468e-03 1.9768e-05 3.2101e-05 -2.3770e-03 3.0775e-03 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 3.9005e-02 1.8717e-03 1.4861e-06 8.1695e-06 1.9109e-03 3.2975e-03 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.4362e-02 1.8443e-03 4.9901e-06 1.5716e-05 4.8055e-03 2.7356e-03 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 4.0398e-02 1.9406e-03 1.4456e-05 2.5958e-05 -9.2087e-04 3.0727e-03 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 3.9186e-02 1.7680e-03 3.0056e-05 3.4624e-05 1.6522e-03 2.9331e-03 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 3.8975e-02 1.8685e-03 9.6301e-09 6.5674e-07 1.6872e-03 2.7990e-03 4.5663e-03 5.5503e-02 1.0000e+00
5.6113e-02 4.4104e-02 1.6873e-03 6.7499e-08 1.4760e-06 -8.0183e-04 3.0560e-03 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 4.6691e-02 1.8350e-03 5.4510e-06 1.4020e-05 -2.7362e-03 2.7648e-03 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 5.6286e-02 1.8485e-03 5.4768e-07 4.0773e-06 -7.9667e-03 2.8643e-03 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 6.2973e-02 1.7771e-03 1.5353e-05 1.9622e-05 -1.0536e-02 3.0988e-03 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 7.4069e-02 2.2677e-03 6.4988e-06 1.5020e-05 -8.7512e-03 3.2470e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 8.3116e-02 1.9040e-03 3.3853e-06 8.5925e-06 -7.6440e-03 3.0680e-03 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 9.1237e-02 2.1035e-03 1.6730e-07 2.0141e-06 3.2240e-03 3.6438e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.0260e-01 2.1311e-03 4.1806e-05 3.0418e-05 -1.1027e-03 3.3707e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.1329e-01 2.0437e-03 1.8790e-05 1.8611e-05 -3.4939e-03 3.4852e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.1835e-01 2.3577e-03 1.9168e-06 6.7091e-06 -2.3162e-03 3.9931e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.1174e-01 2.0325e-03 1.9265e-06 5.9674e-06 8.3728e-03 3.3482e-03 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.2095e-01 2.2789e-03 9.6730e-06 1.4411e-05 3.4555e-03 3.7584e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.1007e-01 2.0009e-03 1.3014e-05 1.5385e-05 1.5557e-02 3.5790e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.0408e-01 1.9610e-03 1.2932e-05 1.5457e-05 4.8295e-03 3.1695e-03 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 9.5553e-02 2.0459e-03 9.2603e-06 1.4242e-05 5.4103e-03 3.7546e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 7.8642e-02 1.7070e-03 3.0075e-05 2.3605e-05 1.3264e-02 2.8808e-03 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 7.0117e-02 1.8652e-03 8.6867e-06 1.4680e-05 8.1242e-03 2.9063e-03 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 5.8406e-02 1.5976e-03 6.8004e-06 1.2190e-05 7.5713e-03 2.9917e-03 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.2032e-02 1.4952e-03 2.9866e-05 2.5330e-05 4.9154e-03 2.4866e-03 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.4204e-02 1.5191e-03 1.6304e-05 2.0630e-05 3.0455e-03 2.3899e-03 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.5925e-02 1.3239e-03 8.2160e-06 1.4158e-05 3.3360e-03 2.4838e-03 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.2082e-02 1.4154e-03 2.4924e-07 2.7895e-06 -2.1756e-03 2.1609e-03 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.2415e-02 1.2200e-03 4.3316e-06 1.1992e-05 4.2569e-03 2.0139e-03 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.1326e-02 1.2006e-03 8.9737e-08 1.7414e-06 -1.9393e-03 2.0417e-03 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 1.4366e-02 1.1761e-03 6.4106e-05 5.5571e-05 4.3760e-03 1.8968e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.4930e-02 1.1337e-03 8.7608e-06 1.9420e-05 -9.0558e-04 1.8566e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.1199e-02 1.1221e-03 6.6110e-05 6.0988e-05 3.2269e-03 1.8621e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.0368e-02 1.0435e-03 4.1598e-05 4.6751e-05 -1.3769e-03 1.6421e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 1.1563e-02 1.0300e-03 1.4052e-05 2.5392e-05 -6.2989e-04 1.6776e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 8.7639e-03 1.0554e-03 3.7393e-05 4.8761e-05 2.8232e-03 1.6611e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 9.9828e-03 1.0267e-03 1.5547e-06 9.0604e-06 -1.6349e-03 1.6058e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 6.7186e-03 1.0379e-03 6.0201e-05 6.9509e-05 -8.0784e-04 1.6802e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 9.1140e-03 1.0015e-03 4.7197e-07 5.0962e-06 -3.1855e-03 1.6035e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 8.1877e-03 1.0499e-03 3.9834e-05 5.1800e-05 4.5032e-07 1.6142e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 1.0120e-02 9.4416e-04 5.6913e-06 1.5833e-05 -5.4443e-03 1.6637e-03 3.5747e-03 9.9304e-02 1.0000e+00
9.9957e-02 6.6286e-03 1.0061e-03 4.5642e-06 1.8669e-05 2.7484e-03 1.5659e-03 3.4778e-03 1.0063e-01 1.0000e+00
1.0121e-01 8.0851e-03 1.0354e-03 3.9798e-06 1.6243e-05 -4.1121e-04 1.5763e-03 3.7849e-03 1.0184e-01 1.0000e+00
1.0246e-01 8.5029e-03 1.0047e-03 2.4272e-06 1.2003e-05 1.4231e-03 1.6538e-03 3.4213e-03 1.0303e-01 1.0000e+00
1.0372e-01 1.0683e-02 1.0107e-03 3.4918e-07 4.0858e-06 6.7135e-04 1.5541e-03 3.5525e-03 1.0433e-01 1.0000e+00
1.0497e-01 1.0631e-02 1.0048e-03 6.1759e-08 1.7124e-06 -8.2275e-04 1.6167e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.1122e-02 9.6090e-04 1.6722e-05 2.6349e-05 8.5887e-04 1.6684e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 8.9774e-03 9.9747e-04 1.1376e-06 7.9397e-06 2.4719e-03 1.5602e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.2189e-02 9.5003e-04 3.6802e-06 1.1673e-05 1.0629e-03 1.6196e-03 3.4246e-03 1.0939e-01 1.0000e+00
1.0998e-01 1.1465e-02 1.0409e-03 1.4627e-07 2.6290e-06 1.7505e-03 1.6850e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 9.8896e-03 9.8213e-04 2.3111e-08 1.0616e-06 3.1025e-03 1.5582e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.1266e-02 1.0023e-03 1.1251e-05 2.2397e-05 2.8504e-03 1.7264e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.3267e-02 9.8460e-04 3.5763e-05 3.6153e-05 9.1343e-04 1.5902e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.1754e-02 9.6552e-04 1.0305e-06 6.3926e-06 9.5274e-04 1.5291e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0742e-02 1.0161e-03 2.7153e-05 3.6131e-05 -1.5509e-03 1.7294e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 9.9436e-03 9.6491e-04 2.2242e-06 1.0204e-05 3.9366e-03 1.5295e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 9.6242e-03 9.5045e-04 1.5747e-05 2.7187e-05 4.3946e-03 1.5206e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.0258e-02 9.4568e-04 1.3379e-07 2.4150e-06 1.9055e-03 1.6442e-03 3.4881e-03 1.2058e-01 1.0000e+00
