Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.1774e+01 1.6170e-01 4.1888e-03 1.1449e-03 2.0400e+01 3.6529e-01 2.6878e-03 4.1795e-03 1.0000e+00
4.7527e-03 1.0161e+01 7.5637e-02 2.2670e-06 2.5263e-05 5.4596e-01 1.4104e-01 2.2466e-03 5.4397e-03 1.0000e+00
6.0054e-03 4.0928e+00 4.1265e-02 1.0744e-05 4.7275e-05 1.5318e-01 7.7681e-02 2.0123e-03 6.6902e-03 1.0000e+00
7.2581e-03 1.9378e+00 2.7183e-02 1.7251e-04 1.8136e-04 2.3727e-01 4.8920e-02 1.8473e-03 7.9324e-03 1.0000e+00
8.5108e-03 1.1630e+00 1.9634e-02 3.3703e-06 2.3635e-05 5.0621e-02 3.4994e-02 1.7311e-03 9.1688e-03 1.0000e+00
9.7634e-03 7.9628e-01 1.4597e-02 1.3000e-05 4.1704e-05 1.4837e-02 2.5973e-02 1.6169e-03 1.0401e-02 1.0000e+00
1.1016e-02 5.2445e-01 1.1865e-02 2.2982e-07 5.5539e-06 2.4296e-02 2.0502e-02 1.5133e-03 1.1649e-02 1.0000e+00
1.2269e-02 4.0051e-01 9.8646e-03 7.9324e-09 9.8166e-07 -5.0600e-03 1.7137e-02 1.4475e-03 1.2903e-02 1.0000e+00
1.3522e-02 3.0310e-01 8.5839e-03 1.2779e-06 1.2463e-05 1.9746e-02 1.4659e-02 1.3684e-03 1.4159e-02 1.0000e+00
1.4774e-02 2.5132e-01 7.5234e-03 3.3089e-05 6.1042e-05 7.7043e-03 1.2452e-02 1.3100e-03 1.5429e-02 1.0000e+00
1.6027e-02 2.1021e-01 6.6062e-03 1.5403e-04 1.2645e-04 1.9289e-02 1.1260e-02 1.2751e-03 1.6683e-02 1.0000e+00
1.7280e-02 1.8242e-01 6.0203e-03 6.7241e-06 2.5846e-05 3.8268e-03 1.0064e-02 1.2201e-03 1.7933e-02 1.0000e+00
1.8532e-02 1.6421e-01 5.4010e-03 2.2903e-07 4.5104e-06 -4.0000e-03 9.2285e-03 1.1941e-03 1.9176e-02 1.0000e+00
1.9785e-02 1.4943e-01 5.0753e-03 8.6633e-05 8.6415e-05 2.3872e-03 8.4472e-03 1.1465e-03 2.0419e-02 1.0000e+00
2.1038e-02 1.2925e-01 4.7596e-03 4.3160e-06 1.9449e-05 -7.4687e-04 7.7529e-03 1.1062e-03 2.1678e-02 1.0000e+00
2.2290e-02 1.1671e-01 4.3197e-03 2.1714e-06 1.3175e-05 -3.5223e-03 7.2429e-03 1.0799e-03 2.2942e-02 1.0000e+00
2.3543e-02 1.0655e-01 4.2207e-03 2.6430e-05 4.7005e-05 -7.8987e-03 6.8892e-03 1.0602e-03 2.4192e-02 1.0000e+00
2.4796e-02 8.5715e-02 4.1519e-03 2.7555e-06 1.6646e-05 9.1750e-03 6.6132e-03 1.0237e-03 2.5443e-02 1.0000e+00
2.6048e-02 6.7786e-02 4.7339e-03 1.3632e-04 1.5013e-04 2.8471e-02 6.8136e-03 1.0771e-03 2.6664e-02 1.0000e+00
2.7301e-02 6.7115e-02 7.7493e-03 6.9949e-05 1.7691e-04 2.0596e-02 9.1240e-03 1.2094e-03 2.7929e-02 1.0000e+00
