Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
6.3629e-02 1.4390e+08 4.9443e+07 6.1336e+07 7.7671e+07 3.4868e-03 6.4282e-02 1.0000e+00
6.4882e-02 2.0623e+08 5.8501e+07 -2.0982e+07 8.1372e+07 3.3311e-03 6.5464e-02 1.0000e+00
6.6134e-02 1.0619e+08 4.4814e+07 4.5471e+07 6.4842e+07 3.3110e-03 6.6765e-02 1.0000e+00
6.7387e-02 6.3622e+07 3.1117e+07 1.8382e+08 8.0789e+07 3.4879e-03 6.7967e-02 1.0000e+00
6.8640e-02 8.1148e+07 3.8298e+07 5.3861e+07 5.6882e+07 3.1419e-03 6.9194e-02 1.0000e+00
6.9892e-02 1.1373e+08 4.2053e+07 7.2983e+06 5.9147e+07 3.1778e-03 7.0569e-02 1.0000e+00
7.1145e-02 8.1093e+07 3.8298e+07 4.6058e+07 6.4740e+07 3.5257e-03 7.1759e-02 1.0000e+00
7.2398e-02 1.1831e+08 4.3555e+07 -3.5423e+07 5.4685e+07 3.0837e-03 7.2958e-02 1.0000e+00
7.3651e-02 9.4969e+07 3.5869e+07 6.3035e+07 5.8943e+07 3.1700e-03 7.4314e-02 1.0000e+00
7.4903e-02 9.9562e+07 3.9648e+07 5.0504e+07 6.6673e+07 3.3878e-03 7.5466e-02 1.0000e+00
7.6156e-02 1.4765e+08 4.4415e+07 1.2833e+06 6.1605e+07 3.0133e-03 7.6729e-02 1.0000e+00
7.7409e-02 1.6151e+08 5.0293e+07 -3.8680e+07 6.5638e+07 3.1361e-03 7.8078e-02 1.0000e+00
7.8661e-02 2.1053e+08 5.4068e+07 -1.1258e+08 6.7899e+07 3.2174e-03 7.9248e-02 1.0000e+00
7.9914e-02 1.3420e+08 4.0714e+07 -5.4764e+07 5.1714e+07 2.9694e-03 8.0560e-02 1.0000e+00
8.1167e-02 1.7101e+08 4.9065e+07 -9.6924e+07 6.0050e+07 3.1907e-03 8.1844e-02 1.0000e+00
8.2419e-02 1.5487e+08 4.4736e+07 -4.3967e+07 6.0403e+07 3.1121e-03 8.2988e-02 1.0000e+00
8.3672e-02 1.0535e+08 3.9340e+07 -6.1775e+05 5.3678e+07 2.9781e-03 8.4298e-02 1.0000e+00
8.4925e-02 1.4300e+08 4.3109e+07 -1.4050e+07 6.2794e+07 3.1386e-03 8.5535e-02 1.0000e+00
8.6177e-02 1.4542e+08 4.2251e+07 -4.2077e+06 5.9683e+07 2.9426e-03 8.6760e-02 1.0000e+00
8.7430e-02 7.3825e+07 3.2592e+07 4.5663e+07 5.0181e+07 2.9503e-03 8.8093e-02 1.0000e+00
8.8683e-02 1.1629e+08 3.5749e+07 2.8216e+07 6.2061e+07 3.1313e-03 8.9296e-02 1.0000e+00
8.9935e-02 2.1457e+08 5.2116e+07 -7.6803e+07 6.4953e+07 2.8953e-03 9.0514e-02 1.0000e+00
9.1188e-02 8.6422e+07 3.2960e+07 -3.8038e+06 4.6689e+07 2.8957e-03 9.1842e-02 1.0000e+00
9.2441e-02 1.0817e+08 3.6439e+07 9.4269e+07 6.7540e+07 3.1158e-03 9.3027e-02 1.0000e+00
9.3694e-02 1.5500e+08 4.4736e+07 8.0045e+07 6.6166e+07 2.8060e-03 9.4266e-02 1.0000e+00
9.4946e-02 1.3194e+08 3.6134e+07 9.3540e+06 5.5125e+07 2.8507e-03 9.5621e-02 1.0000e+00
9.6199e-02 1.5219e+08 4.2552e+07 2.0874e+07 6.6920e+07 3.0128e-03 9.6808e-02 1.0000e+00
9.7452e-02 1.1258e+08 3.6108e+07 -8.9655e+06 4.9950e+07 2.7770e-03 9.8072e-02 1.0000e+00
9.8704e-02 8.6232e+07 3.2960e+07 5.0605e+07 5.3399e+07 2.8986e-03 9.9376e-02 1.0000e+00
9.9957e-02 1.6035e+08 4.1902e+07 1.3345e+07 6.3865e+07 2.9407e-03 1.0051e-01 1.0000e+00
1.0121e-01 1.6038e+08 3.8680e+07 -5.0966e+07 5.2292e+07 2.7037e-03 1.0183e-01 1.0000e+00
1.0246e-01 1.8000e+08 4.5386e+07 -5.1988e+07 6.0815e+07 2.8732e-03 1.0313e-01 1.0000e+00
1.0372e-01 1.8106e+08 4.3285e+07 -9.7975e+07 5.2884e+07 2.8098e-03 1.0431e-01 1.0000e+00
1.0497e-01 9.1553e+07 3.2962e+07 4.3273e+07 4.9167e+07 2.7333e-03 1.0562e-01 1.0000e+00
1.0622e-01 1.3885e+08 3.7815e+07 7.1108e+07 6.7018e+07 2.9361e-03 1.0682e-01 1.0000e+00
