Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.7323e-02 2.5276e-02 1.0860e-03 4.7982e-02 2.1733e-03 5.3353e-04 3.1480e-04 5.3879e-04 3.1828e-04 4.1147e-02 2.5507e-03 1.9938e-03 3.7913e-02 1.0000e+00
3.8575e-02 2.9467e-02 1.0007e-03 2.8767e-02 3.4901e-03 7.9139e-05 2.8039e-04 3.8591e-05 1.3673e-04 5.5040e-02 3.7091e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 3.9006e-02 1.1180e-03 3.4039e-02 1.1872e-03 4.3050e-04 9.7381e-05 3.1203e-04 7.0574e-05 2.9311e-02 1.8165e-03 2.7142e-03 4.0403e-02 1.0000e+00
4.1081e-02 2.6405e-02 9.9030e-04 3.5003e-02 9.0500e-04 3.1754e-04 8.8103e-05 1.9743e-04 5.4764e-05 4.1953e-02 1.6800e-03 3.0835e-03 4.1717e-02 1.0000e+00
4.2333e-02 2.5713e-02 1.0361e-03 3.1796e-02 1.0107e-03 2.3333e-05 3.0462e-05 1.6638e-05 2.1721e-05 2.7857e-02 1.9503e-03 3.7596e-03 4.2968e-02 1.0000e+00
4.3586e-02 3.6611e-02 9.6937e-04 3.5614e-02 8.9692e-04 5.1793e-05 3.1010e-05 5.3271e-05 3.1896e-05 2.2699e-02 1.6213e-03 4.2071e-03 4.4125e-02 1.0000e+00
4.4839e-02 3.2756e-02 9.0661e-04 2.7996e-02 8.4476e-04 3.3023e-05 2.5933e-05 2.8743e-05 2.2572e-05 3.8150e-02 1.0539e-03 4.7093e-03 4.5536e-02 1.0000e+00
4.6091e-02 2.9694e-02 1.0407e-03 3.7887e-02 8.8110e-04 4.0248e-06 1.0888e-05 3.7414e-06 1.0121e-05 1.5676e-02 1.0384e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 2.9087e-02 8.7342e-04 1.9884e-02 8.5587e-04 1.6571e-04 5.8897e-05 1.3500e-04 4.7984e-05 2.3551e-02 9.8236e-04 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.6240e-02 9.6272e-04 1.9820e-02 8.3804e-04 2.7873e-04 6.7515e-05 3.1223e-04 7.5646e-05 2.9892e-02 9.4773e-04 4.6754e-03 4.9324e-02 1.0000e+00
