Q, I, DelI, Q_Unc, Q_mean, Shadow
8.6177e-02 1.5892e-02 1.5079e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.5768e-02 1.4719e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.0237e-02 1.5454e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.0090e-02 1.4923e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 9.2463e-03 1.4856e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 9.0494e-03 1.3941e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.1331e-03 1.4497e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 8.6802e-03 1.3054e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 7.0871e-03 1.4215e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 6.7469e-03 1.4683e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 6.1926e-03 1.4167e-03 3.5747e-03 9.9304e-02 1.0000e+00
9.9957e-02 9.3622e-03 1.2987e-03 3.4778e-03 1.0063e-01 1.0000e+00
1.0121e-01 9.2467e-03 1.3630e-03 3.7849e-03 1.0184e-01 1.0000e+00
1.0246e-01 7.3892e-03 1.4318e-03 3.4213e-03 1.0303e-01 1.0000e+00
1.0372e-01 1.1072e-02 1.3175e-03 3.5525e-03 1.0433e-01 1.0000e+00
1.0497e-01 1.1105e-02 1.3350e-03 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 9.9126e-03 1.3367e-03 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 9.9209e-03 1.3613e-03 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.1183e-02 1.3060e-03 3.4246e-03 1.0939e-01 1.0000e+00
1.0998e-01 1.1529e-02 1.3220e-03 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.0139e-02 1.3755e-03 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.2220e-02 1.3502e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.0764e-02 1.3556e-03 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.2547e-02 1.2630e-03 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0928e-02 1.3856e-03 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.3353e-02 1.2861e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.1826e-02 1.2142e-03 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.0909e-02 1.2822e-03 3.4881e-03 1.2058e-01 1.0000e+00
