Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
5.1102e-02 3.6557e-02 1.8796e-03 4.8146e-05 4.8236e-05 3.9671e-03 2.8452e-03 4.5383e-03 5.1748e-02 1.0000e+00
5.2355e-02 4.0838e-02 2.1359e-03 1.1978e-05 2.5866e-05 -1.4406e-03 3.2139e-03 4.8281e-03 5.2963e-02 1.0000e+00
5.3608e-02 4.1124e-02 1.8392e-03 2.8935e-06 1.0909e-05 -8.8657e-04 3.1027e-03 4.4619e-03 5.4166e-02 1.0000e+00
5.4860e-02 3.7141e-02 1.8867e-03 1.3323e-06 7.9903e-06 2.4365e-03 2.8478e-03 4.5663e-03 5.5473e-02 1.0000e+00
5.6113e-02 4.4150e-02 1.7683e-03 1.4479e-05 2.2643e-05 -1.7866e-03 2.9861e-03 4.4135e-03 5.6743e-02 1.0000e+00
5.7366e-02 4.8569e-02 1.8960e-03 9.0690e-06 1.8320e-05 -1.2955e-03 2.9918e-03 4.4385e-03 5.8016e-02 1.0000e+00
5.8618e-02 5.3429e-02 1.8990e-03 3.3555e-06 1.0641e-05 9.7795e-04 3.0446e-03 4.4390e-03 5.9274e-02 1.0000e+00
5.9871e-02 6.4407e-02 1.8568e-03 4.6323e-05 3.5214e-05 -4.6288e-03 3.5645e-03 4.4894e-03 6.0524e-02 1.0000e+00
6.1124e-02 7.2315e-02 2.2984e-03 2.9145e-05 3.2628e-05 -3.6320e-03 3.3120e-03 4.3914e-03 6.1686e-02 1.0000e+00
6.2376e-02 8.8179e-02 2.0421e-03 3.4390e-05 2.8516e-05 -5.1996e-03 3.2898e-03 4.2338e-03 6.2984e-02 1.0000e+00
6.3629e-02 9.6030e-02 2.2361e-03 4.4347e-06 1.0745e-05 -3.7312e-03 3.9245e-03 4.4656e-03 6.4229e-02 1.0000e+00
6.4882e-02 1.0872e-01 2.2708e-03 3.2150e-06 8.7317e-06 -4.3388e-05 3.5884e-03 4.0925e-03 6.5444e-02 1.0000e+00
6.6134e-02 1.2057e-01 2.1524e-03 5.5804e-06 1.0355e-05 -3.0102e-03 3.6631e-03 4.0930e-03 6.6842e-02 1.0000e+00
6.7387e-02 1.3095e-01 2.6332e-03 1.0978e-06 5.3912e-06 -8.4543e-03 4.4854e-03 4.5183e-03 6.8012e-02 1.0000e+00
6.8640e-02 1.2255e-01 2.2040e-03 1.7780e-06 5.9362e-06 6.5465e-03 3.6254e-03 3.9305e-03 6.9257e-02 1.0000e+00
6.9892e-02 1.2273e-01 2.3609e-03 4.8525e-05 3.3196e-05 6.9092e-03 3.8324e-03 4.3025e-03 7.0586e-02 1.0000e+00
7.1145e-02 1.1496e-01 2.1793e-03 1.5878e-05 1.8111e-05 1.4579e-02 3.9518e-03 4.1744e-03 7.1689e-02 1.0000e+00
7.2398e-02 1.1102e-01 2.0434e-03 2.2064e-07 2.0369e-06 2.9007e-03 3.3809e-03 3.9150e-03 7.3028e-02 1.0000e+00
7.3651e-02 9.7865e-02 2.2038e-03 1.5216e-04 6.1453e-05 6.1083e-03 3.5481e-03 4.1756e-03 7.4287e-02 1.0000e+00
7.4903e-02 8.4766e-02 1.7951e-03 3.1984e-06 7.7971e-06 5.3093e-03 3.2398e-03 3.9159e-03 7.5517e-02 1.0000e+00
7.6156e-02 6.8038e-02 1.9305e-03 1.0145e-07 1.6669e-06 9.8761e-03 3.0295e-03 4.0039e-03 7.6838e-02 1.0000e+00
7.7409e-02 6.2687e-02 1.6911e-03 3.0926e-07 2.6559e-06 5.9226e-03 3.0380e-03 4.0975e-03 7.8019e-02 1.0000e+00
7.8661e-02 5.0343e-02 1.5409e-03 1.2555e-06 5.4412e-06 5.5911e-03 2.6252e-03 3.9519e-03 7.9233e-02 1.0000e+00
7.9914e-02 4.7294e-02 1.6148e-03 9.2773e-06 1.5992e-05 7.9987e-04 2.5416e-03 3.7897e-03 8.0527e-02 1.0000e+00
8.1167e-02 3.6119e-02 1.3832e-03 3.0508e-06 8.9887e-06 -2.4000e-03 2.5764e-03 4.0239e-03 8.1788e-02 1.0000e+00
8.2419e-02 3.1470e-02 1.4293e-03 6.1829e-06 1.4166e-05 2.1535e-03 2.2255e-03 3.8377e-03 8.3008e-02 1.0000e+00
8.3672e-02 2.5660e-02 1.2940e-03 1.8087e-05 2.4293e-05 -1.2971e-03 2.0872e-03 3.7028e-03 8.4317e-02 1.0000e+00
