Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7303e+01 6.2287e-02 7.7995e-01 2.1044e-02 2.3338e+00 1.8286e-02 1.5670e+00 1.2284e-02 8.7478e-01 2.4130e-02 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.1773e+01 2.9457e-02 1.4414e-01 1.0655e-02 4.9078e-01 7.6094e-03 4.0814e-01 6.3343e-03 2.3376e-01 1.1901e-02 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.6533e+00 1.6355e-02 1.1740e-01 7.0917e-03 1.9142e-01 3.9428e-03 1.6048e-01 3.3086e-03 7.9316e-02 8.0365e-03 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 2.1527e+00 1.1307e-02 4.3771e-02 5.7281e-03 6.7434e-02 2.1676e-03 5.9677e-02 1.9196e-03 3.7519e-02 6.4138e-03 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.2718e+00 7.7507e-03 3.9578e-02 5.1919e-03 4.6408e-02 1.6487e-03 4.2007e-02 1.4938e-03 2.5341e-02 5.7930e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 7.2489e-01 6.1210e-03 6.4577e-02 4.5322e-03 2.3923e-02 1.1681e-03 1.9081e-02 9.3204e-04 4.0707e-02 5.0823e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.9499e-01 4.7605e-03 4.2537e-02 4.1710e-03 1.3202e-02 7.8206e-04 1.2592e-02 7.4644e-04 4.5520e-02 4.6767e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.3651e-01 4.0626e-03 5.7297e-02 4.1219e-03 1.3868e-02 8.3624e-04 1.1651e-02 7.0294e-04 5.3331e-02 4.6080e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.4942e-01 3.4979e-03 5.0475e-02 3.7981e-03 1.2410e-02 7.8785e-04 1.1172e-02 7.0996e-04 7.8305e-03 4.2895e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.9506e-01 3.1166e-03 6.1728e-02 3.5600e-03 5.3076e-03 4.8508e-04 5.4590e-03 4.9934e-04 4.4704e-02 3.9738e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.5804e-01 2.7666e-03 2.4281e-02 3.5174e-03 2.0958e-03 2.8626e-04 2.3258e-03 3.1784e-04 3.8202e-02 3.9122e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.2776e-01 2.5583e-03 2.4034e-02 3.1987e-03 2.5381e-03 3.2702e-04 2.1224e-03 2.7349e-04 3.0622e-02 3.6435e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 8.6635e-02 2.4448e-03 4.2474e-02 3.2389e-03 2.1521e-03 3.4972e-04 1.5892e-03 2.5822e-04 2.2183e-02 3.6371e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 8.7717e-02 2.3262e-03 4.5551e-02 3.0134e-03 4.2835e-03 4.5310e-04 3.8331e-03 4.0565e-04 4.2286e-02 3.3979e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 8.2354e-02 2.1452e-03 3.1223e-02 2.9929e-03 5.1182e-03 4.9796e-04 6.2412e-03 6.0935e-04 4.2730e-02 3.3381e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 5.4825e-02 2.1614e-03 5.5626e-02 2.8570e-03 1.6704e-03 3.1589e-04 1.2658e-03 2.3931e-04 -8.7503e-03 3.2381e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.5891e-02 1.9851e-03 4.2673e-02 2.6863e-03 3.3631e-03 4.2448e-04 2.6241e-03 3.3115e-04 4.2661e-02 3.0334e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 5.9057e-02 2.0904e-03 1.8482e-02 2.8668e-03 1.1145e-03 2.2094e-04 8.1717e-04 1.6194e-04 3.0784e-02 3.1872e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 5.2766e-02 2.3697e-03 3.4844e-02 3.0180e-03 1.5450e-03 2.7565e-04 1.9991e-03 3.5707e-04 2.6689e-02 3.3135e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 4.9489e-02 4.0274e-03 2.6859e-02 3.9172e-03 2.7618e-03 3.7816e-04 2.7846e-03 3.7839e-04 1.9135e-02 4.1328e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 3.4842e-02 3.7713e-03 3.0335e-02 3.2828e-03 2.0096e-03 3.6746e-04 1.6273e-03 2.9498e-04 2.6362e-02 3.5377e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 3.1244e-02 1.1841e-03 1.1047e-02 2.0876e-03 2.1468e-03 3.7775e-04 1.5356e-03 2.7040e-04 2.7443e-02 2.4971e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 3.0870e-02 1.2309e-03 2.7649e-02 1.9771e-03 2.1349e-03 3.6253e-04 1.6894e-03 2.8715e-04 2.5461e-02 2.4374e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 4.1386e-02 1.0365e-03 2.8221e-02 1.9268e-03 9.0895e-04 2.0321e-04 1.0972e-03 2.4570e-04 1.6574e-02 2.4092e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 2.8682e-02 1.1325e-03 1.0997e-02 2.0454e-03 1.6855e-03 3.2779e-04 1.2435e-03 2.4200e-04 4.0315e-02 2.4878e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 3.5280e-02 1.0437e-03 8.5983e-03 1.9059e-03 1.5305e-03 2.7206e-04 1.3557e-03 2.4129e-04 9.4101e-03 2.4144e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 3.1935e-02 9.5888e-04 1.2088e-02 2.0331e-03 4.0691e-03 5.1653e-04 3.3792e-03 4.3055e-04 4.2274e-03 2.5426e-03 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 2.9123e-02 1.0391e-03 8.5698e-03 2.4912e-03 2.9078e-03 6.2525e-04 4.1222e-03 8.9667e-04 3.8795e-05 2.9012e-03 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 3.0526e-02 9.4734e-04 2.8050e-02 5.6202e-03 4.5566e-04 3.5354e-04 -5.4913e-04 -4.2662e-04 3.8648e-02 5.8161e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 3.0146e-02 9.7711e-04 5.0407e-03 1.2429e-03 1.9068e-03 2.0972e-04 1.2815e-03 1.4082e-04 1.6333e-02 2.0220e-03 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 2.7278e-02 9.3513e-04 1.1329e-02 9.7696e-04 1.1714e-03 1.4746e-04 9.1353e-04 1.1492e-04 1.9394e-02 1.8897e-03 3.0835e-03 4.1723e-02 1.0000e+00
