Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.7323e-02 3.5955e-02 1.1470e-03 5.7145e-02 2.2734e-03 3.2988e-04 2.1326e-04 3.1713e-04 2.0511e-04 3.7009e-02 2.6532e-03 1.9127e-03 3.7893e-02 1.0000e+00
3.8575e-02 2.7164e-02 9.8776e-04 6.2488e-02 2.0095e-03 3.9063e-05 8.1694e-05 2.9246e-05 6.1166e-05 7.4682e-02 2.4192e-03 2.3093e-03 3.9207e-02 1.0000e+00
3.9828e-02 3.3695e-02 1.0965e-03 3.6062e-02 1.2441e-03 1.3060e-05 2.0027e-05 9.1041e-06 1.3960e-05 5.1988e-02 1.9135e-03 2.6237e-03 4.0410e-02 1.0000e+00
4.1081e-02 2.9705e-02 1.0075e-03 4.3631e-02 9.4003e-04 8.7469e-05 4.4327e-05 5.3600e-05 2.7161e-05 4.9204e-02 1.7454e-03 3.0615e-03 4.1704e-02 1.0000e+00
4.2333e-02 2.2840e-02 1.0312e-03 3.3974e-02 1.0254e-03 4.6371e-05 4.7084e-05 2.5839e-05 2.6236e-05 2.3662e-02 1.9799e-03 3.6858e-03 4.2984e-02 1.0000e+00
4.3586e-02 3.4318e-02 9.6618e-04 3.7678e-02 9.2214e-04 2.3866e-05 2.2636e-05 2.2457e-05 2.1300e-05 4.0510e-02 1.7328e-03 4.2071e-03 4.4112e-02 1.0000e+00
4.4839e-02 3.3847e-02 9.1511e-04 3.2368e-02 8.5995e-04 7.5545e-05 3.7581e-05 6.1604e-05 3.0646e-05 3.7278e-02 1.1056e-03 4.6284e-03 4.5510e-02 1.0000e+00
4.6091e-02 3.1513e-02 1.0583e-03 3.6331e-02 8.9951e-04 3.8676e-05 3.4398e-05 3.4365e-05 3.0565e-05 1.6821e-02 1.0632e-03 5.3431e-03 4.6674e-02 1.0000e+00
4.7344e-02 2.9631e-02 8.7967e-04 2.1552e-02 8.7060e-04 4.1607e-05 2.9089e-05 3.5907e-05 2.5104e-05 2.6037e-02 1.0026e-03 4.5370e-03 4.7894e-02 1.0000e+00
4.8597e-02 3.1580e-02 9.4816e-04 2.2902e-02 8.6072e-04 4.5069e-04 9.4036e-05 3.9653e-04 8.2740e-05 2.6705e-02 9.6659e-04 4.6468e-03 4.9286e-02 1.0000e+00
4.9849e-02 3.3437e-02 9.2336e-04 2.2436e-02 9.3972e-04 1.2417e-06 5.8730e-06 1.0949e-06 5.1787e-06 2.0235e-02 1.0579e-03 4.8592e-03 5.0443e-02 1.0000e+00
5.1102e-02 3.4294e-02 8.6529e-04 1.9307e-02 7.2607e-04 9.5580e-05 3.6327e-05 8.9645e-05 3.4072e-05 2.3757e-02 8.5252e-04 4.5383e-03 5.1748e-02 1.0000e+00
5.2355e-02 4.4394e-02 9.8273e-04 1.5860e-02 8.0710e-04 7.2414e-05 3.2548e-05 6.5413e-05 2.9402e-05 1.3645e-02 9.1109e-04 4.8281e-03 5.2963e-02 1.0000e+00
5.3608e-02 3.4736e-02 8.9640e-04 1.5720e-02 8.6168e-04 2.8195e-06 7.5960e-06 2.3663e-06 6.3752e-06 1.4361e-02 9.5407e-04 4.4619e-03 5.4166e-02 1.0000e+00
5.4860e-02 4.5226e-02 9.0518e-04 1.6893e-02 6.8821e-04 1.7556e-04 4.5510e-05 1.8992e-04 4.9238e-05 9.7274e-03 8.1794e-04 4.5663e-03 5.5473e-02 1.0000e+00
5.6113e-02 4.4808e-02 8.8917e-04 1.7734e-02 7.2254e-04 1.9341e-05 1.6642e-05 2.1022e-05 1.8089e-05 1.6021e-02 8.2671e-04 4.4135e-03 5.6743e-02 1.0000e+00
5.7366e-02 5.9578e-02 9.0324e-04 1.2348e-02 7.6738e-04 1.1595e-04 3.4735e-05 1.5448e-04 4.6285e-05 7.4576e-03 8.9011e-04 4.4385e-03 5.8016e-02 1.0000e+00
5.8618e-02 6.1616e-02 9.1140e-04 1.8512e-02 6.5455e-04 6.5725e-05 2.5165e-05 7.3369e-05 2.8092e-05 5.3501e-03 7.7450e-04 4.4390e-03 5.9274e-02 1.0000e+00
5.9871e-02 8.1729e-02 8.4347e-04 1.1406e-02 7.1857e-04 1.1485e-04 3.8864e-05 1.2214e-04 4.1335e-05 8.7979e-03 8.1686e-04 4.4894e-03 6.0524e-02 1.0000e+00
6.1124e-02 8.0280e-02 1.1023e-03 1.3060e-02 6.6978e-04 3.2034e-05 1.6006e-05 3.0370e-05 1.5175e-05 1.0175e-02 7.7019e-04 4.3914e-03 6.1686e-02 1.0000e+00
6.2376e-02 1.0777e-01 9.4424e-04 1.2295e-02 6.8439e-04 5.8902e-04 6.2396e-05 6.5749e-04 6.9663e-05 1.0069e-02 7.8972e-04 4.2338e-03 6.2984e-02 1.0000e+00
6.3629e-02 1.1459e-01 1.0322e-03 1.3324e-02 6.8567e-04 1.5864e-04 3.9345e-05 1.6573e-04 4.1105e-05 5.0226e-03 7.8287e-04 4.4656e-03 6.4229e-02 1.0000e+00
6.4882e-02 1.2807e-01 1.0729e-03 3.9111e-03 7.0636e-04 2.1903e-04 3.7525e-05 2.4094e-04 4.1280e-05 4.4217e-03 7.9861e-04 4.0925e-03 6.5444e-02 1.0000e+00
6.6134e-02 1.4309e-01 1.0308e-03 7.0978e-03 6.9384e-04 4.4972e-04 5.3052e-05 4.7854e-04 5.6457e-05 5.6968e-03 7.7846e-04 4.0930e-03 6.6842e-02 1.0000e+00
6.7387e-02 1.5169e-01 1.1870e-03 9.6550e-03 7.1972e-04 3.0502e-04 5.2085e-05 2.9390e-04 5.0190e-05 -2.3072e-03 8.0872e-04 4.5183e-03 6.8012e-02 1.0000e+00
6.8640e-02 1.5730e-01 9.9120e-04 5.8743e-03 6.1775e-04 2.8921e-04 3.8401e-05 3.0930e-04 4.1071e-05 3.9593e-03 7.1811e-04 3.9305e-03 6.9257e-02 1.0000e+00
