Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
3.5000e-03 4.0396e+01 1.5609e-01 6.6292e-04 4.4712e-04 2.0132e+01 3.5891e-01 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 9.9379e+00 7.3702e-02 3.3332e-06 3.0182e-05 1.1988e+00 1.4650e-01 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 3.9368e+00 4.1173e-02 4.1368e-04 2.9844e-04 5.9268e-01 7.6853e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0061e+00 2.7740e-02 1.6300e-05 5.5914e-05 8.5012e-02 4.9647e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2092e+00 1.9852e-02 4.7543e-05 8.8019e-05 7.6147e-02 3.5644e-02 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.9955e-01 1.4469e-02 2.0049e-06 1.6201e-05 5.7374e-02 2.6361e-02 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.2561e-01 1.1773e-02 5.2215e-05 8.2973e-05 6.3147e-02 2.0799e-02 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 4.0418e-01 9.9967e-03 8.9610e-08 3.3284e-06 3.1165e-02 1.7530e-02 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 3.1606e-01 8.6714e-03 3.9741e-05 6.8756e-05 4.3669e-02 1.5121e-02 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.6380e-01 7.5765e-03 3.8071e-05 6.4360e-05 6.4858e-03 1.2745e-02 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 2.2316e-01 6.7397e-03 1.9443e-05 4.4484e-05 2.0175e-02 1.1617e-02 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.9049e-01 6.0307e-03 8.8642e-05 9.1992e-05 1.3180e-02 1.0189e-02 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.7478e-01 5.5347e-03 1.2994e-06 1.0671e-05 -1.0810e-02 9.1742e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.6414e-01 5.1632e-03 3.9200e-05 5.6422e-05 -1.5379e-02 8.4838e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 1.3785e-01 4.8796e-03 1.8786e-04 1.2738e-04 -1.3568e-04 7.9610e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.2942e-01 4.4329e-03 1.1370e-04 9.2913e-05 -4.9641e-03 7.4601e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 1.1444e-01 4.2879e-03 3.1627e-05 5.0407e-05 -2.7736e-03 7.0432e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 8.7418e-02 4.1331e-03 5.3692e-06 2.2905e-05 1.2864e-02 6.6412e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 6.4413e-02 4.7025e-03 5.4647e-06 3.0628e-05 3.1318e-02 6.7544e-03 1.0754e-03 2.6675e-02 1.0000e+00
