Q, Struc, DelStruc, M_Parl_Div, DelM_Parl_Div, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
5.1102e-02 3.1615e-02 1.8377e-03 1.6581e-05 2.9760e-05 -2.7347e-04 2.7104e-03 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 3.5909e-02 2.0733e-03 1.3998e-05 2.8947e-05 -2.1383e-03 3.1675e-03 4.8602e-03 5.2984e-02 1.0000e+00
5.3608e-02 3.4382e-02 1.7856e-03 3.3658e-05 3.9506e-05 1.2142e-03 2.9606e-03 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 3.7597e-02 1.9357e-03 5.1198e-05 5.0513e-05 1.5646e-03 2.9054e-03 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 4.1123e-02 1.7256e-03 1.4319e-07 2.2768e-06 -4.9777e-03 3.0704e-03 4.5399e-03 5.6716e-02 1.0000e+00
5.7366e-02 4.5162e-02 1.8974e-03 7.2313e-05 5.3692e-05 -2.3257e-03 2.8665e-03 4.3663e-03 5.7991e-02 1.0000e+00
5.8618e-02 4.7386e-02 1.8435e-03 4.7607e-06 1.3066e-05 5.9995e-03 3.0070e-03 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 6.2821e-02 1.8509e-03 4.7072e-06 1.1329e-05 -6.5815e-03 3.3055e-03 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 7.1536e-02 2.3593e-03 1.6191e-06 7.9369e-06 -1.9344e-03 3.4355e-03 4.4155e-03 6.1710e-02 1.0000e+00
6.2376e-02 8.3025e-02 1.9877e-03 1.4847e-05 1.8795e-05 1.7204e-03 3.3108e-03 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 9.4123e-02 2.2303e-03 7.2653e-06 1.3856e-05 -3.9978e-03 3.8068e-03 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.0442e-01 2.2488e-03 5.0129e-07 3.4842e-06 4.8683e-03 3.6167e-03 4.1517e-03 6.5468e-02 1.0000e+00
6.6134e-02 1.1924e-01 2.1799e-03 4.5353e-06 9.5066e-06 -1.6425e-03 3.7609e-03 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.2670e-01 2.5545e-03 1.0759e-04 5.2640e-05 -2.8247e-03 4.3159e-03 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.2211e-01 2.1852e-03 1.2767e-05 1.5799e-05 1.6334e-03 3.5860e-03 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.2439e-01 2.4288e-03 9.7068e-06 1.5171e-05 1.2804e-02 4.0909e-03 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.1821e-01 2.1515e-03 3.7500e-05 2.7097e-05 1.0704e-02 3.8251e-03 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 1.0488e-01 2.0642e-03 7.5122e-07 3.9063e-06 9.1540e-03 3.3800e-03 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 1.0101e-01 2.1610e-03 2.3750e-06 7.4094e-06 1.2831e-02 4.1156e-03 4.3727e-03 7.4234e-02 1.0000e+00
7.4903e-02 8.3775e-02 1.8294e-03 1.7058e-06 5.8369e-06 6.8799e-03 3.0394e-03 3.7725e-03 7.5480e-02 1.0000e+00
7.6156e-02 7.1035e-02 1.9648e-03 3.6102e-07 3.1320e-06 7.2199e-03 3.0626e-03 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 6.2947e-02 1.6991e-03 1.3776e-05 1.7774e-05 5.4728e-03 3.1960e-03 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 5.2111e-02 1.5609e-03 8.1828e-06 1.3831e-05 7.2578e-03 2.6258e-03 3.8681e-03 7.9256e-02 1.0000e+00
7.9914e-02 4.6866e-02 1.5950e-03 3.5433e-05 3.1012e-05 2.6703e-03 2.5340e-03 3.8524e-03 8.0554e-02 1.0000e+00
8.1167e-02 3.7026e-02 1.3953e-03 2.4006e-05 2.5124e-05 4.0249e-03 2.6391e-03 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 3.0825e-02 1.4648e-03 6.2012e-07 4.6456e-06 1.5240e-03 2.2740e-03 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 2.6016e-02 1.2917e-03 7.7189e-07 4.9753e-06 -1.2873e-03 2.0957e-03 3.7028e-03 8.4312e-02 1.0000e+00
8.4925e-02 2.1719e-02 1.2496e-03 3.3519e-05 3.4716e-05 1.3908e-03 2.1882e-03 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 1.7215e-02 1.2472e-03 9.6016e-06 2.0829e-05 -6.6977e-04 1.9622e-03 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 1.5605e-02 1.1610e-03 7.6119e-06 1.8132e-05 -1.6889e-03 1.9240e-03 3.6218e-03 8.8088e-02 1.0000e+00
8.8683e-02 1.3082e-02 1.2067e-03 3.7094e-05 4.5444e-05 6.3741e-05 1.9486e-03 3.8889e-03 8.9304e-02 1.0000e+00
8.9935e-02 1.2806e-02 1.1018e-03 9.0362e-06 2.0696e-05 -2.0891e-03 1.7435e-03 3.6636e-03 9.0563e-02 1.0000e+00
9.1188e-02 1.0779e-02 1.0569e-03 4.6684e-07 4.9184e-06 2.3745e-03 1.7795e-03 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 1.0212e-02 1.1069e-03 2.6089e-06 1.2511e-05 2.2494e-03 1.7412e-03 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 8.9072e-03 1.0409e-03 3.5866e-05 4.6719e-05 -7.6664e-04 1.6524e-03 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 6.3186e-03 1.0779e-03 2.7291e-06 1.5841e-05 3.3536e-03 1.8243e-03 3.8275e-03 9.5497e-02 1.0000e+00
9.6199e-02 1.0180e-02 1.0391e-03 9.8383e-07 7.2235e-06 -1.5449e-03 1.6908e-03 3.4299e-03 9.6762e-02 1.0000e+00
9.7452e-02 8.8460e-03 1.0926e-03 7.2832e-06 2.2170e-05 -6.1398e-04 1.6784e-03 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 1.1796e-02 9.8525e-04 7.6724e-06 1.7768e-05 -3.9874e-03 1.7936e-03 3.5620e-03 9.9305e-02 1.0000e+00
9.9957e-02 7.3568e-03 1.0463e-03 9.2404e-06 2.6222e-05 1.0589e-03 1.6193e-03 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 8.0000e-03 1.0728e-03 8.8475e-06 2.5228e-05 4.6485e-03 1.7106e-03 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 8.6923e-03 1.0289e-03 9.8013e-06 2.4433e-05 2.6505e-03 1.7333e-03 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.0689e-02 1.0541e-03 1.0420e-05 2.3273e-05 5.8478e-04 1.6208e-03 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.1338e-02 1.0407e-03 2.8763e-06 1.1721e-05 -9.5098e-05 1.7025e-03 3.4454e-03 1.0558e-01 1.0000e+00
1.0622e-01 1.3398e-02 1.0080e-03 2.9813e-06 1.0632e-05 -1.6463e-03 1.7444e-03 3.4345e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.0779e-02 1.0603e-03 2.4043e-05 3.5415e-05 2.3363e-03 1.6600e-03 3.5054e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.2739e-02 9.8292e-04 2.2990e-07 2.9526e-06 1.0236e-03 1.6953e-03 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2541e-02 1.0890e-03 1.0639e-06 7.0927e-06 3.3571e-03 1.7911e-03 3.4828e-03 1.1058e-01 1.0000e+00
1.1123e-01 1.2728e-02 1.0360e-03 1.1380e-06 6.9266e-06 1.1439e-03 1.6454e-03 3.3716e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.1682e-02 1.0391e-03 1.6831e-06 8.8191e-06 1.6880e-03 1.7875e-03 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.4065e-02 1.0289e-03 4.9930e-06 1.3708e-05 7.6186e-04 1.6641e-03 3.3207e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.2373e-02 9.9802e-04 4.6817e-07 4.3410e-06 2.0678e-03 1.6058e-03 3.2333e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0318e-02 1.0472e-03 4.1584e-07 4.7007e-06 2.6016e-03 1.8519e-03 3.5587e-03 1.1687e-01 1.0000e+00
1.1749e-01 9.9205e-03 9.9264e-04 1.4699e-07 2.7018e-06 5.7586e-03 1.6010e-03 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 9.7021e-03 9.7931e-04 4.5588e-06 1.5011e-05 6.0757e-03 1.6025e-03 3.2933e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.2212e-02 9.9947e-04 3.8741e-07 3.9805e-06 1.1501e-03 1.7425e-03 3.4763e-03 1.2058e-01 1.0000e+00
