Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 4.6284e+01 7.1699e-02 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1094e+01 3.3340e-02 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.3788e+00 1.8573e-02 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0811e+00 1.2836e-02 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2014e+00 8.7361e-03 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.1803e-01 6.8779e-03 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.9291e-01 5.3348e-03 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.4509e-01 4.5599e-03 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 2.6264e-01 3.9149e-03 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.1991e-01 3.5016e-03 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 1.6812e-01 3.0801e-03 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.3553e-01 2.7965e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.0916e-01 2.7288e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 8.9941e-02 2.4902e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 8.9505e-02 2.3370e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 4.8186e-02 2.2767e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 5.6943e-02 2.1270e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 4.9522e-02 2.1551e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 4.2007e-02 2.4853e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 4.3610e-02 4.3000e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 3.1725e-02 3.8034e-03 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 3.0208e-02 1.2787e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 2.4011e-02 1.3133e-03 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 4.3805e-02 1.1411e-03 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 2.6514e-02 1.2349e-03 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 3.1841e-02 1.1236e-03 1.5755e-03 3.5423e-02 1.0000e+00
3.6070e-02 3.3081e-02 1.0558e-03 1.5904e-03 3.6683e-02 1.0000e+00
3.7323e-02 3.3072e-02 1.1444e-03 1.9506e-03 3.7900e-02 1.0000e+00
3.8575e-02 3.3981e-02 1.0283e-03 2.2738e-03 3.9186e-02 1.0000e+00
3.9828e-02 3.3901e-02 1.1085e-03 2.6458e-03 4.0408e-02 1.0000e+00
4.1081e-02 2.7254e-02 1.0052e-03 3.1056e-03 4.1723e-02 1.0000e+00
4.2333e-02 2.5927e-02 1.0500e-03 3.6859e-03 4.2967e-02 1.0000e+00
4.3586e-02 3.8146e-02 9.9140e-04 4.2071e-03 4.4124e-02 1.0000e+00
4.4839e-02 3.2370e-02 9.1591e-04 4.6567e-03 4.5528e-02 1.0000e+00
4.6091e-02 2.6004e-02 1.0373e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.1596e-02 8.9068e-04 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.2845e-02 9.6224e-04 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 3.2228e-02 9.1489e-04 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.5249e-02 8.9660e-04 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 4.1588e-02 9.3423e-04 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 3.6356e-02 9.0773e-04 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.4445e-02 9.2937e-04 4.5663e-03 5.5504e-02 1.0000e+00
5.6113e-02 4.3174e-02 8.8440e-04 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 5.5455e-02 9.1425e-04 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 6.3525e-02 9.3202e-04 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 8.3102e-02 8.6172e-04 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 7.5325e-02 1.1316e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 1.0309e-01 9.3946e-04 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 1.1259e-01 1.0496e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.1407e-01 1.0612e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.3502e-01 1.0483e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.4649e-01 1.1790e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.4172e-01 9.7006e-04 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.3837e-01 1.1418e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.2182e-01 1.0251e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.2032e-01 9.9262e-04 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 1.0984e-01 1.0271e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 9.1604e-02 8.4046e-04 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 8.8275e-02 9.5412e-04 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 7.1105e-02 8.0950e-04 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.9250e-02 7.7407e-04 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.3004e-02 8.1490e-04 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.3659e-02 7.2085e-04 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 4.1620e-02 7.4387e-04 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.8845e-02 6.6913e-04 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.8088e-02 6.3625e-04 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 2.0555e-02 6.1599e-04 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 2.1513e-02 5.7677e-04 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.5332e-02 6.1077e-04 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.5303e-02 5.9129e-04 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 8.7402e-03 6.0994e-04 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 7.1241e-03 5.9112e-04 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 1.1500e-02 5.7550e-04 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 2.2364e-03 5.8267e-04 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 7.8522e-03 5.5821e-04 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 1.1551e-02 5.6750e-04 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 8.8318e-03 5.6511e-04 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 8.4894e-03 5.5239e-04 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 7.0067e-03 5.8090e-04 3.7699e-03 1.0183e-01 1.0000e+00
1.0246e-01 1.0793e-02 5.4664e-04 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.2867e-02 5.5649e-04 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.2235e-02 5.5634e-04 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.3461e-02 5.2289e-04 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.1770e-02 5.5785e-04 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.4951e-02 5.2099e-04 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.2306e-02 5.5823e-04 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.4088e-02 5.3999e-04 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.5506e-02 5.3221e-04 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.2104e-02 5.4428e-04 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.3851e-02 5.1782e-04 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.3787e-02 5.4715e-04 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.0941e-02 5.2618e-04 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2516e-02 5.0526e-04 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.5150e-02 5.0199e-04 3.4881e-03 1.2058e-01 1.0000e+00
