Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 5.3386e+01 1.3143e-01 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.1845e+01 5.4844e-02 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.4204e+00 3.0312e-02 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 2.0834e+00 1.9423e-02 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.1666e+00 1.3761e-02 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 7.3130e-01 1.0196e-02 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.6252e-01 7.7781e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.1806e-01 6.3933e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.3046e-01 5.2403e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.7948e-01 4.6168e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.4995e-01 3.9531e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.1942e-01 3.6265e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 9.4310e-02 3.2462e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 8.3053e-02 3.0179e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 7.2344e-02 2.7077e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 6.5745e-02 2.5790e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.9418e-02 2.4222e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 5.2402e-02 2.2942e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 4.8386e-02 2.2888e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 4.4492e-02 2.3953e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 4.4142e-02 2.4237e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 3.5887e-02 2.3531e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 3.4638e-02 2.3367e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 3.5513e-02 2.2994e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 3.0199e-02 2.3766e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 2.9329e-02 2.2545e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 3.3445e-02 2.3303e-03 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 3.0477e-02 2.5074e-03 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 3.2046e-02 2.5575e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 2.3752e-02 2.7262e-03 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 2.8122e-02 2.2021e-03 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 3.0702e-02 2.3546e-03 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 3.0106e-02 2.0236e-03 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 2.6366e-02 1.4685e-03 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.7294e-02 1.4413e-03 5.3431e-03 4.6666e-02 1.0000e+00
