Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 4.6191e+01 1.0189e-01 2.4669e-02 1.1252e-02 4.6377e+01 1.0091e-01 6.0783e-02 1.1362e-02 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1139e+01 4.7469e-02 1.2733e-01 7.2935e-03 1.1048e+01 4.6828e-02 1.4950e-01 7.3784e-03 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.3150e+00 2.6272e-02 1.5981e-01 5.4175e-03 4.4427e+00 2.6259e-02 1.4848e-01 5.3361e-03 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.0729e+00 1.8220e-02 1.5746e-01 5.2443e-03 2.0892e+00 1.8086e-02 1.4849e-01 5.1825e-03 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2030e+00 1.2421e-02 1.4310e-01 4.4123e-03 1.1997e+00 1.2288e-02 1.5931e-01 4.4693e-03 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.2107e-01 9.7803e-03 1.6400e-01 4.1332e-03 7.1498e-01 9.6730e-03 1.5377e-01 4.0732e-03 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.9998e-01 7.6049e-03 1.4876e-01 3.8816e-03 4.8584e-01 7.4836e-03 1.4415e-01 3.8485e-03 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.2659e-01 6.3915e-03 1.3939e-01 3.6304e-03 3.6359e-01 6.5053e-03 1.3109e-01 3.5830e-03 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 2.7147e-01 5.5975e-03 1.3893e-01 3.5159e-03 2.5382e-01 5.4747e-03 1.3403e-01 3.4852e-03 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.1353e-01 4.9380e-03 1.4424e-01 3.0147e-03 2.2629e-01 4.9659e-03 1.4286e-01 2.9963e-03 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 1.5724e-01 4.3132e-03 1.0860e-01 3.3510e-03 1.7899e-01 4.3983e-03 9.8297e-02 3.3058e-03 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 1.4273e-01 4.0020e-03 9.5903e-02 3.0355e-03 1.2832e-01 3.9070e-03 1.0187e-01 3.0462e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.0773e-01 3.8619e-03 1.1371e-01 2.9015e-03 1.1058e-01 3.8563e-03 1.0526e-01 2.8636e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 8.3327e-02 3.4965e-03 9.6951e-02 2.7026e-03 9.6555e-02 3.5468e-03 1.1048e-01 2.7383e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 8.4901e-02 3.2885e-03 9.2164e-02 2.6866e-03 9.4110e-02 3.3213e-03 7.6675e-02 2.6300e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 3.5287e-02 3.1616e-03 8.9397e-02 2.5002e-03 6.1084e-02 3.2770e-03 9.2267e-02 2.5020e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 4.7643e-02 2.9662e-03 9.1666e-02 2.3175e-03 6.6243e-02 3.0493e-03 1.0118e-01 2.3415e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 4.7821e-02 3.0443e-03 5.6386e-02 2.8095e-03 5.1224e-02 3.0514e-03 5.5417e-02 2.8030e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 5.1908e-02 3.5851e-03 4.9094e-02 3.0403e-03 3.2106e-02 3.4429e-03 5.9506e-02 3.0746e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 5.1525e-02 6.2120e-03 7.8408e-02 4.6529e-03 3.5695e-02 5.9474e-03 8.6662e-02 4.7480e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 3.1711e-02 5.3806e-03 6.0713e-02 3.8288e-03 3.1739e-02 5.3769e-03 5.8804e-02 3.8241e-03 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 3.1939e-02 1.8231e-03 4.3169e-02 1.2898e-03 2.8476e-02 1.7934e-03 4.4330e-02 1.2889e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 2.4320e-02 1.8657e-03 4.2922e-02 1.2049e-03 2.3701e-02 1.8488e-03 4.3613e-02 1.2017e-03 1.4614e-03 3.1680e-02 1.0000e+00
3.2312e-02 4.5651e-02 1.6299e-03 3.8291e-02 1.1427e-03 4.1959e-02 1.5976e-03 3.9012e-02 1.1411e-03 1.5279e-03 3.2935e-02 1.0000e+00
3.3565e-02 2.5794e-02 1.7464e-03 3.7532e-02 1.1461e-03 2.7233e-02 1.7464e-03 3.4917e-02 1.1248e-03 1.5410e-03 3.4186e-02 1.0000e+00
3.4817e-02 3.2441e-02 1.5972e-03 4.2347e-02 1.0666e-03 3.1241e-02 1.5808e-03 3.7026e-02 1.0372e-03 1.5755e-03 3.5423e-02 1.0000e+00
3.6070e-02 3.4540e-02 1.5057e-03 3.0343e-02 1.0008e-03 3.1623e-02 1.4803e-03 3.5934e-02 1.0204e-03 1.5904e-03 3.6683e-02 1.0000e+00
3.7323e-02 2.8421e-02 1.5888e-03 3.1691e-02 9.7054e-04 3.7724e-02 1.6474e-03 2.9208e-02 9.4949e-04 1.9506e-03 3.7900e-02 1.0000e+00
3.8575e-02 3.5895e-02 1.4676e-03 2.6847e-02 9.6182e-04 3.2066e-02 1.4407e-03 2.9736e-02 9.6981e-04 2.2738e-03 3.9186e-02 1.0000e+00
3.9828e-02 3.0775e-02 1.5469e-03 2.2264e-02 1.0631e-03 3.7028e-02 1.5880e-03 1.8395e-02 1.0341e-03 2.6458e-03 4.0408e-02 1.0000e+00
4.1081e-02 2.4662e-02 1.4113e-03 1.9540e-02 9.8389e-04 2.9847e-02 1.4318e-03 1.9375e-02 9.8055e-04 3.1056e-03 4.1723e-02 1.0000e+00
4.2333e-02 2.4507e-02 1.4802e-03 1.9788e-02 9.7061e-04 2.7347e-02 1.4895e-03 2.0333e-02 9.7025e-04 3.6859e-03 4.2967e-02 1.0000e+00
4.3586e-02 3.3219e-02 1.3746e-03 1.9184e-02 8.9024e-04 4.3072e-02 1.4290e-03 2.2489e-02 9.0344e-04 4.2071e-03 4.4124e-02 1.0000e+00
4.4839e-02 2.9242e-02 1.2833e-03 1.7063e-02 9.0906e-04 3.5499e-02 1.3072e-03 1.7597e-02 9.0881e-04 4.6567e-03 4.5528e-02 1.0000e+00
4.6091e-02 2.8469e-02 1.4927e-03 1.8087e-02 8.4033e-04 2.3540e-02 1.4409e-03 1.9400e-02 8.4627e-04 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 3.1373e-02 1.2617e-03 1.2349e-02 8.8631e-04 3.1820e-02 1.2575e-03 1.0499e-02 8.7909e-04 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.6290e-02 1.3898e-03 1.2796e-02 8.8471e-04 2.9400e-02 1.3311e-03 1.0978e-02 8.7253e-04 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 3.1891e-02 1.2957e-03 1.3342e-02 8.2534e-04 3.2565e-02 1.2920e-03 1.3881e-02 8.2584e-04 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.3163e-02 1.2610e-03 1.3972e-02 7.1647e-04 3.7334e-02 1.2750e-03 1.4021e-02 7.1480e-04 4.6196e-03 5.1779e-02 1.0000e+00
