Q, I, DelI, Q_Unc, Q_mean, Shadow
3.5000e-03 4.2732e+01 2.0254e-01 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.0406e+01 9.5349e-02 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.0272e+00 5.3387e-02 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 1.9370e+00 3.5913e-02 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.1232e+00 2.4797e-02 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 6.9788e-01 1.8893e-02 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.4366e-01 1.3551e-02 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.0157e-01 1.2130e-02 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.1625e-01 9.9272e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.6823e-01 8.9544e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.4900e-01 7.4779e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.1977e-01 6.8556e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 8.8535e-02 6.3470e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 7.9043e-02 5.7128e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 7.0778e-02 5.1566e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 6.1934e-02 4.8631e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 6.7176e-02 4.4849e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 5.5849e-02 4.6743e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 4.5613e-02 5.2008e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 4.0231e-02 8.5299e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 2.8648e-02 1.0216e-02 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 4.4128e-02 3.1655e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 2.9677e-02 3.6328e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 3.6767e-02 3.0287e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 3.0622e-02 3.2618e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 3.0374e-02 2.9830e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 2.9359e-02 2.9629e-03 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 3.3328e-02 2.9937e-03 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 3.0853e-02 2.6892e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 2.9310e-02 2.9550e-03 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 2.9362e-02 2.6947e-03 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 2.6803e-02 2.7507e-03 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 2.9063e-02 2.6225e-03 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 2.6261e-02 2.4143e-03 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.7015e-02 2.5554e-03 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 2.8643e-02 2.3982e-03 4.4852e-03 4.7930e-02 1.0000e+00
4.8597e-02 2.9265e-02 2.5586e-03 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 3.1105e-02 2.2822e-03 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 3.1524e-02 2.2945e-03 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 2.8820e-02 2.5249e-03 4.8602e-03 5.2984e-02 1.0000e+00
5.3608e-02 3.6129e-02 2.1758e-03 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 3.7762e-02 2.2605e-03 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 3.9074e-02 2.2097e-03 4.5399e-03 5.6716e-02 1.0000e+00
5.7366e-02 4.0559e-02 2.3980e-03 4.3663e-03 5.7991e-02 1.0000e+00
5.8618e-02 4.8914e-02 2.3788e-03 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 5.9518e-02 2.3724e-03 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 7.1557e-02 2.8014e-03 4.4155e-03 6.1710e-02 1.0000e+00
6.2376e-02 8.5146e-02 2.4982e-03 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 9.4989e-02 2.6914e-03 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.0657e-01 2.7144e-03 4.1517e-03 6.5468e-02 1.0000e+00
6.6134e-02 1.2507e-01 2.5684e-03 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.2586e-01 3.0485e-03 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.2760e-01 2.5346e-03 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.2287e-01 2.9250e-03 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.1763e-01 2.6179e-03 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 1.1110e-01 2.5357e-03 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 9.8249e-02 2.5570e-03 4.3727e-03 7.4234e-02 1.0000e+00
7.4903e-02 8.9299e-02 2.2554e-03 3.7725e-03 7.5480e-02 1.0000e+00
7.6156e-02 7.8102e-02 2.3408e-03 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 6.3912e-02 2.1289e-03 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 5.2662e-02 1.9482e-03 3.8681e-03 7.9256e-02 1.0000e+00
7.9914e-02 4.5135e-02 1.9413e-03 3.8524e-03 8.0554e-02 1.0000e+00
8.1167e-02 3.5749e-02 1.8956e-03 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 3.1986e-02 1.8036e-03 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 2.4305e-02 1.6983e-03 3.7028e-03 8.4312e-02 1.0000e+00
8.4925e-02 2.3932e-02 1.5749e-03 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 1.8472e-02 1.5732e-03 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 1.6465e-02 1.4968e-03 3.6218e-03 8.8088e-02 1.0000e+00
8.8683e-02 9.7632e-03 1.5925e-03 3.8889e-03 8.9304e-02 1.0000e+00
8.9935e-02 1.0157e-02 1.5234e-03 3.6636e-03 9.0563e-02 1.0000e+00
9.1188e-02 9.1399e-03 1.5145e-03 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 1.0119e-02 1.4364e-03 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 9.5131e-03 1.4822e-03 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 9.2617e-03 1.3537e-03 3.8275e-03 9.5497e-02 1.0000e+00
9.6199e-02 8.0162e-03 1.4514e-03 3.4299e-03 9.6762e-02 1.0000e+00
9.7452e-02 8.2897e-03 1.5141e-03 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 9.0053e-03 1.4593e-03 3.5620e-03 9.9305e-02 1.0000e+00
9.9957e-02 1.1726e-02 1.3511e-03 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 9.8783e-03 1.4058e-03 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 8.2693e-03 1.4570e-03 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.3238e-02 1.3801e-03 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.1329e-02 1.3628e-03 3.4454e-03 1.0558e-01 1.0000e+00
