Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
8.6177e-02 2.4574e-02 6.3313e-04 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 2.4516e-02 5.8096e-04 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.6070e-02 5.9519e-04 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 1.4963e-02 5.9591e-04 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 5.9312e-03 6.0913e-04 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 9.4848e-03 5.9998e-04 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 1.2636e-02 5.6786e-04 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 5.7617e-03 6.0574e-04 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 9.9803e-03 5.6705e-04 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 1.3761e-02 5.6801e-04 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 8.7581e-03 5.7114e-04 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 9.4092e-03 5.5294e-04 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 7.6195e-03 5.7477e-04 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.4119e-02 5.6024e-04 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.7046e-02 5.7096e-04 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.5270e-02 5.6992e-04 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.5377e-02 5.2898e-04 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.2022e-02 5.5089e-04 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.8314e-02 5.3169e-04 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.4620e-02 5.5825e-04 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.5264e-02 5.4513e-04 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.4880e-02 5.3017e-04 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.3485e-02 5.4186e-04 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.5793e-02 5.2427e-04 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.3691e-02 5.4977e-04 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.2145e-02 5.3157e-04 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.3838e-02 5.0878e-04 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.4110e-02 4.9299e-04 3.4762e-03 1.2058e-01 1.0000e+00
