Q, Struc, DelStruc, Q_Unc, Q_mean, Shadow
3.5000e-03 4.7166e+01 7.1932e-02 2.6878e-03 4.1795e-03 1.0000e+00
4.7527e-03 1.1338e+01 3.3353e-02 2.2466e-03 5.4397e-03 1.0000e+00
6.0054e-03 4.6100e+00 1.8216e-02 2.0123e-03 6.6902e-03 1.0000e+00
7.2581e-03 1.9935e+00 1.2264e-02 1.8473e-03 7.9324e-03 1.0000e+00
8.5108e-03 1.2517e+00 8.6532e-03 1.7311e-03 9.1688e-03 1.0000e+00
9.7634e-03 6.9537e-01 6.7331e-03 1.6169e-03 1.0401e-02 1.0000e+00
1.1016e-02 4.9908e-01 5.2820e-03 1.5133e-03 1.1649e-02 1.0000e+00
1.2269e-02 3.0543e-01 4.3104e-03 1.4475e-03 1.2903e-02 1.0000e+00
1.3522e-02 2.6790e-01 3.8658e-03 1.3684e-03 1.4159e-02 1.0000e+00
1.4774e-02 1.9490e-01 3.3786e-03 1.3100e-03 1.5429e-02 1.0000e+00
1.6027e-02 1.6690e-01 3.0188e-03 1.2751e-03 1.6683e-02 1.0000e+00
1.7280e-02 1.2937e-01 2.7572e-03 1.2201e-03 1.7933e-02 1.0000e+00
1.8532e-02 9.6654e-02 2.6367e-03 1.1941e-03 1.9176e-02 1.0000e+00
1.9785e-02 9.3364e-02 2.4891e-03 1.1465e-03 2.0419e-02 1.0000e+00
2.1038e-02 8.2538e-02 2.2705e-03 1.1062e-03 2.1678e-02 1.0000e+00
2.2290e-02 4.3491e-02 2.2422e-03 1.0799e-03 2.2942e-02 1.0000e+00
2.3543e-02 5.5402e-02 2.1039e-03 1.0602e-03 2.4192e-02 1.0000e+00
2.4796e-02 3.9014e-02 2.1192e-03 1.0237e-03 2.5443e-02 1.0000e+00
2.6048e-02 2.8625e-02 2.4004e-03 1.0771e-03 2.6664e-02 1.0000e+00
2.7301e-02 2.5127e-02 3.9593e-03 1.2094e-03 2.7929e-02 1.0000e+00
2.8554e-02 2.9478e-02 3.7942e-03 1.3523e-03 2.9162e-02 1.0000e+00
2.9806e-02 3.7556e-02 1.2906e-03 1.4858e-03 3.0427e-02 1.0000e+00
3.1059e-02 3.5847e-02 1.3552e-03 1.4573e-03 3.1659e-02 1.0000e+00
3.2312e-02 4.2340e-02 1.1187e-03 1.5191e-03 3.2923e-02 1.0000e+00
3.3565e-02 2.4127e-02 1.2051e-03 1.5365e-03 3.4182e-02 1.0000e+00
3.4817e-02 3.0145e-02 1.1014e-03 1.5568e-03 3.5434e-02 1.0000e+00
3.6070e-02 3.3387e-02 1.0434e-03 1.6053e-03 3.6700e-02 1.0000e+00
3.7323e-02 2.5276e-02 1.0860e-03 1.9938e-03 3.7913e-02 1.0000e+00
3.8575e-02 2.9467e-02 1.0007e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 3.9006e-02 1.1180e-03 2.7142e-03 4.0403e-02 1.0000e+00
4.1081e-02 2.6405e-02 9.9030e-04 3.0835e-03 4.1717e-02 1.0000e+00
4.2333e-02 2.5713e-02 1.0361e-03 3.7596e-03 4.2968e-02 1.0000e+00
4.3586e-02 3.6611e-02 9.6937e-04 4.2071e-03 4.4125e-02 1.0000e+00
4.4839e-02 3.2756e-02 9.0661e-04 4.7093e-03 4.5536e-02 1.0000e+00
4.6091e-02 2.9694e-02 1.0407e-03 5.3431e-03 4.6669e-02 1.0000e+00
4.7344e-02 2.9087e-02 8.7342e-04 4.4852e-03 4.7932e-02 1.0000e+00
4.8597e-02 3.6240e-02 9.6272e-04 4.6754e-03 4.9324e-02 1.0000e+00
4.9849e-02 3.4350e-02 9.1071e-04 4.8271e-03 5.0477e-02 1.0000e+00
5.1102e-02 3.3910e-02 8.7958e-04 4.6196e-03 5.1779e-02 1.0000e+00
5.2355e-02 4.3267e-02 9.2547e-04 4.7966e-03 5.2970e-02 1.0000e+00
5.3608e-02 3.7938e-02 9.0168e-04 4.4619e-03 5.4180e-02 1.0000e+00
5.4860e-02 4.3125e-02 9.0753e-04 4.5663e-03 5.5503e-02 1.0000e+00
5.6113e-02 4.2102e-02 8.6951e-04 4.5399e-03 5.6719e-02 1.0000e+00
5.7366e-02 5.4117e-02 8.9405e-04 4.3663e-03 5.7993e-02 1.0000e+00
5.8618e-02 6.2323e-02 9.1064e-04 4.4390e-03 5.9273e-02 1.0000e+00
5.9871e-02 7.8500e-02 8.3279e-04 4.4393e-03 6.0516e-02 1.0000e+00
6.1124e-02 8.5129e-02 1.1456e-03 4.4400e-03 6.1705e-02 1.0000e+00
6.2376e-02 1.0627e-01 9.2951e-04 4.2337e-03 6.2973e-02 1.0000e+00
6.3629e-02 1.1611e-01 1.0373e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.1946e-01 1.0534e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.3300e-01 1.0232e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.4773e-01 1.1546e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.4711e-01 9.6116e-04 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.3585e-01 1.1094e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.2512e-01 1.0126e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.1815e-01 9.6721e-04 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 1.1044e-01 1.0062e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 1.0065e-01 8.4515e-04 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 8.7574e-02 9.3247e-04 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 7.0043e-02 7.9293e-04 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.7658e-02 7.5723e-04 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.3686e-02 8.0365e-04 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.7108e-02 7.2060e-04 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.7340e-02 7.1553e-04 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.6448e-02 6.5480e-04 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.6388e-02 6.2234e-04 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 2.1511e-02 6.1169e-04 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 2.0457e-02 5.6749e-04 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.6127e-02 6.0609e-04 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.1832e-02 5.7622e-04 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 6.0847e-03 5.9555e-04 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 8.6360e-03 5.9062e-04 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 1.0183e-02 5.6644e-04 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 3.0266e-03 5.7977e-04 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 8.2690e-03 5.5476e-04 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 1.0613e-02 5.5809e-04 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 8.9207e-03 5.6041e-04 3.5747e-03 9.9304e-02 1.0000e+00
9.9957e-02 6.8362e-03 5.4271e-04 3.4778e-03 1.0063e-01 1.0000e+00
1.0121e-01 5.4334e-03 5.6846e-04 3.7849e-03 1.0184e-01 1.0000e+00
1.0246e-01 1.0279e-02 5.4278e-04 3.4213e-03 1.0303e-01 1.0000e+00
1.0372e-01 1.3637e-02 5.4911e-04 3.5525e-03 1.0433e-01 1.0000e+00
1.0497e-01 1.1345e-02 5.4881e-04 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.3642e-02 5.1831e-04 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 1.1641e-02 5.5100e-04 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.4749e-02 5.1569e-04 3.4246e-03 1.0939e-01 1.0000e+00
1.0998e-01 1.1243e-02 5.4840e-04 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.3363e-02 5.3269e-04 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.5600e-02 5.2659e-04 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.1806e-02 5.3742e-04 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 1.1880e-02 5.0823e-04 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.0893e-02 5.3177e-04 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.1119e-02 5.2179e-04 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.2353e-02 4.9987e-04 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.7237e-02 5.0291e-04 3.4881e-03 1.2058e-01 1.0000e+00
