Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
3.5000e-03 4.9506e-02 2.1087e-03 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 2.5868e-02 1.6041e-03 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 9.6166e-03 8.7833e-04 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 3.0774e-03 4.6671e-04 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.3644e-03 2.8443e-04 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 6.6880e-05 6.1358e-05 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 2.0750e-03 3.2750e-04 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.1791e-03 4.0786e-04 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 1.0385e-04 7.4267e-05 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 1.4193e-03 2.6269e-04 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 3.3548e-05 3.8598e-05 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 2.5994e-04 1.1251e-04 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 4.3036e-03 4.9959e-04 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 4.7240e-05 5.1485e-05 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 3.9775e-06 1.5482e-05 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 1.1563e-06 8.8998e-06 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 9.8506e-05 7.3818e-05 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 2.8765e-06 1.1919e-05 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 7.2878e-04 2.1730e-04 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 3.0710e-04 1.2285e-04 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 4.8471e-06 1.9339e-05 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 1.3924e-03 3.1571e-04 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 3.9513e-04 1.5246e-04 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 1.1787e-04 8.0722e-05 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 2.4631e-04 1.1420e-04 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 4.2216e-04 1.5733e-04 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 1.3313e-03 3.1209e-04 1.6052e-03 3.6688e-02 1.0000e+00
3.7323e-02 1.9009e-04 1.6654e-04 1.9538e-03 3.7910e-02 1.0000e+00
3.8575e-02 5.0854e-04 4.8974e-04 2.2987e-03 3.9194e-02 1.0000e+00
3.9828e-02 2.4719e-04 7.2001e-05 2.6967e-03 4.0401e-02 1.0000e+00
4.1081e-02 5.3566e-06 1.0412e-05 3.0617e-03 4.1720e-02 1.0000e+00
4.2333e-02 7.9810e-04 1.7981e-04 3.7858e-03 4.2976e-02 1.0000e+00
4.3586e-02 4.4976e-06 8.9758e-06 4.1835e-03 4.4128e-02 1.0000e+00
4.4839e-02 3.9869e-05 2.8460e-05 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 6.0597e-05 4.7399e-05 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 1.9591e-04 5.3800e-05 4.4852e-03 4.7929e-02 1.0000e+00
4.8597e-02 3.4494e-06 7.4971e-06 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 9.2081e-06 1.5225e-05 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 8.9718e-05 3.1558e-05 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 6.0083e-06 8.8063e-06 4.8602e-03 5.2983e-02 1.0000e+00
5.3608e-02 4.3835e-05 2.6973e-05 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 1.4930e-06 4.1628e-06 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 4.7621e-04 8.6710e-05 4.5399e-03 5.6715e-02 1.0000e+00
5.7366e-02 1.6822e-05 1.2512e-05 4.3663e-03 5.7990e-02 1.0000e+00
5.8618e-02 1.1737e-05 1.0569e-05 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 4.4028e-05 1.9021e-05 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 2.3079e-04 4.2164e-05 4.4155e-03 6.1709e-02 1.0000e+00
6.2376e-02 9.3618e-07 2.3915e-06 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 4.5976e-04 5.7900e-05 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 1.9310e-04 3.3481e-05 4.1517e-03 6.5467e-02 1.0000e+00
6.6134e-02 3.7385e-05 1.5433e-05 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.7628e-04 3.4509e-05 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 6.4857e-05 1.7398e-05 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 1.2892e-04 2.9072e-05 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 1.8779e-04 3.5613e-05 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 8.9317e-05 2.0888e-05 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 1.2820e-04 3.2897e-05 4.3727e-03 7.4233e-02 1.0000e+00
7.4903e-02 1.3939e-04 2.8709e-05 3.7725e-03 7.5480e-02 1.0000e+00
7.6156e-02 3.4706e-04 4.5131e-05 4.0405e-03 7.6841e-02 1.0000e+00
7.7409e-02 3.2896e-05 1.7457e-05 4.0974e-03 7.7988e-02 1.0000e+00
7.8661e-02 1.1133e-05 8.8305e-06 3.8681e-03 7.9255e-02 1.0000e+00
7.9914e-02 1.5782e-04 3.5019e-05 3.8524e-03 8.0553e-02 1.0000e+00
8.1167e-02 1.0972e-04 3.7895e-05 3.9528e-03 8.1801e-02 1.0000e+00
8.2419e-02 6.9571e-05 2.2539e-05 3.9195e-03 8.3032e-02 1.0000e+00
8.3672e-02 1.8076e-04 4.3039e-05 3.7028e-03 8.4311e-02 1.0000e+00
8.4925e-02 1.5261e-09 1.3560e-07 3.9721e-03 8.5562e-02 1.0000e+00
8.6177e-02 3.9307e-05 2.0041e-05 3.8080e-03 8.6743e-02 1.0000e+00
8.7430e-02 6.3233e-05 2.7849e-05 3.6218e-03 8.8087e-02 1.0000e+00
8.8683e-02 3.2294e-06 7.3992e-06 3.8889e-03 8.9303e-02 1.0000e+00
8.9935e-02 8.5153e-06 1.2620e-05 3.6636e-03 9.0562e-02 1.0000e+00
9.1188e-02 8.2377e-04 1.7967e-04 3.7205e-03 9.1860e-02 1.0000e+00
9.2441e-02 7.4971e-06 1.5795e-05 3.8266e-03 9.2991e-02 1.0000e+00
9.3694e-02 1.4763e-04 5.1588e-05 3.5726e-03 9.4306e-02 1.0000e+00
9.4946e-02 1.4297e-03 2.8888e-04 3.8275e-03 9.5496e-02 1.0000e+00
9.6199e-02 8.5669e-06 1.4772e-05 3.4299e-03 9.6761e-02 1.0000e+00
9.7452e-02 1.3381e-07 1.5390e-06 3.6537e-03 9.8120e-02 1.0000e+00
9.8704e-02 2.1784e-07 2.7282e-06 3.5620e-03 9.9304e-02 1.0000e+00
9.9957e-02 2.8671e-06 8.0726e-06 3.4661e-03 1.0064e-01 1.0000e+00
1.0121e-01 3.9866e-05 3.2751e-05 3.8156e-03 1.0185e-01 1.0000e+00
1.0246e-01 1.5932e-04 5.8822e-05 3.3882e-03 1.0304e-01 1.0000e+00
1.0372e-01 4.7860e-05 2.4403e-05 3.5907e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.7585e-04 6.0187e-05 3.4454e-03 1.0558e-01 1.0000e+00
1.0622e-01 9.9820e-06 1.2064e-05 3.4345e-03 1.0686e-01 1.0000e+00
1.0747e-01 4.1799e-04 8.2055e-05 3.5054e-03 1.0812e-01 1.0000e+00
1.0873e-01 4.0172e-06 7.6536e-06 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 6.9638e-06 1.1017e-05 3.4828e-03 1.1058e-01 1.0000e+00
1.1123e-01 7.0871e-05 2.9244e-05 3.3716e-03 1.1184e-01 1.0000e+00
1.1248e-01 2.1432e-06 5.5548e-06 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 4.1732e-05 2.6890e-05 3.3207e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.7689e-04 4.7542e-05 3.2333e-03 1.1564e-01 1.0000e+00
1.1624e-01 3.5410e-05 2.7642e-05 3.5587e-03 1.1687e-01 1.0000e+00
1.1749e-01 9.2370e-06 1.1133e-05 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 6.9884e-06 9.0165e-06 3.2933e-03 1.1944e-01 1.0000e+00
1.2000e-01 4.5173e-05 2.2511e-05 3.4763e-03 1.2058e-01 1.0000e+00
