Q, I, DelI, Q_Unc, Q_mean, Shadow
8.6177e-02 1.7118e-02 1.5665e-03 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 1.6871e-02 1.5041e-03 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 1.0461e-02 1.5527e-03 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 9.6454e-03 1.5225e-03 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 1.0550e-02 1.5411e-03 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 1.0677e-02 1.4404e-03 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 1.0394e-02 1.4734e-03 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 9.1239e-03 1.3586e-03 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 9.4817e-03 1.4661e-03 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 8.1859e-03 1.4970e-03 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 8.5405e-03 1.4682e-03 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 1.0966e-02 1.3323e-03 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 9.0393e-03 1.3767e-03 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.0532e-02 1.4809e-03 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 1.2548e-02 1.3703e-03 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.2916e-02 1.3847e-03 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 1.2648e-02 1.3852e-03 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 1.1139e-02 1.3902e-03 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.3929e-02 1.3535e-03 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 1.4727e-02 1.3709e-03 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 1.1280e-02 1.4129e-03 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.2494e-02 1.3804e-03 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.2361e-02 1.3871e-03 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 1.3360e-02 1.2956e-03 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 1.0661e-02 1.4191e-03 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 1.2183e-02 1.3056e-03 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.5368e-02 1.2672e-03 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.1372e-02 1.3038e-03 3.4762e-03 1.2058e-01 1.0000e+00
