Q 0.06V_300.0K Unc 0.187V_300.0K Unc 7.4V_300.0K Unc CoFe2O4NPs3V_0.071V_300.0K Unc 0.0V_300.0K Unc 
4.7344e-02 6.3192e-02 1.7814e-03 5.8174e-02 1.7468e-03 6.5843e-02 1.6700e-03 5.9263e-02 1.7593e-03 6.8468e-02 1.7203e-03
4.8597e-02 6.5690e-02 1.9245e-03 7.2480e-02 1.9254e-03 7.1790e-02 1.7643e-03 6.3159e-02 1.8963e-03 7.1696e-02 1.8340e-03
4.9849e-02 6.4455e-02 1.8298e-03 6.8700e-02 1.8214e-03 6.4283e-02 1.6921e-03 6.6875e-02 1.8467e-03 6.2510e-02 1.7370e-03
5.1102e-02 7.0498e-02 1.7932e-03 6.7819e-02 1.7592e-03 6.9414e-02 1.6153e-03 6.8588e-02 1.7306e-03 7.5173e-02 1.6752e-03
5.2355e-02 8.3176e-02 1.8685e-03 8.6535e-02 1.8509e-03 7.7680e-02 1.7106e-03 8.8788e-02 1.9655e-03 8.5328e-02 1.8319e-03
5.3608e-02 7.2713e-02 1.8155e-03 7.5876e-02 1.8034e-03 6.6244e-02 1.6787e-03 6.9473e-02 1.7928e-03 7.0496e-02 1.7298e-03
5.4860e-02 8.8890e-02 1.8587e-03 8.6251e-02 1.8151e-03 8.4498e-02 1.6552e-03 9.0453e-02 1.8104e-03 8.3409e-02 1.7143e-03
5.6113e-02 8.6347e-02 1.7688e-03 8.4204e-02 1.7390e-03 8.5616e-02 1.6294e-03 8.9616e-02 1.7783e-03 8.6322e-02 1.6778e-03
5.7366e-02 1.1091e-01 1.8285e-03 1.0823e-01 1.7881e-03 1.1935e-01 1.6719e-03 1.1916e-01 1.8065e-03 1.1045e-01 1.7079e-03
5.8618e-02 1.2705e-01 1.8640e-03 1.2465e-01 1.8213e-03 1.2027e-01 1.6499e-03 1.2323e-01 1.8228e-03 1.1513e-01 1.6952e-03
5.9871e-02 1.6620e-01 1.7234e-03 1.5700e-01 1.6656e-03 1.6586e-01 1.5431e-03 1.6346e-01 1.6869e-03 1.6551e-01 1.5971e-03
6.1124e-02 1.5065e-01 2.2632e-03 1.7026e-01 2.2913e-03 1.6959e-01 2.0435e-03 1.6056e-01 2.2045e-03 1.4666e-01 2.0658e-03
6.2376e-02 2.0618e-01 1.8789e-03 2.1253e-01 1.8590e-03 2.2067e-01 1.6934e-03 2.1554e-01 1.8885e-03 2.0816e-01 1.7441e-03
6.3629e-02 2.2518e-01 2.0992e-03 2.3222e-01 2.0746e-03 2.2984e-01 1.8566e-03 2.2918e-01 2.0643e-03 2.2154e-01 1.9167e-03
6.4882e-02 2.2814e-01 2.1223e-03 2.3892e-01 2.1069e-03 2.5739e-01 1.9382e-03 2.5614e-01 2.1458e-03 2.4032e-01 1.9823e-03
6.6134e-02 2.7003e-01 2.0965e-03 2.6601e-01 2.0464e-03 2.9267e-01 1.8991e-03 2.8617e-01 2.0617e-03 2.5873e-01 1.9124e-03
6.7387e-02 2.9298e-01 2.3581e-03 2.9546e-01 2.3092e-03 3.0920e-01 2.0822e-03 3.0339e-01 2.3740e-03 2.8986e-01 2.1282e-03
6.8640e-02 2.8344e-01 1.9401e-03 2.9422e-01 1.9223e-03 3.1519e-01 1.7529e-03 3.1459e-01 1.9824e-03 2.9841e-01 1.8081e-03
6.9892e-02 2.7674e-01 2.2837e-03 2.7169e-01 2.2187e-03 2.8738e-01 2.0147e-03 2.6573e-01 2.1618e-03 2.6896e-01 2.0624e-03
7.1145e-02 2.4364e-01 2.0502e-03 2.5024e-01 2.0252e-03 2.8059e-01 1.8857e-03 2.7568e-01 2.1257e-03 2.5097e-01 1.9093e-03
7.2398e-02 2.4064e-01 1.9852e-03 2.3630e-01 1.9344e-03 2.6011e-01 1.7884e-03 2.5449e-01 1.9275e-03 2.4528e-01 1.8353e-03
