Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 5.1546e+01 4.3289e-02 4.2287e-01 1.0241e-02 7.0699e+01 7.2222e-02 4.0847e-01 9.6950e-03 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 1.1263e+01 1.8200e-02 1.1213e-01 4.8908e-03 1.5439e+01 2.9996e-02 1.0051e-01 4.6541e-03 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 4.2950e+00 1.0158e-02 5.0673e-02 3.3508e-03 5.7514e+00 1.6545e-02 5.1450e-02 3.2836e-03 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 2.0616e+00 6.6637e-03 2.1987e-02 2.6469e-03 2.6989e+00 1.0559e-02 1.8873e-02 2.5830e-03 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 1.1334e+00 4.7839e-03 2.5092e-02 2.4035e-03 1.4780e+00 7.4878e-03 1.0952e-02 2.2928e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 6.7494e-01 3.7075e-03 3.0225e-02 2.1270e-03 9.0684e-01 5.6934e-03 3.0741e-02 2.1002e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 4.4422e-01 2.8993e-03 2.7054e-02 1.9695e-03 5.9299e-01 4.3594e-03 1.9659e-02 1.9119e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 3.0995e-01 2.4756e-03 2.9099e-02 1.9018e-03 4.2525e-01 3.6884e-03 2.7010e-02 1.8849e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 2.1893e-01 2.2002e-03 1.9692e-02 1.7989e-03 3.0978e-01 3.1769e-03 1.3276e-02 1.7642e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.7491e-01 1.9489e-03 2.2348e-02 1.6011e-03 2.4289e-01 2.7764e-03 3.9040e-02 1.6846e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.3534e-01 1.7454e-03 1.5516e-02 1.6041e-03 1.7393e-01 2.3936e-03 1.6759e-02 1.6056e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.1897e-01 1.6253e-03 1.6230e-02 1.5307e-03 1.4669e-01 2.2090e-03 1.7013e-02 1.5355e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 8.4569e-02 1.5546e-03 1.7276e-02 1.4999e-03 1.1777e-01 2.0824e-03 1.7790e-02 1.5014e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 7.3710e-02 1.4307e-03 2.3749e-02 1.4326e-03 1.1027e-01 1.9336e-03 2.0767e-02 1.4129e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 6.2151e-02 1.3599e-03 1.9952e-02 1.3674e-03 9.7979e-02 1.8267e-03 2.1255e-02 1.3718e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 6.0342e-02 1.3214e-03 1.0325e-02 1.3434e-03 8.1677e-02 1.7300e-03 1.8968e-02 1.3807e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 5.1666e-02 1.2622e-03 2.0352e-02 1.2759e-03 7.0804e-02 1.6417e-03 2.0505e-02 1.2733e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 4.9819e-02 1.2049e-03 1.6942e-02 1.3075e-03 7.6424e-02 1.5809e-03 1.2230e-02 1.2901e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 3.8716e-02 1.2525e-03 1.9924e-02 1.3156e-03 5.7848e-02 1.6259e-03 1.6024e-02 1.2977e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 3.8006e-02 1.3028e-03 1.4880e-02 1.3926e-03 6.4109e-02 1.7417e-03 9.1733e-03 1.3671e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 3.1629e-02 1.2821e-03 1.7706e-02 1.4103e-03 6.0204e-02 1.7231e-03 1.2200e-02 1.3746e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 2.6087e-02 1.3080e-03 1.4862e-02 1.4379e-03 4.9953e-02 1.7333e-03 1.0594e-02 1.4159e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 2.2434e-02 1.2784e-03 2.2757e-02 1.4637e-03 5.3959e-02 1.7567e-03 1.1202e-02 1.3995e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 2.7686e-02 1.2625e-03 1.2477e-02 1.4136e-03 5.4024e-02 1.7084e-03 1.3451e-02 1.4160e-03 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 2.3977e-02 1.2815e-03 1.4288e-02 1.4524e-03 4.4378e-02 1.7014e-03 1.2631e-02 1.4419e-03 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 2.0769e-02 1.2534e-03 4.2784e-03 1.4055e-03 4.5034e-02 1.6615e-03 9.7689e-03 1.4332e-03 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 3.2474e-02 1.2638e-03 7.2844e-03 1.4618e-03 5.9075e-02 1.7092e-03 6.5853e-03 1.4560e-03 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 3.4165e-02 1.3738e-03 9.1592e-03 1.5663e-03 4.7833e-02 1.8287e-03 -2.5873e-04 1.5038e-03 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 2.5865e-02 1.4350e-03 1.9306e-02 1.5663e-03 2.7388e-02 1.8181e-03 1.7645e-02 1.5540e-03 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 2.0268e-02 1.4655e-03 6.9391e-03 1.6129e-03 4.3658e-02 1.9299e-03 7.9548e-03 1.6203e-03 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 3.5585e-02 1.2115e-03 6.7449e-03 1.3666e-03 5.3350e-02 1.6605e-03 1.0296e-02 1.4013e-03 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 2.3247e-02 1.3509e-03 5.4093e-03 1.4885e-03 4.0432e-02 1.8163e-03 4.1188e-03 1.4738e-03 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 3.2334e-02 1.0124e-03 6.6749e-03 1.1081e-03 4.4311e-02 1.3939e-03 6.1448e-03 1.1186e-03 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 2.5051e-02 6.4872e-04 5.8824e-03 5.1037e-04 3.9416e-02 8.7794e-04 7.2764e-03 5.4809e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.4589e-02 5.9777e-04 5.2833e-03 5.1121e-04 3.7520e-02 8.4546e-04 2.8844e-03 4.9197e-04 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 2.6278e-02 5.9549e-04 4.3212e-03 4.6696e-04 3.5153e-02 7.7601e-04 1.8604e-03 4.4628e-04 4.4852e-03 4.7930e-02 1.0000e+00
4.8597e-02 2.9846e-02 5.6944e-04 4.5794e-03 4.4565e-04 3.9437e-02 7.7682e-04 3.5139e-03 4.4545e-04 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 2.4244e-02 6.1346e-04 1.2956e-03 4.5902e-04 3.7264e-02 8.1527e-04 6.9995e-04 4.4881e-04 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 2.8367e-02 5.4430e-04 2.5538e-03 4.2848e-04 4.4607e-02 7.7043e-04 1.5281e-03 4.2158e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 3.2086e-02 5.3403e-04 2.4394e-03 4.4472e-04 5.3258e-02 8.0535e-04 1.2561e-03 4.3785e-04 4.8602e-03 5.2984e-02 1.0000e+00
5.3608e-02 2.8636e-02 5.6073e-04 5.2461e-04 4.1872e-04 4.2872e-02 7.6399e-04 2.9215e-03 4.2839e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 3.0848e-02 5.4299e-04 1.7888e-03 4.1136e-04 4.9970e-02 7.8595e-04 3.0177e-03 4.1842e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 3.6977e-02 5.5002e-04 3.5847e-03 3.9935e-04 5.1554e-02 7.6773e-04 3.8175e-03 4.0206e-04 4.5399e-03 5.6716e-02 1.0000e+00
5.7366e-02 3.9335e-02 5.6018e-04 2.2029e-03 4.1988e-04 5.9243e-02 7.9399e-04 3.5587e-03 4.3004e-04 4.3663e-03 5.7991e-02 1.0000e+00
5.8618e-02 4.6884e-02 5.3921e-04 4.8303e-03 3.9502e-04 7.1769e-02 8.1208e-04 3.3886e-03 3.8408e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 5.4048e-02 5.4649e-04 2.7352e-03 3.9417e-04 8.2126e-02 8.1867e-04 1.8663e-03 3.8893e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 6.6858e-02 5.6089e-04 5.1455e-03 3.8858e-04 1.0112e-01 8.9587e-04 3.4690e-03 3.6935e-04 4.4155e-03 6.1710e-02 1.0000e+00
6.2376e-02 8.0548e-02 5.7110e-04 2.8272e-03 3.9032e-04 1.1336e-01 8.8568e-04 3.2215e-03 3.9818e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 9.1232e-02 5.9817e-04 4.6687e-03 3.8523e-04 1.2957e-01 9.3597e-04 3.7362e-03 3.8085e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 9.9388e-02 6.0511e-04 2.0520e-03 3.9748e-04 1.5286e-01 9.8278e-04 1.2590e-03 3.9102e-04 4.1517e-03 6.5468e-02 1.0000e+00
6.6134e-02 1.1597e-01 6.1550e-04 2.1060e-03 3.9057e-04 1.6992e-01 1.0048e-03 9.8464e-04 3.8362e-04 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 1.1733e-01 6.2449e-04 2.4448e-03 3.9435e-04 1.8177e-01 1.0634e-03 3.0612e-03 3.9916e-04 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 1.2868e-01 5.7363e-04 5.4744e-04 3.5575e-04 1.8361e-01 9.5194e-04 3.5143e-03 3.7072e-04 3.8968e-03 6.9276e-02 1.0000e+00
