Q, Struc, DelStruc, M_Perp, DelM_Perp, M_Parl_NSF, DelM_Parl_NSF, M_Parl_NSFVert, DelM_Parl_NSFVert, M_Parl_SF, DelM_Parl_SF, Q_Unc, Q_mean, Shadow
3.5000e-03 6.6437e+01 7.5676e-02 -9.9226e-01 1.6947e-02 4.9506e-02 2.1087e-03 5.5555e-02 2.3665e-03 -1.3210e+00 1.9931e-02 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.2176e+01 3.0144e-02 2.3549e-02 1.0018e-02 2.5868e-02 1.6041e-03 2.5258e-02 1.5663e-03 -2.6014e-03 1.1113e-02 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.5635e+00 1.7506e-02 1.6488e-01 6.7113e-03 9.6166e-03 8.7833e-04 8.5689e-03 7.8268e-04 1.2526e-01 7.6165e-03 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.1408e+00 1.1696e-02 1.9418e-01 5.9706e-03 3.0774e-03 4.6671e-04 2.8079e-03 4.2585e-04 1.8117e-01 6.7385e-03 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.2373e+00 7.9716e-03 2.1598e-01 5.4606e-03 1.3644e-03 2.8443e-04 1.2831e-03 2.6749e-04 2.0036e-01 6.1081e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 7.3168e-01 6.3745e-03 2.2903e-01 4.7629e-03 6.6880e-05 6.1358e-05 5.9327e-05 5.4429e-05 1.7317e-01 5.3260e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 4.7193e-01 4.9485e-03 2.1551e-01 4.3080e-03 2.0750e-03 3.2750e-04 1.6870e-03 2.6627e-04 1.6748e-01 4.8353e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.3158e-01 4.2155e-03 2.1883e-01 4.1665e-03 3.1791e-03 4.0786e-04 2.5652e-03 3.2912e-04 1.8076e-01 4.6779e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.4497e-01 3.6038e-03 2.1043e-01 3.8820e-03 1.0385e-04 7.4267e-05 8.3942e-05 6.0031e-05 1.5561e-01 4.4131e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 1.9419e-01 3.2077e-03 2.0768e-01 3.6052e-03 1.4193e-03 2.6269e-04 1.2189e-03 2.2562e-04 1.7933e-01 4.0586e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 1.8359e-01 2.9391e-03 1.7457e-01 3.6009e-03 3.3548e-05 3.8598e-05 2.8413e-05 3.2690e-05 1.6915e-01 4.0229e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.2291e-01 2.6677e-03 1.6033e-01 3.2675e-03 2.5994e-04 1.1251e-04 1.8887e-04 8.1745e-05 1.4771e-01 3.7246e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 9.6136e-02 2.5490e-03 1.5667e-01 3.2024e-03 4.3036e-03 4.9959e-04 2.7082e-03 3.1422e-04 1.2958e-01 3.6135e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 8.6606e-02 2.3820e-03 1.4648e-01 2.9490e-03 4.7240e-05 5.1485e-05 3.5336e-05 3.8511e-05 1.3996e-01 3.3451e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 7.8355e-02 2.2077e-03 1.4217e-01 2.9422e-03 3.9775e-06 1.5482e-05 2.8493e-06 1.1090e-05 1.3771e-01 3.2965e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 5.1105e-02 2.2116e-03 1.4608e-01 2.7538e-03 1.1563e-06 8.8998e-06 7.4154e-07 5.7075e-06 7.9951e-02 3.1480e-03 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 5.9766e-02 2.0614e-03 1.3894e-01 2.6459e-03 9.8506e-05 7.3818e-05 7.0841e-05 5.3086e-05 1.0778e-01 2.9778e-03 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 6.3124e-02 2.1596e-03 1.0091e-01 2.8461e-03 2.8765e-06 1.1919e-05 1.8187e-06 7.5364e-06 9.5167e-02 3.1549e-03 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 4.4149e-02 2.4286e-03 1.1132e-01 2.9469e-03 7.2878e-04 2.1730e-04 5.8276e-04 1.7369e-04 9.2737e-02 3.2327e-03 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 5.7113e-02 4.1475e-03 1.0721e-01 3.8574e-03 3.0710e-04 1.2285e-04 2.9922e-04 1.1961e-04 8.8689e-02 4.0685e-03 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 3.4644e-02 3.7844e-03 1.0500e-01 3.2605e-03 4.8471e-06 1.9339e-05 2.3688e-06 9.4511e-06 8.7156e-02 3.5063e-03 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 3.3535e-02 1.2312e-03 7.1559e-02 2.0262e-03 1.3924e-03 3.1571e-04 7.9191e-04 1.7956e-04 6.7382e-02 2.4096e-03 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 3.5762e-02 1.2942e-03 8.7545e-02 1.9145e-03 3.9513e-04 1.5246e-04 2.5659e-04 9.9007e-05 5.7248e-02 2.3353e-03 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 3.9798e-02 1.0668e-03 7.4270e-02 1.8284e-03 1.1787e-04 8.0722e-05 9.3303e-05 6.3900e-05 5.4296e-02 2.2831e-03 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 3.4957e-02 1.2056e-03 4.9227e-02 1.9097e-03 2.4631e-04 1.1420e-04 2.4393e-04 1.1313e-04 6.9187e-02 2.3210e-03 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 3.1550e-02 1.0668e-03 5.6760e-02 1.8270e-03 4.2216e-04 1.5733e-04 2.7587e-04 1.0282e-04 4.8393e-02 2.3085e-03 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 3.0309e-02 9.8299e-04 6.2124e-02 1.9893e-03 1.3313e-03 3.1209e-04 8.8412e-04 2.0738e-04 2.4992e-02 2.4412e-03 1.6052e-03 3.6688e-02 1.0000e+00
3.7323e-02 3.0508e-02 1.0920e-03 5.1468e-02 2.4341e-03 1.9009e-04 1.6654e-04 2.4131e-04 2.1153e-04 4.6087e-02 2.8233e-03 1.9538e-03 3.7910e-02 1.0000e+00
3.8575e-02 3.4918e-02 9.8559e-04 5.3831e-02 4.3457e-03 5.0854e-04 4.8974e-04 7.5146e-04 7.2509e-04 5.2006e-02 4.5533e-03 2.2987e-03 3.9194e-02 1.0000e+00
3.9828e-02 3.5630e-02 1.0438e-03 3.0600e-02 1.2380e-03 2.4719e-04 7.2001e-05 1.7519e-04 5.1025e-05 4.4740e-02 1.9390e-03 2.6967e-03 4.0401e-02 1.0000e+00
