Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
3.5000e-03 2.3338e+00 1.8286e-02 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 4.9078e-01 7.6094e-03 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 1.9142e-01 3.9428e-03 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 6.7434e-02 2.1676e-03 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 4.6408e-02 1.6487e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 2.3923e-02 1.1681e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 1.3202e-02 7.8206e-04 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 1.3868e-02 8.3624e-04 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 1.2410e-02 7.8785e-04 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 5.3076e-03 4.8508e-04 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 2.0958e-03 2.8626e-04 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 2.5381e-03 3.2702e-04 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 2.1521e-03 3.4972e-04 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 4.2835e-03 4.5310e-04 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 5.1182e-03 4.9796e-04 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 1.6704e-03 3.1589e-04 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 3.3631e-03 4.2448e-04 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 1.1145e-03 2.2094e-04 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 1.5450e-03 2.7565e-04 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 2.7618e-03 3.7816e-04 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 2.0096e-03 3.6746e-04 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 2.1468e-03 3.7775e-04 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 2.1349e-03 3.6253e-04 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 9.0895e-04 2.0321e-04 1.5323e-03 3.2926e-02 1.0000e+00
3.3565e-02 1.6855e-03 3.2779e-04 1.5319e-03 3.4180e-02 1.0000e+00
3.4817e-02 1.5305e-03 2.7206e-04 1.5661e-03 3.5429e-02 1.0000e+00
3.6070e-02 4.0691e-03 5.1653e-04 1.6153e-03 3.6687e-02 1.0000e+00
3.7323e-02 2.9078e-03 6.2525e-04 1.9371e-03 3.7903e-02 1.0000e+00
3.8575e-02 4.5566e-04 3.5354e-04 2.2862e-03 3.9193e-02 1.0000e+00
3.9828e-02 1.9068e-03 2.0972e-04 2.6795e-03 4.0407e-02 1.0000e+00
4.1081e-02 1.1714e-03 1.4746e-04 3.0835e-03 4.1723e-02 1.0000e+00
4.2333e-02 1.3360e-03 1.9941e-04 3.7482e-03 4.2974e-02 1.0000e+00
4.3586e-02 5.8753e-04 9.0095e-05 4.1835e-03 4.4131e-02 1.0000e+00
4.4839e-02 1.0593e-03 1.3422e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.4077e-04 7.3442e-05 5.3431e-03 4.6666e-02 1.0000e+00
4.7344e-02 3.8253e-04 7.4757e-05 4.4852e-03 4.7930e-02 1.0000e+00
4.8597e-02 1.4837e-04 4.5174e-05 4.6754e-03 4.9322e-02 1.0000e+00
4.9849e-02 2.2455e-04 7.1202e-05 4.8271e-03 5.0474e-02 1.0000e+00
5.1102e-02 1.3318e-03 1.2608e-04 4.5649e-03 5.1790e-02 1.0000e+00
5.2355e-02 1.7935e-03 1.5939e-04 4.8602e-03 5.2984e-02 1.0000e+00
5.3608e-02 1.9456e-03 1.8298e-04 4.4619e-03 5.4177e-02 1.0000e+00
5.4860e-02 1.7686e-03 1.3988e-04 4.5663e-03 5.5501e-02 1.0000e+00
5.6113e-02 1.1127e-03 1.3267e-04 4.5399e-03 5.6716e-02 1.0000e+00
5.7366e-02 1.5951e-03 1.1540e-04 4.3663e-03 5.7991e-02 1.0000e+00
5.8618e-02 1.3831e-03 1.0751e-04 4.4390e-03 5.9271e-02 1.0000e+00
5.9871e-02 2.5000e-03 1.4652e-04 4.4393e-03 6.0513e-02 1.0000e+00
6.1124e-02 3.1037e-03 1.4859e-04 4.4155e-03 6.1710e-02 1.0000e+00
6.2376e-02 2.4529e-03 1.1664e-04 4.2553e-03 6.2977e-02 1.0000e+00
6.3629e-02 2.6966e-03 1.4345e-04 4.3686e-03 6.4232e-02 1.0000e+00
6.4882e-02 4.2109e-03 1.5730e-04 4.1517e-03 6.5468e-02 1.0000e+00
6.6134e-02 4.4088e-03 1.6061e-04 4.1522e-03 6.6827e-02 1.0000e+00
6.7387e-02 4.8166e-03 1.7769e-04 4.4424e-03 6.7982e-02 1.0000e+00
6.8640e-02 4.9580e-03 1.5051e-04 3.8968e-03 6.9276e-02 1.0000e+00
6.9892e-02 6.7717e-03 2.1196e-04 4.4685e-03 7.0570e-02 1.0000e+00
7.1145e-02 3.9571e-03 1.5675e-04 4.0197e-03 7.1680e-02 1.0000e+00
7.2398e-02 4.7959e-03 1.5269e-04 3.9493e-03 7.3065e-02 1.0000e+00
7.3651e-02 4.5149e-03 2.0030e-04 4.3727e-03 7.4234e-02 1.0000e+00
7.4903e-02 4.4644e-03 1.5774e-04 3.7725e-03 7.5480e-02 1.0000e+00
