Q, Struc, DelStruc, M_Parl_Sub, DelM_Parl_Sub, Q_Unc, Q_mean, Shadow
6.3629e-02 9.1923e-02 2.5575e-03 -3.2591e-03 4.3074e-03 4.3686e-03 6.4235e-02 1.0000e+00
6.4882e-02 1.0573e-01 2.5971e-03 -5.1245e-03 4.0854e-03 4.1517e-03 6.5470e-02 1.0000e+00
6.6134e-02 1.1838e-01 2.4158e-03 -5.6596e-03 4.1228e-03 4.1522e-03 6.6830e-02 1.0000e+00
6.7387e-02 1.1579e-01 2.8252e-03 1.1511e-02 4.6960e-03 4.4424e-03 6.7985e-02 1.0000e+00
6.8640e-02 1.1986e-01 2.3844e-03 6.9160e-03 3.9148e-03 3.8968e-03 6.9279e-02 1.0000e+00
6.9892e-02 1.2186e-01 2.7850e-03 4.9443e-04 4.4553e-03 4.4685e-03 7.0573e-02 1.0000e+00
7.1145e-02 1.0916e-01 2.4603e-03 7.0615e-03 4.3629e-03 4.0197e-03 7.1683e-02 1.0000e+00
7.2398e-02 1.0475e-01 2.3879e-03 5.3478e-03 3.8010e-03 3.9493e-03 7.3068e-02 1.0000e+00
7.3651e-02 9.6950e-02 2.4692e-03 1.2784e-02 4.4432e-03 4.3964e-03 7.4230e-02 1.0000e+00
7.4903e-02 8.4567e-02 2.1306e-03 3.0893e-03 3.5555e-03 3.7575e-03 7.5479e-02 1.0000e+00
7.6156e-02 7.7395e-02 2.2339e-03 -1.2978e-03 3.4549e-03 4.0405e-03 7.6844e-02 1.0000e+00
7.7409e-02 6.1326e-02 2.0411e-03 7.4463e-03 3.6329e-03 4.0975e-03 7.7992e-02 1.0000e+00
7.8661e-02 5.4433e-02 1.8966e-03 1.0437e-04 3.0676e-03 3.8681e-03 7.9258e-02 1.0000e+00
7.9914e-02 4.4293e-02 1.8828e-03 2.2181e-03 2.8458e-03 3.8686e-03 8.0551e-02 1.0000e+00
8.1167e-02 3.2611e-02 1.8159e-03 7.1467e-03 3.0903e-03 3.9355e-03 8.1799e-02 1.0000e+00
8.2419e-02 3.2624e-02 1.7484e-03 5.3593e-04 2.6955e-03 3.9195e-03 8.3035e-02 1.0000e+00
8.3672e-02 2.6351e-02 1.6750e-03 -1.1487e-03 2.5335e-03 3.7028e-03 8.4315e-02 1.0000e+00
8.4925e-02 2.2915e-02 1.5216e-03 -2.5168e-03 2.5813e-03 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 1.5853e-02 1.5078e-03 2.2625e-03 2.3539e-03 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 1.6534e-02 1.4781e-03 -1.1961e-03 2.3086e-03 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 8.2700e-03 1.5229e-03 4.8223e-03 2.4395e-03 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 9.7058e-03 1.4896e-03 4.6405e-04 2.1933e-03 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 9.0758e-03 1.4842e-03 -2.6353e-03 2.3010e-03 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 1.0189e-02 1.4057e-03 -4.0614e-04 2.2288e-03 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.0515e-03 1.4491e-03 -5.5546e-04 2.1576e-03 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 9.5635e-03 1.3154e-03 -1.6913e-03 2.1973e-03 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 6.1654e-03 1.4148e-03 1.6862e-03 2.1419e-03 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 6.7893e-03 1.4689e-03 2.4221e-03 2.1344e-03 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 6.0280e-03 1.4155e-03 1.5688e-03 2.2572e-03 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 9.7023e-03 1.3017e-03 -1.3598e-03 2.1140e-03 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 7.1990e-03 1.3405e-03 2.6098e-03 2.0699e-03 3.7699e-03 1.0183e-01 1.0000e+00
