Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 4.9436e+01 1.0771e-01 3.4251e-01 2.6376e-02 9.1463e+01 2.0621e-01 5.2325e-01 2.5023e-02 2.6366e-03 4.1967e-03 1.0000e+00
4.7527e-03 9.3497e+00 4.8554e-02 9.2769e-02 1.3426e-02 1.8965e+01 9.3471e-02 7.2924e-02 1.1844e-02 2.2943e-03 5.4469e-03 1.0000e+00
6.0054e-03 3.6627e+00 2.5332e-02 6.3985e-02 8.4462e-03 7.4379e+00 4.8745e-02 7.7526e-02 8.1511e-03 1.9906e-03 6.6820e-03 1.0000e+00
7.2581e-03 1.6705e+00 1.6574e-02 4.1053e-02 6.5923e-03 3.1945e+00 3.0385e-02 3.4253e-02 6.0518e-03 1.8473e-03 7.9408e-03 1.0000e+00
8.5108e-03 9.1912e-01 1.1542e-02 3.1948e-02 6.3182e-03 1.8909e+00 2.1486e-02 -8.7838e-03 5.4475e-03 1.7382e-03 9.1712e-03 1.0000e+00
9.7634e-03 6.4545e-01 8.7574e-03 1.8306e-02 5.0318e-03 1.1722e+00 1.5920e-02 2.9191e-02 4.8441e-03 1.6169e-03 1.0394e-02 1.0000e+00
1.1016e-02 3.5729e-01 6.7721e-03 4.3698e-02 4.9424e-03 6.8064e-01 1.1717e-02 -2.1251e-03 4.0679e-03 1.5040e-03 1.1653e-02 1.0000e+00
1.2269e-02 2.6392e-01 5.7878e-03 2.9554e-02 4.6378e-03 5.3717e-01 1.0095e-02 1.7558e-02 4.4490e-03 1.4517e-03 1.2911e-02 1.0000e+00
1.3522e-02 1.6579e-01 5.1253e-03 3.3285e-02 4.1418e-03 3.8833e-01 8.5574e-03 3.9194e-02 4.1893e-03 1.3719e-03 1.4163e-02 1.0000e+00
1.4774e-02 1.2530e-01 4.4505e-03 5.0472e-03 3.8524e-03 2.5400e-01 7.0174e-03 2.3815e-02 4.1747e-03 1.3255e-03 1.5416e-02 1.0000e+00
1.6027e-02 1.0601e-01 3.9827e-03 1.6052e-02 3.6732e-03 1.7881e-01 5.7899e-03 2.7793e-02 3.7689e-03 1.2640e-03 1.6669e-02 1.0000e+00
1.7280e-02 1.1677e-01 3.6092e-03 2.2917e-02 3.3581e-03 1.8880e-01 5.4751e-03 1.9687e-02 3.3623e-03 1.2300e-03 1.7922e-02 1.0000e+00
1.8532e-02 9.0012e-02 3.5178e-03 9.7062e-03 3.4324e-03 1.4463e-01 5.1903e-03 2.8683e-02 3.6463e-03 1.1827e-03 1.9169e-02 1.0000e+00
1.9785e-02 5.9255e-02 3.2290e-03 2.3255e-02 3.2903e-03 1.3679e-01 4.8037e-03 2.1135e-02 3.1769e-03 1.1486e-03 2.0422e-02 1.0000e+00
2.1038e-02 2.6474e-02 3.1786e-03 1.4922e-02 3.2268e-03 1.0860e-01 4.6554e-03 1.7354e-02 3.2614e-03 1.1098e-03 2.1677e-02 1.0000e+00
2.2290e-02 5.3210e-02 2.9678e-03 3.1443e-02 3.0746e-03 9.1489e-02 4.1619e-03 2.5863e-02 3.0990e-03 1.0867e-03 2.2930e-02 1.0000e+00
2.3543e-02 4.4211e-02 2.7780e-03 1.4649e-02 2.9386e-03 9.9051e-02 4.0151e-03 2.6402e-02 3.0158e-03 1.0506e-03 2.4182e-02 1.0000e+00
2.4796e-02 6.4317e-02 2.6214e-03 1.5979e-02 2.8534e-03 9.6769e-02 3.7122e-03 3.5818e-03 2.7411e-03 1.0266e-03 2.5441e-02 1.0000e+00
2.6048e-02 2.2720e-02 2.6737e-03 2.3851e-02 2.8227e-03 5.8836e-02 3.6782e-03 7.8856e-03 2.6443e-03 1.0805e-03 2.6656e-02 1.0000e+00
2.7301e-02 2.5701e-02 2.5847e-03 9.6118e-03 2.8217e-03 7.2465e-02 3.6561e-03 -1.5629e-04 2.7404e-03 1.2118e-03 2.7908e-02 1.0000e+00
2.8554e-02 2.6292e-02 2.5178e-03 7.9840e-03 2.6298e-03 5.9762e-02 3.4611e-03 2.0657e-02 2.6953e-03 1.3491e-03 2.9140e-02 1.0000e+00
2.9806e-02 2.7300e-02 2.3928e-03 1.5957e-02 2.7429e-03 6.0060e-02 3.2924e-03 5.7875e-03 2.6455e-03 1.4575e-03 3.0425e-02 1.0000e+00
3.1059e-02 2.2775e-02 2.2604e-03 3.2242e-02 2.6758e-03 5.5248e-02 3.1687e-03 7.3648e-03 2.4299e-03 1.4613e-03 3.1675e-02 1.0000e+00
3.2312e-02 2.2018e-02 2.3055e-03 1.4070e-02 2.4202e-03 4.6551e-02 3.1169e-03 2.9057e-02 2.5565e-03 1.5323e-03 3.2926e-02 1.0000e+00
