Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
8.4925e-02 2.3303e-07 1.8507e-06 4.0819e-03 8.5549e-02 1.0000e+00
8.6177e-02 1.0223e-04 3.1604e-05 3.7184e-03 8.6725e-02 1.0000e+00
8.7430e-02 7.9397e-05 2.9285e-05 3.6086e-03 8.8103e-02 1.0000e+00
8.8683e-02 3.4891e-04 8.4971e-05 3.9565e-03 8.9312e-02 1.0000e+00
8.9935e-02 3.0969e-06 6.6253e-06 3.5838e-03 9.0570e-02 1.0000e+00
9.1188e-02 1.0083e-04 6.5311e-05 3.7498e-03 9.1894e-02 1.0000e+00
9.2441e-02 2.7347e-04 9.2826e-05 3.8421e-03 9.3014e-02 1.0000e+00
9.3694e-02 1.8767e-04 5.5439e-05 3.5727e-03 9.4313e-02 1.0000e+00
9.4946e-02 9.4073e-07 6.5786e-06 3.7223e-03 9.5554e-02 1.0000e+00
9.6199e-02 2.5607e-05 2.5933e-05 3.5738e-03 9.6767e-02 1.0000e+00
9.7452e-02 1.2885e-05 1.3326e-05 3.6003e-03 9.8095e-02 1.0000e+00
9.8704e-02 2.8308e-04 9.3520e-05 3.6676e-03 9.9282e-02 1.0000e+00
9.9957e-02 3.5634e-05 2.7826e-05 3.4205e-03 1.0058e-01 1.0000e+00
1.0121e-01 7.8943e-05 4.7012e-05 3.6286e-03 1.0187e-01 1.0000e+00
1.0246e-01 1.3636e-04 5.2077e-05 3.5766e-03 1.0306e-01 1.0000e+00
1.0372e-01 6.9417e-05 2.7950e-05 3.5526e-03 1.0429e-01 1.0000e+00
1.0497e-01 1.9450e-04 5.4201e-05 3.4228e-03 1.0556e-01 1.0000e+00
1.0622e-01 8.3648e-05 3.9521e-05 3.4805e-03 1.0683e-01 1.0000e+00
1.0747e-01 2.5227e-05 2.0461e-05 3.4132e-03 1.0810e-01 1.0000e+00
1.0873e-01 1.5089e-05 1.3565e-05 3.3808e-03 1.0942e-01 1.0000e+00
1.0998e-01 3.4912e-06 7.8804e-06 3.5681e-03 1.1062e-01 1.0000e+00
1.1123e-01 5.9323e-05 2.7625e-05 3.3610e-03 1.1184e-01 1.0000e+00
1.1248e-01 1.3087e-05 1.4214e-05 3.5079e-03 1.1311e-01 1.0000e+00
1.1374e-01 1.2543e-05 1.5066e-05 3.3620e-03 1.1426e-01 1.0000e+00
1.1499e-01 3.6299e-05 2.0668e-05 3.2428e-03 1.1561e-01 1.0000e+00
1.1624e-01 3.8111e-05 2.5508e-05 3.4513e-03 1.1688e-01 1.0000e+00
1.1749e-01 2.6696e-06 6.7108e-06 3.2826e-03 1.1807e-01 1.0000e+00
1.1875e-01 3.8964e-07 2.2185e-06 3.2736e-03 1.1941e-01 1.0000e+00
1.2000e-01 1.1296e-04 4.4156e-05 3.4762e-03 1.2058e-01 1.0000e+00
