Q, M_Parl_NSF, DelM_Parl_NSF, Q_Unc, Q_mean, Shadow
8.4925e-02 1.0102e-05 1.2233e-05 3.9721e-03 8.5565e-02 1.0000e+00
8.6177e-02 3.2497e-05 1.9865e-05 3.8080e-03 8.6746e-02 1.0000e+00
8.7430e-02 2.3171e-04 5.5209e-05 3.6487e-03 8.8082e-02 1.0000e+00
8.8683e-02 1.2943e-05 1.6249e-05 3.8725e-03 8.9291e-02 1.0000e+00
8.9935e-02 1.4154e-06 4.6643e-06 3.6636e-03 9.0556e-02 1.0000e+00
9.1188e-02 2.2464e-05 2.6659e-05 3.7204e-03 9.1853e-02 1.0000e+00
9.2441e-02 2.9907e-04 1.0905e-04 3.8110e-03 9.2990e-02 1.0000e+00
9.3694e-02 8.5928e-05 3.9361e-05 3.5855e-03 9.4305e-02 1.0000e+00
9.4946e-02 9.1018e-05 1.0678e-04 3.8275e-03 9.5489e-02 1.0000e+00
9.6199e-02 2.1913e-05 2.5427e-05 3.4186e-03 9.6761e-02 1.0000e+00
9.7452e-02 7.2949e-05 3.8076e-05 3.6537e-03 9.8123e-02 1.0000e+00
9.8704e-02 1.8223e-06 7.2320e-06 3.5747e-03 9.9303e-02 1.0000e+00
9.9957e-02 7.0903e-07 4.3219e-06 3.4896e-03 1.0062e-01 1.0000e+00
1.0121e-01 1.0577e-04 5.6367e-05 3.7699e-03 1.0183e-01 1.0000e+00
1.0246e-01 2.4637e-04 7.7187e-05 3.3991e-03 1.0304e-01 1.0000e+00
1.0372e-01 1.8748e-09 1.6430e-07 3.5778e-03 1.0434e-01 1.0000e+00
1.0497e-01 1.1746e-04 4.7335e-05 3.4454e-03 1.0559e-01 1.0000e+00
1.0622e-01 1.2485e-06 4.9254e-06 3.4459e-03 1.0686e-01 1.0000e+00
1.0747e-01 3.7128e-05 2.5660e-05 3.4935e-03 1.0812e-01 1.0000e+00
1.0873e-01 1.9977e-05 1.7225e-05 3.4246e-03 1.0938e-01 1.0000e+00
1.0998e-01 1.3001e-04 5.1406e-05 3.4828e-03 1.1059e-01 1.0000e+00
1.1123e-01 1.0831e-04 3.6531e-05 3.3716e-03 1.1185e-01 1.0000e+00
1.1248e-01 1.4282e-04 4.9140e-05 3.5197e-03 1.1310e-01 1.0000e+00
1.1374e-01 1.4427e-05 1.5869e-05 3.3207e-03 1.1427e-01 1.0000e+00
1.1499e-01 5.4774e-05 2.8126e-05 3.2428e-03 1.1564e-01 1.0000e+00
1.1624e-01 1.1202e-04 4.8429e-05 3.5587e-03 1.1686e-01 1.0000e+00
1.1749e-01 1.5090e-04 5.1570e-05 3.1887e-03 1.1807e-01 1.0000e+00
1.1875e-01 1.8645e-05 1.7431e-05 3.2834e-03 1.1944e-01 1.0000e+00
1.2000e-01 1.2879e-04 4.6619e-05 3.4881e-03 1.2058e-01 1.0000e+00
