Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 5.8640e+01 1.0226e-01 -5.2720e-01 1.2484e-02 7.4234e+01 1.1158e-01 -3.5882e-01 1.6176e-02 2.6120e-03 4.1802e-03 1.0000e+00
4.7527e-03 1.1701e+01 4.2198e-02 5.1352e-02 7.1382e-03 1.2651e+01 4.3057e-02 6.2034e-02 8.6937e-03 2.2781e-03 5.4482e-03 1.0000e+00
6.0054e-03 4.5374e+00 2.4787e-02 1.1381e-01 5.2968e-03 4.5896e+00 2.4727e-02 1.3512e-01 6.5913e-03 2.0013e-03 6.6940e-03 1.0000e+00
7.2581e-03 2.0058e+00 1.6287e-02 1.2450e-01 4.9983e-03 2.2759e+00 1.6790e-02 1.1796e-01 5.8142e-03 1.8735e-03 7.9266e-03 1.0000e+00
8.5108e-03 1.1991e+00 1.1199e-02 1.5645e-01 4.3467e-03 1.2755e+00 1.1348e-02 1.1741e-01 4.9015e-03 1.7036e-03 9.1686e-03 1.0000e+00
9.7634e-03 7.0791e-01 8.9648e-03 1.5543e-01 3.9868e-03 7.5545e-01 9.0648e-03 1.3666e-01 4.5896e-03 1.6170e-03 1.0420e-02 1.0000e+00
1.1016e-02 4.7932e-01 7.0408e-03 1.4339e-01 3.7767e-03 4.6454e-01 6.9556e-03 1.4144e-01 4.4226e-03 1.5276e-03 1.1657e-02 1.0000e+00
1.2269e-02 3.2389e-01 5.9456e-03 1.3566e-01 3.5117e-03 3.3926e-01 5.9775e-03 1.3671e-01 4.1149e-03 1.4394e-03 1.2905e-02 1.0000e+00
1.3522e-02 2.5216e-01 5.1339e-03 1.2801e-01 3.3731e-03 2.3777e-01 5.0588e-03 1.1319e-01 3.8295e-03 1.3719e-03 1.4166e-02 1.0000e+00
1.4774e-02 1.9488e-01 4.5472e-03 1.4582e-01 2.9138e-03 1.9350e-01 4.5255e-03 1.4697e-01 3.4698e-03 1.3224e-03 1.5421e-02 1.0000e+00
1.6027e-02 1.8397e-01 4.1655e-03 1.0273e-01 3.2424e-03 1.8321e-01 4.1475e-03 1.1050e-01 3.7248e-03 1.2613e-03 1.6680e-02 1.0000e+00
1.7280e-02 1.1247e-01 3.7322e-03 1.0379e-01 3.0199e-03 1.3336e-01 3.8127e-03 8.0689e-02 3.3528e-03 1.2351e-03 1.7927e-02 1.0000e+00
1.8532e-02 9.5337e-02 3.6060e-03 1.0992e-01 2.8010e-03 9.6936e-02 3.6036e-03 1.0199e-01 3.1845e-03 1.1805e-03 1.9173e-02 1.0000e+00
1.9785e-02 8.9795e-02 3.3858e-03 9.7827e-02 2.6478e-03 8.3417e-02 3.3514e-03 9.0062e-02 2.9944e-03 1.1506e-03 2.0424e-02 1.0000e+00
2.1038e-02 7.8001e-02 3.1242e-03 9.4265e-02 2.6328e-03 7.8709e-02 3.1202e-03 8.8490e-02 2.9738e-03 1.1098e-03 2.1676e-02 1.0000e+00
2.2290e-02 5.4333e-02 3.1434e-03 9.0572e-02 2.4508e-03 4.7876e-02 3.1118e-03 9.0485e-02 2.7946e-03 1.0782e-03 2.2938e-02 1.0000e+00
2.3543e-02 6.6535e-02 2.9450e-03 9.4290e-02 2.2720e-03 5.2998e-02 2.8851e-03 8.4933e-02 2.5708e-03 1.0507e-03 2.4199e-02 1.0000e+00
2.4796e-02 6.2506e-02 3.0543e-03 6.2157e-02 2.8048e-03 6.3742e-02 3.0539e-03 5.5789e-02 3.0426e-03 1.0325e-03 2.5449e-02 1.0000e+00
2.6048e-02 4.5198e-02 3.4435e-03 5.5956e-02 3.0302e-03 4.3099e-02 3.4256e-03 7.2125e-02 3.4524e-03 1.0788e-03 2.6665e-02 1.0000e+00
2.7301e-02 6.8263e-02 5.9918e-03 6.8931e-02 4.2841e-03 4.5963e-02 5.7364e-03 7.2227e-02 5.1412e-03 1.2070e-03 2.7920e-02 1.0000e+00
2.8554e-02 3.8532e-02 5.3588e-03 6.3905e-02 3.8155e-03 3.0755e-02 5.3451e-03 6.6256e-02 3.8960e-03 1.3491e-03 2.9158e-02 1.0000e+00
2.9806e-02 3.1920e-02 1.7360e-03 4.7135e-02 1.2574e-03 3.5151e-02 1.7462e-03 4.1422e-02 1.4275e-03 1.4817e-03 3.0427e-02 1.0000e+00
3.1059e-02 3.5790e-02 1.8337e-03 4.8406e-02 1.1740e-03 3.5733e-02 1.8268e-03 4.0824e-02 1.3838e-03 1.4494e-03 3.1667e-02 1.0000e+00
3.2312e-02 3.6901e-02 1.4965e-03 4.1000e-02 1.1140e-03 4.2695e-02 1.5208e-03 3.9950e-02 1.2839e-03 1.5414e-03 3.2921e-02 1.0000e+00
3.3565e-02 3.6348e-02 1.7166e-03 3.8585e-02 1.1023e-03 3.3566e-02 1.6932e-03 4.3366e-02 1.3638e-03 1.5275e-03 3.4173e-02 1.0000e+00
3.4817e-02 2.5954e-02 1.4828e-03 3.6188e-02 1.0013e-03 3.7147e-02 1.5340e-03 4.1593e-02 1.2048e-03 1.5661e-03 3.5423e-02 1.0000e+00
3.6070e-02 2.7305e-02 1.3783e-03 3.2033e-02 9.6816e-04 3.3314e-02 1.4019e-03 2.7379e-02 1.0818e-03 1.6052e-03 3.6688e-02 1.0000e+00
3.7323e-02 3.1337e-02 1.5529e-03 2.8509e-02 9.3186e-04 2.9679e-02 1.5356e-03 3.1974e-02 1.1638e-03 1.9538e-03 3.7910e-02 1.0000e+00
3.8575e-02 3.2075e-02 1.3843e-03 2.8557e-02 9.4598e-04 3.7762e-02 1.4033e-03 3.5260e-02 1.0972e-03 2.2987e-03 3.9194e-02 1.0000e+00
3.9828e-02 3.6336e-02 1.4841e-03 1.7228e-02 1.0008e-03 3.4924e-02 1.4683e-03 1.3200e-02 1.1349e-03 2.6967e-03 4.0401e-02 1.0000e+00
4.1081e-02 2.9174e-02 1.3685e-03 1.8523e-02 9.6105e-04 2.5226e-02 1.3472e-03 2.0978e-02 1.0806e-03 3.0617e-03 4.1720e-02 1.0000e+00
4.2333e-02 2.8773e-02 1.4117e-03 2.4520e-02 9.5824e-04 2.1280e-02 1.3720e-03 2.1288e-02 1.0666e-03 3.7858e-03 4.2976e-02 1.0000e+00
4.3586e-02 3.3037e-02 1.3185e-03 2.1309e-02 8.8659e-04 3.7836e-02 1.3408e-03 2.2655e-02 1.0376e-03 4.1835e-03 4.4128e-02 1.0000e+00
4.4839e-02 2.6818e-02 1.2174e-03 1.7873e-02 8.9674e-04 3.2104e-02 1.2355e-03 1.4773e-02 9.7033e-04 4.7093e-03 4.5534e-02 1.0000e+00
4.6091e-02 2.2997e-02 1.3562e-03 2.0847e-02 8.3010e-04 2.4650e-02 1.3620e-03 2.5316e-02 1.0417e-03 5.3431e-03 4.6666e-02 1.0000e+00
