Q, UU, DelUU, DU, DelDU, DD, DelDD, UD, DelUD, Q_Unc, Q_mean, Shadow
3.5000e-03 6.0739e+01 2.0118e-01 -2.9600e-02 1.9830e-02 6.6771e+01 2.0698e-01 4.6128e-02 2.0065e-02 2.6120e-03 4.1872e-03 1.0000e+00
4.7527e-03 1.1238e+01 7.9683e-02 9.8018e-02 1.0764e-02 1.2700e+01 8.2305e-02 7.0586e-02 1.0282e-02 2.2781e-03 5.4548e-03 1.0000e+00
6.0054e-03 4.6330e+00 4.1530e-02 7.7108e-02 6.6319e-03 5.3431e+00 4.3446e-02 9.8644e-02 6.7178e-03 1.9906e-03 6.6953e-03 1.0000e+00
7.2581e-03 2.1381e+00 2.6537e-02 1.1150e-01 5.8497e-03 2.3660e+00 2.7547e-02 9.8826e-02 5.7580e-03 1.8735e-03 7.9338e-03 1.0000e+00
8.5108e-03 1.2609e+00 1.8858e-02 6.0380e-02 5.3474e-03 1.3552e+00 1.8950e-02 6.3622e-02 5.4051e-03 1.7241e-03 9.1537e-03 1.0000e+00
9.7634e-03 7.7472e-01 1.3567e-02 6.9844e-02 4.5524e-03 9.1054e-01 1.4470e-02 8.7263e-02 4.6789e-03 1.6112e-03 1.0394e-02 1.0000e+00
1.1016e-02 5.0694e-01 1.0763e-02 8.4254e-02 4.3148e-03 5.9728e-01 1.1199e-02 7.8356e-02 4.3100e-03 1.4994e-03 1.1659e-02 1.0000e+00
1.2269e-02 3.6789e-01 8.8991e-03 8.0830e-02 4.2386e-03 4.4577e-01 9.4417e-03 6.5288e-02 4.0207e-03 1.4475e-03 1.2920e-02 1.0000e+00
1.3522e-02 2.5585e-01 7.7968e-03 8.0698e-02 3.7926e-03 3.3568e-01 8.1420e-03 9.6382e-02 3.8856e-03 1.3719e-03 1.4171e-02 1.0000e+00
1.4774e-02 2.1215e-01 6.6394e-03 5.5221e-02 3.6400e-03 2.5800e-01 7.0336e-03 6.2436e-02 3.7378e-03 1.3416e-03 1.5410e-02 1.0000e+00
1.6027e-02 1.9519e-01 6.2521e-03 6.6926e-02 3.5030e-03 2.5639e-01 6.5974e-03 6.9856e-02 3.4970e-03 1.2585e-03 1.6655e-02 1.0000e+00
1.7280e-02 2.2057e-01 5.6709e-03 7.3562e-02 3.1380e-03 2.0022e-01 5.3746e-03 6.2353e-02 3.0521e-03 1.2300e-03 1.7911e-02 1.0000e+00
1.8532e-02 1.3884e-01 4.9552e-03 5.4734e-02 3.1981e-03 1.5138e-01 5.0925e-03 6.2643e-02 3.2480e-03 1.1805e-03 1.9162e-02 1.0000e+00
1.9785e-02 1.0108e-01 4.5023e-03 6.9436e-02 2.9474e-03 1.5269e-01 4.9305e-03 5.8389e-02 2.8964e-03 1.1445e-03 2.0421e-02 1.0000e+00
2.1038e-02 8.0982e-02 4.3758e-03 4.7836e-02 2.9004e-03 1.0458e-01 4.5318e-03 4.9932e-02 2.9213e-03 1.1117e-03 2.1677e-02 1.0000e+00
2.2290e-02 9.7098e-02 4.1559e-03 6.0428e-02 2.7208e-03 1.1787e-01 4.3086e-03 5.5409e-02 2.6796e-03 1.0833e-03 2.2932e-02 1.0000e+00
2.3543e-02 8.1513e-02 3.8277e-03 5.1421e-02 2.6237e-03 8.4671e-02 3.8133e-03 4.7726e-02 2.6039e-03 1.0522e-03 2.4185e-02 1.0000e+00
2.4796e-02 1.0705e-01 3.8314e-03 5.3737e-02 2.6474e-03 1.0930e-01 3.7876e-03 4.6599e-02 2.5801e-03 1.0223e-03 2.5446e-02 1.0000e+00
2.6048e-02 5.4506e-02 3.5096e-03 4.7927e-02 2.4422e-03 6.9106e-02 3.6852e-03 3.5943e-02 2.3577e-03 1.0754e-03 2.6675e-02 1.0000e+00
2.7301e-02 6.7435e-02 3.5700e-03 2.9246e-02 2.5006e-03 6.8860e-02 3.5623e-03 3.4158e-02 2.5407e-03 1.2314e-03 2.7918e-02 1.0000e+00
2.8554e-02 6.2200e-02 3.3468e-03 3.8545e-02 2.3334e-03 5.5106e-02 3.3154e-03 4.6234e-02 2.3790e-03 1.3333e-03 2.9147e-02 1.0000e+00
2.9806e-02 3.7130e-02 3.0357e-03 3.6550e-02 2.4090e-03 7.7657e-02 3.3545e-03 3.2714e-02 2.3828e-03 1.4694e-03 3.0438e-02 1.0000e+00
3.1059e-02 5.4960e-02 3.0341e-03 3.6638e-02 2.1816e-03 7.2856e-02 3.1616e-03 4.1281e-02 2.2038e-03 1.4614e-03 3.1680e-02 1.0000e+00
