 Q, I, DelI, Q_mean, Q_Unc, Shadow
1.0330e-01 1.8090e+01 4.0313e-02 1.0403e-01 3.5291e-03 1.0000e+00
1.0479e-01 1.5504e+01 3.5527e-02 1.0548e-01 3.3230e-03 1.0000e+00
1.0628e-01 1.3261e+01 3.3553e-02 1.0703e-01 3.3397e-03 1.0000e+00
1.0777e-01 1.2116e+01 3.2238e-02 1.0844e-01 3.5307e-03 1.0000e+00
1.0926e-01 1.0476e+01 2.9913e-02 1.0996e-01 3.4761e-03 1.0000e+00
1.1074e-01 9.4950e+00 2.9239e-02 1.1147e-01 3.6201e-03 1.0000e+00
1.1223e-01 8.6162e+00 3.1386e-02 1.1291e-01 4.1574e-03 1.0000e+00
1.1372e-01 7.4780e+00 3.7613e-02 1.1442e-01 5.4701e-03 1.0000e+00
1.1521e-01 7.2874e+00 4.8137e-02 1.1591e-01 7.0480e-03 1.0000e+00
1.1670e-01 6.4396e+00 6.2583e-02 1.1737e-01 1.0803e-02 1.0000e+00
1.1819e-01 6.2561e+00 8.7174e-02 1.1868e-01 1.5280e-02 1.0000e+00
