 ASCII data created Mon, Jan 13, 2020 2:39:54 PM
-4.184945129174576228e-03 1.525416821325762534e-03 1.120259511257829581e+04 6.399540631100708055e+01 8.683816534458343742e-06 1.381502913693079780e-02 1.381387544800017839e-02 1.000000000000000000e+00
-4.184941404960733531e-03 2.156311034977038792e-03 9.275963049167425197e+03 5.829289548415151501e+01 9.700436698576922869e-06 1.381523351512237152e-02 1.381367964327248274e-02 1.000000000000000000e+00
-4.184936404410242484e-03 2.787203275698906229e-03 7.575943763154376938e+03 5.343713232132643753e+01 1.106546585023406292e-05 1.381555319070892560e-02 1.381351826985675359e-02 1.000000000000000000e+00
-4.184930127536825618e-03 3.418092966265001784e-03 5.492346943654200913e+03 4.490762436715397143e+01 1.277890024262729946e-05 1.381597212071414629e-02 1.381339349381640810e-02 1.000000000000000000e+00
-4.184922574357716543e-03 4.048979529460627544e-03 5.727713251759611921e+03 4.584331771564592373e+01 1.484073517266727748e-05 1.381647715518931688e-02 1.381330142741593256e-02 1.000000000000000000e+00
-4.184913744893641735e-03 4.679862388085396195e-03 2.967320501196094483e+03 3.314899347987617517e+01 1.725096498101362326e-05 1.381705926828253640e-02 1.381323592071584047e-02 1.000000000000000000e+00
-4.184903639168841352e-03 5.310740964955865638e-03 2.059121509862903622e+03 2.779271702190390059e+01 2.000958305211807868e-05 1.381771301361336794e-02 1.381319079793354339e-02 1.000000000000000000e+00
-4.184892257211051889e-03 5.941614682908180969e-03 1.640019780562749247e+03 2.446401021390249042e+01 2.311658181427494370e-05 1.381843548407944190e-02 1.381316080173364269e-02 1.000000000000000000e+00
-4.184879599051511377e-03 6.572482964800713430e-03 1.073444561379689276e+03 1.995440210748438048e+01 2.657195273967879659e-05 1.381922537729614320e-02 1.381314180581880505e-02 1.000000000000000000e+00
-4.184865664724959390e-03 7.203345233516702389e-03 8.572011446971948772e+02 1.782703906116028492e+01 3.037568634448950202e-05 1.382008232497770189e-02 1.381313070976799250e-02 1.000000000000000000e+00
-4.184850454269647448e-03 7.834200911966890390e-03 6.731614767655635205e+02 1.577352188060525329e+01 3.452777218890458493e-05 1.382100646241477687e-02 1.381312523855936746e-02 1.000000000000000000e+00
